Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 58.000000, 0.678251, 0.053097, 63.000000, 1.095056, 0.070796, 57.000000, 6.669514, 0.053097, 60.000000, 8.202915, 0.053097
0.040000, 58.000000, 0.651880, 0.053097, 63.000000, 1.061870, 0.070796, 57.000000, 6.639349, 0.053097, 60.000000, 7.488706, 0.053097
0.060000, 58.000000, 0.635814, 0.053097, 63.000000, 1.030272, 0.070796, 57.000000, 6.626924, 0.053097, 60.000000, 7.388596, 0.053097
0.080000, 58.000000, 0.623745, 0.053097, 63.000000, 0.983585, 0.070796, 57.000000, 6.536319, 0.053097, 60.000000, 7.556335, 0.053097
0.100000, 58.000000, 0.610610, 0.053097, 63.000000, 0.951996, 0.070796, 57.000000, 6.535036, 0.053097, 60.000000, 7.443281, 0.053097
0.120000, 58.000000, 0.605371, 0.053097, 63.000000, 0.928601, 0.070796, 57.000000, 6.519440, 0.053097, 60.000000, 7.387271, 0.053097
0.140000, 58.000000, 0.589338, 0.053097, 63.000000, 0.898010, 0.070796, 57.000000, 6.761386, 0.053097, 60.000000, 7.307573, 0.053097
0.160000, 58.000000, 0.576108, 0.053097, 63.000000, 0.869596, 0.070796, 57.000000, 6.556491, 0.053097, 60.000000, 7.927593, 0.053097
0.180000, 58.000000, 0.556402, 0.053097, 63.000000, 0.845046, 0.070796, 57.000000, 6.531969, 0.053097, 60.000000, 8.094698, 0.053097
0.200000, 58.000000, 0.560321, 0.053097, 63.000000, 0.826819, 0.070796, 57.000000, 6.559506, 0.053097, 60.000000, 7.539901, 0.053097
0.220000, 58.000000, 0.546051, 0.053097, 63.000000, 0.791281, 0.070796, 57.000000, 6.544305, 0.053097, 60.000000, 7.174521, 0.053097
0.240000, 58.000000, 0.530600, 0.053097, 63.000000, 0.761402, 0.070796, 57.000000, 6.436708, 0.053097, 60.000000, 7.127515, 0.053097
0.260000, 58.000000, 0.522501, 0.053097, 63.000000, 0.721315, 0.070796, 57.000000, 6.467164, 0.053097, 60.000000, 7.114156, 0.053097
0.280000, 58.000000, 0.511107, 0.053097, 63.000000, 0.687786, 0.070796, 57.000000, 6.507440, 0.053097, 60.000000, 7.193415, 0.053097
0.300000, 58.000000, 0.515533, 0.053097, 63.000000, 0.657085, 0.070796, 57.000000, 6.537470, 0.053097, 60.000000, 7.426799, 0.053097
0.320000, 58.000000, 0.505952, 0.053097, 63.000000, 0.612751, 0.070796, 57.000000, 6.510796, 0.053097, 60.000000, 7.485604, 0.053097
0.340000, 58.000000, 0.496675, 0.053097, 63.000000, 0.579370, 0.070796, 57.000000, 6.536776, 0.053097, 60.000000, 7.344860, 0.053097
0.360000, 58.000000, 0.481416, 0.053097, 63.000000, 0.533382, 0.070796, 57.000000, 6.438374, 0.053097, 60.000000, 7.411395, 0.053097
0.380000, 58.000000, 0.483294, 0.053097, 63.000000, 0.501342, 0.070796, 57.000000, 6.557937, 0.053097, 60.000000, 7.033805, 0.053097
0.400000, 58.000000, 0.472648, 0.053097, 63.000000, 0.471793, 0.070796, 57.000000, 6.451485, 0.053097, 60.000000, 7.013691, 0.053097
0.420000, 58.000000, 0.471184, 0.053097, 63.000000, 0.436095, 0.070796, 57.000000, 6.446579, 0.053097, 60.000000, 7.035282, 0.053097
0.440000, 58.000000, 0.468831, 0.053097, 63.000000, 0.408365, 0.070796, 57.000000, 6.449712, 0.053097, 60.000000, 7.224643, 0.053097
0.460000, 58.000000, 0.458568, 0.053097, 63.000000, 0.374804, 0.070796, 57.000000, 6.461070, 0.053097, 60.000000, 7.224196, 0.053097
0.480000, 58.000000, 0.457583, 0.053097, 63.000000, 0.344373, 0.070796, 57.000000, 6.390584, 0.053097, 60.000000, 7.276032, 0.053097
0.500000, 58.000000, 0.449291, 0.053097, 63.000000, 0.307714, 0.070796, 57.000000, 6.402075, 0.053097, 60.000000, 7.083261, 0.053097
0.520000, 58.000000, 0.445641, 0.053097, 63.000000, 0.281214, 0.070796, 57.000000, 6.355814, 0.053097, 60.000000, 7.272965, 0.053097
0.540000, 58.000000, 0.451749, 0.053097, 63.000000, 0.258802, 0.070796, 57.000000, 6.363487, 0.053097, 60.000000, 7.227592, 0.053097
0.560000, 58.000000, 0.441217, 0.053097, 63.000000, 0.243669, 0.070796, 57.000000, 6.364685, 0.053097, 60.000000, 7.102243, 0.053097
0.580000, 58.000000, 0.434549, 0.053097, 63.000000, 0.231930, 0.070796, 57.000000, 6.358222, 0.053097, 60.000000, 7.140288, 0.053097
0.600000, 58.000000, 0.424863, 0.053097, 63.000000, 0.220093, 0.070796, 57.000000, 6.364349, 0.053097, 60.000000, 6.916619, 0.053097
0.620000, 58.000000, 0.541456, 0.053097, 68.000000, 0.216988, 0.070796, 57.000000, 6.323670, 0.053097, 61.000000, 6.948045, 0.053097
0.640000, 57.000000, 0.496787, 0.053097, 74.000000, 0.215609, 0.061947, 57.000000, 6.712967, 0.053097, 61.000000, 7.117984, 0.061947
0.660000, 57.000000, 0.493364, 0.053097, 83.000000, 0.221588, 0.053097, 57.000000, 6.592890, 0.053097, 65.000000, 8.541052, 0.061947
