Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 10.000000, 0.166807, 0.000000, 11.000000, 0.153863, 0.000000, 11.000000, 10.702417, 0.000000, 10.000000, 10.679346, 0.000000
0.040000, 10.000000, 0.159625, 0.000000, 11.000000, 0.153075, 0.000000, 11.000000, 10.748147, 0.000000, 10.000000, 10.680745, 0.000000
0.060000, 10.000000, 0.160272, 0.000000, 11.000000, 0.151689, 0.000000, 11.000000, 10.648872, 0.000000, 10.000000, 10.638924, 0.000000
0.080000, 10.000000, 0.157225, 0.000000, 11.000000, 0.152011, 0.000000, 11.000000, 10.688958, 0.000000, 10.000000, 10.739440, 0.000000
0.100000, 10.000000, 0.156753, 0.000000, 11.000000, 0.151679, 0.000000, 11.000000, 10.668588, 0.000000, 10.000000, 10.730912, 0.000000
0.120000, 10.000000, 0.156148, 0.000000, 11.000000, 0.153393, 0.000000, 11.000000, 10.742332, 0.000000, 10.000000, 10.671899, 0.000000
0.140000, 10.000000, 0.162047, 0.000000, 11.000000, 0.152377, 0.000000, 11.000000, 10.680045, 0.000000, 10.000000, 10.702388, 0.000000
0.160000, 10.000000, 0.163601, 0.000000, 11.000000, 0.152348, 0.000000, 11.000000, 10.661377, 0.000000, 10.000000, 10.714147, 0.000000
0.180000, 10.000000, 0.164693, 0.000000, 11.000000, 0.152660, 0.000000, 11.000000, 10.747361, 0.000000, 10.000000, 10.642668, 0.000000
0.200000, 10.000000, 0.164099, 0.000000, 11.000000, 0.152639, 0.000000, 11.000000, 10.621623, 0.000000, 10.000000, 10.696738, 0.000000
0.220000, 10.000000, 0.158949, 0.000000, 11.000000, 0.152048, 0.000000, 11.000000, 10.621836, 0.000000, 10.000000, 10.670949, 0.000000
0.240000, 10.000000, 0.156780, 0.000000, 11.000000, 0.151980, 0.000000, 11.000000, 10.666304, 0.000000, 10.000000, 10.672162, 0.000000
0.260000, 10.000000, 0.164924, 0.000000, 11.000000, 0.158773, 0.000000, 11.000000, 10.628946, 0.000000, 10.000000, 10.708853, 0.000000
0.280000, 10.000000, 0.161971, 0.000000, 11.000000, 0.152006, 0.000000, 11.000000, 10.639810, 0.000000, 10.000000, 10.691234, 0.000000
0.300000, 10.000000, 0.158408, 0.000000, 11.000000, 0.152502, 0.000000, 11.000000, 10.657351, 0.000000, 10.000000, 10.669269, 0.000000
0.320000, 10.000000, 0.156671, 0.000000, 11.000000, 0.152351, 0.000000, 11.000000, 10.821804, 0.000000, 10.000000, 10.709370, 0.000000
0.340000, 10.000000, 0.156927, 0.000000, 11.000000, 0.151652, 0.000000, 11.000000, 10.709798, 0.000000, 10.000000, 10.689190, 0.000000
0.360000, 10.000000, 0.159404, 0.000000, 11.000000, 0.151909, 0.000000, 11.000000, 10.687558, 0.000000, 10.000000, 10.647458, 0.000000
0.380000, 10.000000, 0.165808, 0.000000, 11.000000, 0.152860, 0.000000, 11.000000, 10.584618, 0.000000, 10.000000, 10.684615, 0.000000
0.400000, 10.000000, 0.158935, 0.000000, 11.000000, 0.152096, 0.000000, 11.000000, 10.647501, 0.000000, 10.000000, 10.720484, 0.000000
0.420000, 10.000000, 0.156717, 0.000000, 11.000000, 0.152156, 0.000000, 11.000000, 10.621281, 0.000000, 10.000000, 10.818742, 0.000000
0.440000, 10.000000, 0.155924, 0.000000, 11.000000, 0.151644, 0.000000, 11.000000, 10.786418, 0.000000, 10.000000, 10.741767, 0.000000
0.460000, 10.000000, 0.156326, 0.000000, 11.000000, 0.151776, 0.000000, 11.000000, 10.691731, 0.000000, 10.000000, 10.730046, 0.000000
0.480000, 10.000000, 0.156238, 0.000000, 11.000000, 0.151902, 0.000000, 11.000000, 10.734475, 0.000000, 10.000000, 10.700179, 0.000000
0.500000, 10.000000, 0.155870, 0.000000, 11.000000, 0.150880, 0.000000, 11.000000, 10.680891, 0.000000, 10.000000, 10.702737, 0.000000
0.520000, 10.000000, 0.155535, 0.000000, 11.000000, 0.151451, 0.000000, 11.000000, 10.738095, 0.000000, 10.000000, 10.699156, 0.000000
0.540000, 10.000000, 0.154547, 0.000000, 11.000000, 0.151684, 0.000000, 11.000000, 10.650040, 0.000000, 10.000000, 10.660787, 0.000000
0.560000, 10.000000, 0.154636, 0.000000, 11.000000, 0.150766, 0.000000, 11.000000, 10.590653, 0.000000, 10.000000, 10.689868, 0.000000
0.580000, 10.000000, 0.154255, 0.000000, 11.000000, 0.150210, 0.000000, 11.000000, 10.714520, 0.000000, 10.000000, 10.703597, 0.000000
0.600000, 10.000000, 0.154756, 0.000000, 11.000000, 0.150814, 0.000000, 11.000000, 10.618240, 0.000000, 10.000000, 10.650165, 0.000000
0.620000, 10.000000, 0.154551, 0.000000, 12.000000, 0.149996, 0.000000, 11.000000, 10.689247, 0.000000, 10.000000, 10.725429, 0.000000
0.640000, 10.000000, 0.155654, 0.000000, 12.000000, 0.149794, 0.000000, 11.000000, 10.620111, 0.000000, 10.000000, 10.715866, 0.000000
0.660000, 10.000000, 0.154996, 0.000000, 12.000000, 0.150190, 0.000000, 11.000000, 10.658922, 0.000000, 10.000000, 10.661726, 0.000000
0.680000, 10.000000, 0.154334, 0.000000, 14.000000, 0.149891, 0.000000, 11.000000, 10.679133, 0.000000, 10.000000, 10.721415, 0.000000
0.700000, 10.000000, 0.153258, 0.000000, 16.000000, 0.149319, 0.000000, 11.000000, 10.688487, 0.000000, 10.000000, 10.707996, 0.000000
0.720000, 10.000000, 0.152562, 0.000000, 17.000000, 0.150364, 0.000000, 11.000000, 10.654831, 0.000000, 10.000000, 10.808714, 0.000000
0.740000, 10.000000, 0.152528, 0.000000, 20.000000, 0.151180, 0.000000, 11.000000, 10.614384, 0.000000, 10.000000, 10.702647, 0.000000
0.760000, 10.000000, 0.152487, 0.000000, 21.000000, 0.148561, 0.000000, 11.000000, 10.665977, 0.000000, 10.000000, 10.693001, 0.000000
0.780000, 10.000000, 0.153124, 0.000000, 23.000000, 0.150779, 0.000000, 11.000000, 10.718038, 0.000000, 10.000000, 10.684599, 0.000000
0.800000, 10.000000, 0.152143, 0.000000, 28.000000, 0.148253, 0.000000, 11.000000, 10.687930, 0.000000, 10.000000, 10.710073, 0.000000
0.820000, 10.000000, 0.152569, 0.000000, 35.000000, 0.149015, 0.000000, 11.000000, 10.706534, 0.000000, 12.000000, 10.703584, 0.000000
0.840000, 10.000000, 0.152946, 0.000000, 40.000000, 0.148215, 0.000000, 12.000000, 10.684171, 0.000000, 13.000000, 10.685256, 0.000000
0.860000, 10.000000, 0.152997, 0.000000, 51.000000, 0.148153, 0.000000, 12.000000, 10.689488, 0.000000, 16.000000, 10.726237, 0.000000
0.880000, 10.000000, 0.152285, 0.000000, 60.000000, 0.148009, 0.000000, 14.000000, 10.854826, 0.000000, 21.000000, 10.759496, 0.000000
0.900000, 10.000000, 0.152651, 0.000000, 82.000000, 0.144824, 0.000000, 14.000000, 10.701971, 0.000000, 32.000000, 10.750791, 0.000000
0.920000, 10.000000, 0.150575, 0.000000, 109.000000, 0.145669, 0.000000, 18.000000, 10.714376, 0.000000, 49.000000, 10.885279, 0.000000
0.940000, 10.000000, 0.149950, 0.000000, 161.000000, 0.148579, 0.000000, 29.000000, 10.787212, 0.000000, 82.000000, 11.222391, 0.000000
0.960000, 11.000000, 0.150798, 0.000000, 242.000000, 0.142550, 0.000000, 63.000000, 11.280128, 0.000000, 179.000000, 14.851443, 0.000000
0.980000, 26.000000, 0.190520, 0.000000, 443.000000, 0.130565, 0.000000, 262.000000, 28.493552, 0.000000, 437.000000, 33.389681, 0.000000
