Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 41.000000, 0.357056, 0.010000, 40.000000, 0.315475, 0.015000, 42.000000, 17.450064, 0.010000, 40.000000, 17.615183, 0.020000
0.040000, 41.000000, 0.356823, 0.010000, 40.000000, 0.306948, 0.015000, 42.000000, 17.483162, 0.010000, 40.000000, 17.495845, 0.020000
0.060000, 41.000000, 0.355204, 0.010000, 40.000000, 0.309950, 0.015000, 42.000000, 17.419446, 0.010000, 40.000000, 17.468297, 0.020000
0.080000, 41.000000, 0.356707, 0.010000, 40.000000, 0.302453, 0.015000, 42.000000, 17.381851, 0.010000, 40.000000, 17.636539, 0.020000
0.100000, 41.000000, 0.355106, 0.010000, 40.000000, 0.296452, 0.015000, 42.000000, 17.445131, 0.010000, 40.000000, 18.237835, 0.020000
0.120000, 41.000000, 0.356317, 0.010000, 40.000000, 0.291316, 0.015000, 42.000000, 17.453740, 0.010000, 40.000000, 17.630152, 0.020000
0.140000, 41.000000, 0.356332, 0.010000, 40.000000, 0.291210, 0.015000, 42.000000, 17.380738, 0.010000, 40.000000, 17.762140, 0.020000
0.160000, 41.000000, 0.356867, 0.010000, 40.000000, 0.288748, 0.015000, 42.000000, 17.465691, 0.010000, 40.000000, 17.472753, 0.020000
0.180000, 41.000000, 0.355428, 0.010000, 40.000000, 0.284510, 0.015000, 42.000000, 17.428516, 0.010000, 40.000000, 17.535453, 0.020000
0.200000, 41.000000, 0.354456, 0.010000, 40.000000, 0.281579, 0.015000, 42.000000, 17.530269, 0.010000, 40.000000, 17.381127, 0.020000
0.220000, 41.000000, 0.352294, 0.010000, 40.000000, 0.283271, 0.015000, 42.000000, 17.456389, 0.010000, 40.000000, 17.315959, 0.020000
0.240000, 41.000000, 0.353553, 0.010000, 40.000000, 0.278203, 0.015000, 42.000000, 17.359150, 0.010000, 40.000000, 17.358318, 0.020000
0.260000, 41.000000, 0.348344, 0.010000, 40.000000, 0.275447, 0.015000, 42.000000, 17.383743, 0.010000, 40.000000, 17.385274, 0.020000
0.280000, 41.000000, 0.345781, 0.010000, 40.000000, 0.273527, 0.015000, 42.000000, 17.628623, 0.010000, 40.000000, 17.499187, 0.020000
0.300000, 41.000000, 0.343363, 0.010000, 40.000000, 0.271722, 0.015000, 42.000000, 17.501583, 0.010000, 40.000000, 17.441677, 0.020000
0.320000, 41.000000, 0.343844, 0.010000, 40.000000, 0.267989, 0.015000, 42.000000, 17.403677, 0.010000, 40.000000, 17.267310, 0.020000
0.340000, 41.000000, 0.336373, 0.010000, 40.000000, 0.266097, 0.015000, 42.000000, 17.393711, 0.010000, 40.000000, 17.260422, 0.020000
0.360000, 41.000000, 0.331882, 0.010000, 40.000000, 0.263899, 0.015000, 42.000000, 17.401750, 0.010000, 40.000000, 17.198421, 0.020000
0.380000, 41.000000, 0.328083, 0.010000, 40.000000, 0.261773, 0.015000, 42.000000, 17.389895, 0.010000, 40.000000, 17.464023, 0.020000
0.400000, 41.000000, 0.324578, 0.010000, 40.000000, 0.256677, 0.015000, 42.000000, 17.417421, 0.010000, 40.000000, 17.386925, 0.020000
0.420000, 41.000000, 0.317050, 0.010000, 40.000000, 0.253694, 0.015000, 42.000000, 17.354170, 0.010000, 40.000000, 17.586989, 0.020000
0.440000, 41.000000, 0.313135, 0.010000, 40.000000, 0.249896, 0.015000, 42.000000, 17.396927, 0.010000, 40.000000, 17.454220, 0.020000
0.460000, 41.000000, 0.309241, 0.010000, 40.000000, 0.249370, 0.015000, 42.000000, 17.374164, 0.010000, 40.000000, 17.340976, 0.020000
0.480000, 41.000000, 0.307560, 0.010000, 40.000000, 0.247137, 0.015000, 42.000000, 17.316278, 0.010000, 40.000000, 17.302125, 0.020000
0.500000, 41.000000, 0.304366, 0.010000, 40.000000, 0.245554, 0.015000, 42.000000, 17.696690, 0.010000, 40.000000, 17.524039, 0.020000
0.520000, 41.000000, 0.300930, 0.010000, 40.000000, 0.243189, 0.015000, 42.000000, 18.147449, 0.010000, 40.000000, 17.315281, 0.020000
0.540000, 41.000000, 0.298311, 0.010000, 40.000000, 0.244196, 0.015000, 42.000000, 17.736101, 0.010000, 40.000000, 17.304150, 0.020000
0.560000, 41.000000, 0.297442, 0.010000, 40.000000, 0.239375, 0.015000, 42.000000, 17.307591, 0.010000, 40.000000, 17.453580, 0.020000
0.580000, 41.000000, 0.293036, 0.010000, 40.000000, 0.237359, 0.015000, 42.000000, 17.347060, 0.010000, 40.000000, 17.522443, 0.020000
0.600000, 41.000000, 0.289361, 0.010000, 40.000000, 0.236790, 0.015000, 42.000000, 17.428211, 0.010000, 40.000000, 17.419547, 0.020000
0.620000, 41.000000, 0.286540, 0.010000, 42.000000, 0.237624, 0.015000, 42.000000, 17.466561, 0.010000, 40.000000, 17.356703, 0.020000
0.640000, 41.000000, 0.285196, 0.010000, 42.000000, 0.234656, 0.015000, 42.000000, 17.400463, 0.010000, 40.000000, 17.534474, 0.020000
