Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 25.000000, 1.176082, 0.000000, 25.000000, 1.162472, 0.000000, 25.000000, 165.162211, 0.001647, 23.000000, 161.599363, 0.000000
0.040000, 25.000000, 1.169266, 0.000000, 25.000000, 1.164588, 0.000000, 25.000000, 159.251025, 0.001647, 23.000000, 164.564422, 0.000000
0.060000, 25.000000, 1.166605, 0.000000, 25.000000, 1.161950, 0.000000, 25.000000, 157.212633, 0.001647, 23.000000, 161.584156, 0.000000
0.080000, 25.000000, 1.159805, 0.000000, 25.000000, 1.159458, 0.000000, 25.000000, 156.223568, 0.001647, 23.000000, 164.714244, 0.000000
0.100000, 25.000000, 1.162903, 0.000000, 25.000000, 1.157783, 0.000000, 25.000000, 156.791597, 0.001647, 23.000000, 165.288829, 0.000000
0.120000, 25.000000, 1.159717, 0.000000, 25.000000, 1.163273, 0.000000, 25.000000, 157.263027, 0.001647, 23.000000, 168.567967, 0.000000
0.140000, 25.000000, 1.157423, 0.000000, 25.000000, 1.160932, 0.000000, 25.000000, 157.499452, 0.001647, 23.000000, 166.749199, 0.000000
0.160000, 25.000000, 1.161696, 0.000000, 25.000000, 1.159713, 0.000000, 25.000000, 156.927285, 0.001647, 23.000000, 168.474964, 0.000000
0.180000, 25.000000, 1.160348, 0.000000, 25.000000, 1.159650, 0.000000, 25.000000, 157.355145, 0.001647, 23.000000, 173.310096, 0.000000
0.200000, 25.000000, 1.160288, 0.000000, 25.000000, 1.160224, 0.000000, 25.000000, 157.051013, 0.001647, 23.000000, 178.450186, 0.000000
0.220000, 25.000000, 1.159344, 0.000000, 25.000000, 1.158893, 0.000000, 25.000000, 157.023487, 0.001647, 23.000000, 172.159985, 0.000000
0.240000, 25.000000, 1.157691, 0.000000, 25.000000, 1.158109, 0.000000, 25.000000, 158.119320, 0.001647, 23.000000, 166.914265, 0.000000
0.260000, 25.000000, 1.159905, 0.000000, 25.000000, 1.157555, 0.000000, 25.000000, 156.636317, 0.001647, 23.000000, 167.027416, 0.000000
0.280000, 25.000000, 1.157579, 0.000000, 25.000000, 1.158536, 0.000000, 25.000000, 156.706717, 0.001647, 23.000000, 166.060297, 0.000000
0.300000, 25.000000, 1.157644, 0.000000, 25.000000, 1.159106, 0.000000, 25.000000, 157.035478, 0.001647, 23.000000, 169.984832, 0.000000
0.320000, 25.000000, 1.158169, 0.000000, 25.000000, 1.157708, 0.000000, 25.000000, 162.965955, 0.001647, 23.000000, 174.325514, 0.000000
0.340000, 25.000000, 1.157602, 0.000000, 25.000000, 1.157939, 0.000000, 25.000000, 163.952277, 0.001647, 23.000000, 178.065351, 0.000000
0.360000, 25.000000, 1.157491, 0.000000, 25.000000, 1.155804, 0.000000, 25.000000, 164.382335, 0.001647, 23.000000, 172.894700, 0.000000
0.380000, 25.000000, 1.157101, 0.000000, 25.000000, 1.153130, 0.000000, 25.000000, 165.386343, 0.001647, 23.000000, 173.491487, 0.000000
0.400000, 25.000000, 1.159952, 0.000000, 25.000000, 1.155171, 0.000000, 25.000000, 166.222911, 0.001647, 23.000000, 163.851620, 0.000000
