Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 13.000000, 0.090627, 0.010000, 13.000000, 0.087163, 0.000000, 13.000000, 4.740824, 0.000000, 13.000000, 4.958362, 0.000000
0.040000, 13.000000, 0.086584, 0.010000, 13.000000, 0.089913, 0.000000, 13.000000, 4.843980, 0.000000, 13.000000, 4.447360, 0.000000
0.060000, 13.000000, 0.089301, 0.010000, 13.000000, 0.092933, 0.000000, 13.000000, 4.746120, 0.000000, 13.000000, 4.440575, 0.000000
0.080000, 13.000000, 0.092233, 0.010000, 13.000000, 0.087105, 0.000000, 13.000000, 4.541748, 0.000000, 13.000000, 4.492634, 0.000000
0.100000, 13.000000, 0.089493, 0.010000, 13.000000, 0.087171, 0.000000, 13.000000, 4.619627, 0.000000, 13.000000, 4.871179, 0.000000
0.120000, 13.000000, 0.087226, 0.010000, 13.000000, 0.087600, 0.000000, 13.000000, 4.669968, 0.000000, 13.000000, 4.487462, 0.000000
0.140000, 13.000000, 0.086611, 0.010000, 13.000000, 0.086710, 0.000000, 13.000000, 4.653905, 0.000000, 13.000000, 4.417056, 0.000000
0.160000, 13.000000, 0.088690, 0.010000, 13.000000, 0.093880, 0.000000, 13.000000, 4.512792, 0.000000, 13.000000, 4.387104, 0.000000
0.180000, 13.000000, 0.091298, 0.010000, 13.000000, 0.086204, 0.000000, 13.000000, 4.477497, 0.000000, 13.000000, 4.501128, 0.000000
0.200000, 13.000000, 0.091380, 0.010000, 13.000000, 0.090761, 0.000000, 13.000000, 4.507331, 0.000000, 13.000000, 4.415808, 0.000000
0.220000, 13.000000, 0.087308, 0.010000, 13.000000, 0.086027, 0.000000, 13.000000, 4.488917, 0.000000, 13.000000, 4.510872, 0.000000
0.240000, 13.000000, 0.087548, 0.010000, 13.000000, 0.086761, 0.000000, 13.000000, 4.707599, 0.000000, 13.000000, 4.439378, 0.000000
0.260000, 13.000000, 0.091558, 0.010000, 13.000000, 0.087487, 0.000000, 13.000000, 4.701378, 0.000000, 13.000000, 4.449375, 0.000000
0.280000, 13.000000, 0.092332, 0.010000, 13.000000, 0.095685, 0.000000, 13.000000, 4.603736, 0.000000, 13.000000, 5.074530, 0.000000
0.300000, 13.000000, 0.088708, 0.010000, 13.000000, 0.098398, 0.000000, 13.000000, 4.642319, 0.000000, 13.000000, 4.819440, 0.000000
0.320000, 13.000000, 0.085299, 0.010000, 13.000000, 0.091629, 0.000000, 13.000000, 4.931810, 0.000000, 13.000000, 4.503967, 0.000000
0.340000, 13.000000, 0.087195, 0.010000, 13.000000, 0.088029, 0.000000, 13.000000, 4.612598, 0.000000, 13.000000, 4.473109, 0.000000
0.360000, 13.000000, 0.091783, 0.010000, 13.000000, 0.087536, 0.000000, 13.000000, 4.635437, 0.000000, 13.000000, 4.469001, 0.000000
0.380000, 13.000000, 0.093155, 0.010000, 13.000000, 0.086458, 0.000000, 13.000000, 4.495520, 0.000000, 13.000000, 4.453962, 0.000000
0.400000, 13.000000, 0.088761, 0.010000, 13.000000, 0.086180, 0.000000, 13.000000, 4.492293, 0.000000, 13.000000, 4.478790, 0.000000
0.420000, 13.000000, 0.086085, 0.010000, 13.000000, 0.087988, 0.000000, 13.000000, 4.820595, 0.000000, 13.000000, 4.476976, 0.000000
0.440000, 13.000000, 0.088007, 0.010000, 13.000000, 0.089173, 0.000000, 13.000000, 4.852000, 0.000000, 13.000000, 4.471933, 0.000000
0.460000, 13.000000, 0.093291, 0.010000, 13.000000, 0.088967, 0.000000, 13.000000, 4.692867, 0.000000, 13.000000, 4.782651, 0.000000
0.480000, 13.000000, 0.090101, 0.010000, 13.000000, 0.092643, 0.000000, 13.000000, 4.557617, 0.000000, 13.000000, 4.748081, 0.000000
0.500000, 13.000000, 0.085756, 0.010000, 13.000000, 0.089444, 0.000000, 13.000000, 5.335934, 0.000000, 13.000000, 4.452861, 0.000000
0.520000, 13.000000, 0.087545, 0.010000, 13.000000, 0.084947, 0.000000, 13.000000, 4.793238, 0.000000, 13.000000, 4.643229, 0.000000
0.540000, 13.000000, 0.092696, 0.010000, 13.000000, 0.089113, 0.000000, 13.000000, 4.714943, 0.000000, 13.000000, 4.515019, 0.000000
0.560000, 13.000000, 0.094603, 0.010000, 13.000000, 0.085319, 0.000000, 13.000000, 4.632475, 0.000000, 13.000000, 4.434349, 0.000000
0.580000, 13.000000, 0.089805, 0.010000, 13.000000, 0.087036, 0.000000, 13.000000, 4.465814, 0.000000, 13.000000, 4.431001, 0.000000
0.600000, 13.000000, 0.087483, 0.010000, 13.000000, 0.090737, 0.000000, 13.000000, 4.507439, 0.000000, 13.000000, 4.412066, 0.000000
0.620000, 13.000000, 0.085669, 0.010000, 13.000000, 0.087906, 0.000000, 13.000000, 4.421337, 0.000000, 13.000000, 4.405283, 0.000000
0.640000, 13.000000, 0.088245, 0.010000, 13.000000, 0.085628, 0.000000, 13.000000, 4.505952, 0.000000, 13.000000, 4.423421, 0.000000
0.660000, 13.000000, 0.095640, 0.010000, 13.000000, 0.084766, 0.000000, 13.000000, 4.414537, 0.000000, 13.000000, 4.442635, 0.000000
0.680000, 13.000000, 0.086336, 0.010000, 13.000000, 0.085240, 0.000000, 13.000000, 4.414515, 0.000000, 13.000000, 4.420546, 0.000000
0.700000, 13.000000, 0.087190, 0.010000, 13.000000, 0.094078, 0.000000, 13.000000, 4.537804, 0.000000, 13.000000, 4.430006, 0.000000
0.720000, 13.000000, 0.095111, 0.010000, 13.000000, 0.094885, 0.000000, 13.000000, 4.432608, 0.000000, 13.000000, 4.431984, 0.000000
0.740000, 13.000000, 0.091719, 0.010000, 13.000000, 0.094636, 0.000000, 13.000000, 4.424226, 0.000000, 13.000000, 4.442897, 0.000000
0.760000, 13.000000, 0.085675, 0.010000, 13.000000, 0.088859, 0.000000, 13.000000, 4.432161, 0.000000, 13.000000, 4.406771, 0.000000
0.780000, 13.000000, 0.087901, 0.010000, 13.000000, 0.086454, 0.000000, 13.000000, 4.400059, 0.000000, 13.000000, 4.404254, 0.000000
0.800000, 13.000000, 0.088028, 0.010000, 13.000000, 0.090785, 0.000000, 13.000000, 4.425179, 0.000000, 13.000000, 4.401685, 0.000000
0.820000, 13.000000, 0.087496, 0.010000, 16.000000, 0.085385, 0.000000, 13.000000, 4.425153, 0.000000, 13.000000, 4.404107, 0.000000
0.840000, 13.000000, 0.087973, 0.010000, 20.000000, 0.083786, 0.000000, 13.000000, 4.420224, 0.000000, 13.000000, 4.418228, 0.000000
0.860000, 13.000000, 0.086353, 0.010000, 29.000000, 0.083696, 0.000000, 13.000000, 4.417228, 0.000000, 13.000000, 4.412056, 0.000000
0.880000, 13.000000, 0.085973, 0.010000, 37.000000, 0.083277, 0.000000, 13.000000, 4.404847, 0.000000, 13.000000, 4.402396, 0.000000
0.900000, 13.000000, 0.088862, 0.010000, 43.000000, 0.081388, 0.000000, 13.000000, 4.432821, 0.000000, 18.000000, 4.421178, 0.010000
0.920000, 13.000000, 0.086806, 0.010000, 55.000000, 0.083510, 0.000000, 13.000000, 4.745003, 0.000000, 30.000000, 4.487142, 0.010000
0.940000, 13.000000, 0.087453, 0.010000, 77.000000, 0.082269, 0.000000, 22.000000, 4.956876, 0.000000, 44.000000, 4.623592, 0.010000
0.960000, 13.000000, 0.087052, 0.010000, 127.000000, 0.078256, 0.000000, 46.000000, 5.007252, 0.000000, 88.000000, 5.342802, 0.000000
0.980000, 34.000000, 0.102974, 0.000000, 218.000000, 0.087876, 0.000000, 132.000000, 8.073115, 0.000000, 209.000000, 9.190706, 0.000000
