Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 40.000000, 0.208072, 0.000000, 40.000000, 0.207575, 0.000000, 40.000000, 17.517199, 0.000000, 40.000000, 18.867094, 0.000000
0.040000, 40.000000, 0.206560, 0.000000, 40.000000, 0.210624, 0.000000, 40.000000, 17.469333, 0.000000, 40.000000, 18.649367, 0.000000
0.060000, 40.000000, 0.207692, 0.000000, 40.000000, 0.209995, 0.000000, 40.000000, 17.518672, 0.000000, 40.000000, 18.730359, 0.000000
0.080000, 40.000000, 0.205679, 0.000000, 40.000000, 0.208461, 0.000000, 40.000000, 17.530493, 0.000000, 40.000000, 18.953412, 0.000000
0.100000, 40.000000, 0.206355, 0.000000, 40.000000, 0.208933, 0.000000, 40.000000, 17.474975, 0.000000, 40.000000, 18.743266, 0.000000
0.120000, 40.000000, 0.206853, 0.000000, 40.000000, 0.209240, 0.000000, 40.000000, 17.499437, 0.000000, 40.000000, 18.812526, 0.000000
0.140000, 40.000000, 0.207049, 0.000000, 40.000000, 0.208867, 0.000000, 40.000000, 17.603465, 0.000000, 40.000000, 18.836043, 0.000000
0.160000, 40.000000, 0.205454, 0.000000, 40.000000, 0.208739, 0.000000, 40.000000, 17.523224, 0.000000, 40.000000, 18.966335, 0.000000
0.180000, 40.000000, 0.206555, 0.000000, 40.000000, 0.209711, 0.000000, 40.000000, 17.507384, 0.000000, 40.000000, 18.460600, 0.000000
0.200000, 40.000000, 0.206864, 0.000000, 40.000000, 0.208030, 0.000000, 40.000000, 17.529256, 0.000000, 40.000000, 18.472260, 0.000000
0.220000, 40.000000, 0.207572, 0.000000, 40.000000, 0.208372, 0.000000, 40.000000, 17.452262, 0.000000, 40.000000, 18.419485, 0.000000
0.240000, 40.000000, 0.207396, 0.000000, 40.000000, 0.210063, 0.000000, 40.000000, 17.477284, 0.000000, 40.000000, 18.353083, 0.000000
0.260000, 40.000000, 0.206536, 0.000000, 40.000000, 0.210023, 0.000000, 40.000000, 17.481071, 0.000000, 40.000000, 18.456474, 0.000000
0.280000, 40.000000, 0.206932, 0.000000, 40.000000, 0.208404, 0.000000, 40.000000, 17.482882, 0.000000, 40.000000, 18.394854, 0.000000
0.300000, 40.000000, 0.207797, 0.000000, 40.000000, 0.208880, 0.000000, 40.000000, 17.563334, 0.000000, 40.000000, 18.761998, 0.000000
0.320000, 40.000000, 0.206878, 0.000000, 40.000000, 0.208794, 0.000000, 40.000000, 17.579345, 0.000000, 40.000000, 18.398836, 0.000000
0.340000, 40.000000, 0.216881, 0.000000, 40.000000, 0.209873, 0.000000, 40.000000, 17.880189, 0.000000, 40.000000, 18.366888, 0.000000
0.360000, 40.000000, 0.223525, 0.000000, 40.000000, 0.210218, 0.000000, 40.000000, 17.630550, 0.000000, 40.000000, 18.446565, 0.000000
0.380000, 40.000000, 0.236787, 0.000000, 40.000000, 0.208891, 0.000000, 40.000000, 17.783865, 0.000000, 40.000000, 18.337407, 0.000000
0.400000, 40.000000, 0.232135, 0.000000, 40.000000, 0.210854, 0.000000, 40.000000, 17.475859, 0.000000, 40.000000, 18.339019, 0.000000
0.420000, 40.000000, 0.212259, 0.000000, 40.000000, 0.207409, 0.000000, 40.000000, 17.666906, 0.000000, 40.000000, 18.522831, 0.000000
0.440000, 40.000000, 0.224234, 0.000000, 40.000000, 0.208911, 0.000000, 40.000000, 18.346009, 0.000000, 40.000000, 18.363173, 0.000000
0.460000, 40.000000, 0.223840, 0.000000, 40.000000, 0.209136, 0.000000, 40.000000, 19.057109, 0.000000, 40.000000, 18.397759, 0.000000
0.480000, 40.000000, 0.208693, 0.000000, 40.000000, 0.208659, 0.000000, 40.000000, 18.974638, 0.000000, 40.000000, 18.348945, 0.000000
0.500000, 40.000000, 0.204257, 0.000000, 40.000000, 0.206569, 0.000000, 40.000000, 19.150614, 0.000000, 40.000000, 18.387554, 0.000000
0.520000, 40.000000, 0.205441, 0.000000, 40.000000, 0.207648, 0.000000, 40.000000, 18.934550, 0.000000, 40.000000, 18.550529, 0.000000
0.540000, 40.000000, 0.211807, 0.000000, 40.000000, 0.206841, 0.000000, 40.000000, 18.694775, 0.000000, 40.000000, 18.382543, 0.000000
0.560000, 40.000000, 0.205240, 0.000000, 40.000000, 0.208608, 0.000000, 40.000000, 18.786987, 0.000000, 40.000000, 18.369665, 0.000000
0.580000, 40.000000, 0.204713, 0.000000, 40.000000, 0.207223, 0.000000, 40.000000, 18.774117, 0.000000, 40.000000, 18.470783, 0.000000
0.600000, 40.000000, 0.203856, 0.000000, 40.000000, 0.207540, 0.000000, 40.000000, 18.601761, 0.000000, 40.000000, 18.395911, 0.000000
0.620000, 40.000000, 0.206088, 0.000000, 40.000000, 0.207040, 0.000000, 40.000000, 18.686201, 0.000000, 40.000000, 18.461630, 0.000000
0.640000, 40.000000, 0.207276, 0.000000, 40.000000, 0.221001, 0.000000, 40.000000, 18.586152, 0.000000, 40.000000, 18.689834, 0.000000
0.660000, 40.000000, 0.204693, 0.000000, 40.000000, 0.205114, 0.000000, 40.000000, 19.340751, 0.000000, 40.000000, 18.376562, 0.000000
0.680000, 40.000000, 0.205366, 0.000000, 40.000000, 0.206656, 0.000000, 40.000000, 18.802062, 0.000000, 40.000000, 18.400835, 0.000000
0.700000, 40.000000, 0.205086, 0.000000, 40.000000, 0.207065, 0.000000, 40.000000, 18.790930, 0.000000, 40.000000, 18.416521, 0.000000
0.720000, 40.000000, 0.204341, 0.000000, 40.000000, 0.207574, 0.000000, 40.000000, 18.795319, 0.000000, 40.000000, 18.509827, 0.000000
0.740000, 40.000000, 0.204034, 0.000000, 40.000000, 0.206185, 0.000000, 40.000000, 18.839525, 0.000000, 40.000000, 18.353064, 0.000000
0.760000, 40.000000, 0.205346, 0.000000, 40.000000, 0.206493, 0.000000, 40.000000, 18.702015, 0.000000, 40.000000, 18.908597, 0.000000
0.780000, 40.000000, 0.204541, 0.000000, 40.000000, 0.213210, 0.000000, 40.000000, 18.651789, 0.000000, 40.000000, 19.297181, 0.000000
0.800000, 40.000000, 0.204206, 0.000000, 40.000000, 0.207349, 0.000000, 40.000000, 18.790985, 0.000000, 40.000000, 18.725371, 0.000000
0.820000, 40.000000, 0.203755, 0.000000, 40.000000, 0.206659, 0.000000, 40.000000, 18.650039, 0.000000, 40.000000, 18.814391, 0.000000
0.840000, 40.000000, 0.204600, 0.000000, 40.000000, 0.205648, 0.000000, 40.000000, 18.649015, 0.000000, 40.000000, 18.781311, 0.000000
0.860000, 40.000000, 0.203611, 0.000000, 41.000000, 0.206370, 0.000000, 40.000000, 18.611497, 0.000000, 40.000000, 18.869953, 0.000000
0.880000, 40.000000, 0.205129, 0.000000, 48.000000, 0.206471, 0.000000, 40.000000, 18.751156, 0.000000, 40.000000, 18.651280, 0.000000
0.900000, 40.000000, 0.204303, 0.000000, 62.000000, 0.206976, 0.000000, 40.000000, 18.649830, 0.000000, 40.000000, 18.798240, 0.000000
0.920000, 40.000000, 0.204085, 0.000000, 79.000000, 0.206531, 0.000000, 40.000000, 18.923035, 0.000000, 48.000000, 18.952840, 0.000000
0.940000, 40.000000, 0.207029, 0.000000, 110.000000, 0.203729, 0.000000, 42.000000, 18.725747, 0.000000, 64.000000, 19.193425, 0.000000
0.960000, 42.000000, 0.203410, 0.000000, 175.000000, 0.209937, 0.000000, 65.000000, 19.267043, 0.000000, 108.000000, 20.900846, 0.000000
0.980000, 79.000000, 0.222183, 0.000000, 334.000000, 0.235521, 0.000000, 161.000000, 25.703248, 0.000000, 280.000000, 31.817583, 0.000000
