Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 34.000000, 0.115722, 0.348837, 34.000000, 0.125847, 0.255814, 34.000000, 1.266059, 0.348837, 33.000000, 1.175764, 0.325581
0.040000, 34.000000, 0.112362, 0.348837, 34.000000, 0.125662, 0.255814, 34.000000, 1.383277, 0.348837, 33.000000, 1.174980, 0.325581
0.060000, 34.000000, 0.109016, 0.348837, 34.000000, 0.127857, 0.255814, 34.000000, 1.266944, 0.348837, 33.000000, 1.165820, 0.325581
0.080000, 34.000000, 0.108712, 0.348837, 34.000000, 0.124094, 0.255814, 34.000000, 1.172043, 0.348837, 33.000000, 1.165841, 0.325581
0.100000, 34.000000, 0.107072, 0.348837, 34.000000, 0.122852, 0.255814, 34.000000, 1.167329, 0.348837, 33.000000, 1.179113, 0.325581
0.120000, 34.000000, 0.106695, 0.348837, 34.000000, 0.119487, 0.255814, 34.000000, 1.159891, 0.348837, 33.000000, 1.161459, 0.325581
0.140000, 34.000000, 0.108245, 0.348837, 34.000000, 0.112858, 0.255814, 34.000000, 1.159392, 0.348837, 33.000000, 1.147576, 0.325581
0.160000, 34.000000, 0.105288, 0.348837, 34.000000, 0.116597, 0.255814, 34.000000, 1.162232, 0.348837, 33.000000, 1.122190, 0.325581
0.180000, 34.000000, 0.118764, 0.348837, 34.000000, 0.103635, 0.255814, 34.000000, 1.160850, 0.348837, 33.000000, 1.174807, 0.325581
0.200000, 34.000000, 0.099176, 0.348837, 34.000000, 0.096358, 0.255814, 34.000000, 1.161156, 0.348837, 33.000000, 1.135848, 0.325581
0.220000, 34.000000, 0.093187, 0.348837, 34.000000, 0.088711, 0.255814, 34.000000, 1.145850, 0.348837, 33.000000, 1.114092, 0.325581
0.240000, 34.000000, 0.093175, 0.348837, 34.000000, 0.086044, 0.255814, 34.000000, 1.142820, 0.348837, 33.000000, 1.121240, 0.325581
0.260000, 34.000000, 0.090643, 0.348837, 34.000000, 0.084733, 0.255814, 34.000000, 1.164561, 0.348837, 33.000000, 1.140527, 0.325581
0.280000, 34.000000, 0.089646, 0.348837, 34.000000, 0.080122, 0.255814, 34.000000, 1.142032, 0.348837, 33.000000, 1.122991, 0.325581
0.300000, 34.000000, 0.091374, 0.348837, 34.000000, 0.079462, 0.255814, 34.000000, 1.158511, 0.348837, 33.000000, 1.094435, 0.325581
0.320000, 34.000000, 0.092096, 0.348837, 34.000000, 0.078467, 0.255814, 34.000000, 1.136960, 0.348837, 33.000000, 1.121946, 0.325581
0.340000, 34.000000, 0.087266, 0.348837, 34.000000, 0.074120, 0.255814, 34.000000, 1.143027, 0.348837, 33.000000, 1.113023, 0.325581
0.360000, 34.000000, 0.085920, 0.348837, 34.000000, 0.074074, 0.255814, 34.000000, 1.135422, 0.348837, 33.000000, 1.130866, 0.325581
0.380000, 34.000000, 0.084863, 0.348837, 34.000000, 0.073974, 0.255814, 34.000000, 1.131853, 0.348837, 33.000000, 1.100464, 0.325581
0.400000, 34.000000, 0.082217, 0.348837, 34.000000, 0.072111, 0.255814, 34.000000, 1.131483, 0.348837, 33.000000, 1.105182, 0.325581
0.420000, 34.000000, 0.080112, 0.348837, 34.000000, 0.071945, 0.255814, 34.000000, 1.137615, 0.348837, 33.000000, 1.095682, 0.325581
