Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 131.000000, 0.239621, 0.185185, 130.000000, 0.208401, 0.185185, 131.000000, 3.952939, 0.185185, 130.000000, 3.854128, 0.185185
0.040000, 131.000000, 0.240567, 0.185185, 130.000000, 0.211893, 0.185185, 131.000000, 3.864422, 0.185185, 130.000000, 3.816547, 0.185185
0.060000, 131.000000, 0.240895, 0.185185, 130.000000, 0.207388, 0.185185, 131.000000, 3.881936, 0.185185, 130.000000, 3.756843, 0.185185
0.080000, 131.000000, 0.241247, 0.185185, 130.000000, 0.204496, 0.185185, 131.000000, 3.934740, 0.185185, 130.000000, 3.796925, 0.185185
0.100000, 131.000000, 0.243342, 0.185185, 130.000000, 0.209697, 0.185185, 131.000000, 3.964077, 0.185185, 130.000000, 3.786784, 0.185185
0.120000, 131.000000, 0.244511, 0.185185, 130.000000, 0.211435, 0.185185, 131.000000, 3.947936, 0.185185, 130.000000, 3.786043, 0.185185
0.140000, 131.000000, 0.246114, 0.185185, 130.000000, 0.207354, 0.185185, 131.000000, 3.912368, 0.185185, 130.000000, 3.740714, 0.185185
0.160000, 131.000000, 0.242765, 0.185185, 130.000000, 0.207775, 0.185185, 131.000000, 3.946444, 0.185185, 130.000000, 3.788497, 0.185185
0.180000, 131.000000, 0.242033, 0.185185, 130.000000, 0.208859, 0.185185, 131.000000, 3.920280, 0.185185, 130.000000, 3.754406, 0.185185
0.200000, 131.000000, 0.242634, 0.185185, 130.000000, 0.209577, 0.185185, 131.000000, 3.900127, 0.185185, 130.000000, 3.753588, 0.185185
0.220000, 131.000000, 0.243937, 0.185185, 130.000000, 0.202257, 0.185185, 131.000000, 3.934582, 0.185185, 130.000000, 3.805777, 0.185185
0.240000, 131.000000, 0.246171, 0.185185, 130.000000, 0.207040, 0.185185, 131.000000, 3.868484, 0.185185, 130.000000, 3.791984, 0.185185
0.260000, 131.000000, 0.221539, 0.185185, 130.000000, 0.189206, 0.185185, 131.000000, 3.818896, 0.185185, 130.000000, 3.731726, 0.185185
0.280000, 131.000000, 0.223903, 0.185185, 130.000000, 0.193232, 0.185185, 131.000000, 3.931027, 0.185185, 130.000000, 3.740834, 0.185185
0.300000, 131.000000, 0.218276, 0.185185, 130.000000, 0.195677, 0.185185, 131.000000, 3.907217, 0.185185, 130.000000, 3.738595, 0.185185
0.320000, 131.000000, 0.218515, 0.185185, 130.000000, 0.181358, 0.185185, 131.000000, 3.918012, 0.185185, 130.000000, 3.755063, 0.185185
0.340000, 131.000000, 0.159097, 0.185185, 130.000000, 0.125704, 0.185185, 131.000000, 3.879426, 0.185185, 130.000000, 3.691252, 0.185185
