Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 119.000000, 1.594107, 0.142857, 124.000000, 2.171200, 0.114286, 120.000000, 7.762828, 0.128571, 123.000000, 8.122413, 0.114286
0.040000, 119.000000, 1.565008, 0.142857, 124.000000, 2.131185, 0.114286, 120.000000, 7.740999, 0.128571, 123.000000, 8.002568, 0.114286
0.060000, 119.000000, 1.419040, 0.142857, 124.000000, 1.997053, 0.114286, 120.000000, 7.685415, 0.128571, 123.000000, 7.910052, 0.114286
0.080000, 119.000000, 1.400485, 0.142857, 124.000000, 1.943958, 0.114286, 120.000000, 7.583437, 0.128571, 123.000000, 8.564944, 0.114286
0.100000, 119.000000, 1.354162, 0.142857, 124.000000, 1.803361, 0.114286, 120.000000, 7.491713, 0.128571, 123.000000, 7.791208, 0.114286
0.120000, 119.000000, 1.285250, 0.142857, 124.000000, 1.683523, 0.114286, 120.000000, 7.433361, 0.128571, 123.000000, 7.552993, 0.114286
0.140000, 119.000000, 1.319832, 0.142857, 124.000000, 1.598485, 0.114286, 120.000000, 7.292461, 0.128571, 123.000000, 7.595950, 0.114286
0.160000, 119.000000, 1.233678, 0.142857, 124.000000, 1.492004, 0.114286, 120.000000, 7.422757, 0.128571, 123.000000, 7.427039, 0.114286
0.180000, 119.000000, 1.133826, 0.142857, 124.000000, 1.458834, 0.114286, 120.000000, 7.493164, 0.128571, 123.000000, 7.327834, 0.114286
0.200000, 119.000000, 1.022862, 0.142857, 124.000000, 1.284567, 0.114286, 120.000000, 7.084065, 0.128571, 123.000000, 7.189689, 0.114286
0.220000, 119.000000, 1.044018, 0.142857, 124.000000, 1.193626, 0.114286, 120.000000, 7.055192, 0.128571, 123.000000, 7.107906, 0.114286
0.240000, 119.000000, 0.979674, 0.142857, 124.000000, 1.138065, 0.114286, 120.000000, 7.154365, 0.128571, 123.000000, 7.086851, 0.114286
0.260000, 119.000000, 0.960505, 0.142857, 124.000000, 1.086502, 0.114286, 120.000000, 6.948441, 0.128571, 123.000000, 7.340317, 0.114286
0.280000, 119.000000, 0.929476, 0.142857, 124.000000, 0.985693, 0.114286, 120.000000, 6.883769, 0.128571, 123.000000, 6.930174, 0.114286
0.300000, 119.000000, 0.872998, 0.142857, 124.000000, 0.923500, 0.114286, 120.000000, 6.823357, 0.128571, 123.000000, 6.852412, 0.114286
0.320000, 119.000000, 0.862752, 0.142857, 124.000000, 0.841364, 0.114286, 120.000000, 6.742464, 0.128571, 123.000000, 6.783976, 0.114286
0.340000, 119.000000, 0.784874, 0.142857, 124.000000, 0.746376, 0.114286, 120.000000, 6.727794, 0.128571, 123.000000, 6.668232, 0.114286
0.360000, 119.000000, 0.742893, 0.142857, 124.000000, 0.670879, 0.114286, 120.000000, 6.663370, 0.128571, 123.000000, 6.568676, 0.114286
0.380000, 119.000000, 0.727704, 0.142857, 124.000000, 0.629390, 0.114286, 120.000000, 6.629328, 0.128571, 123.000000, 6.546262, 0.114286
0.400000, 119.000000, 0.732246, 0.142857, 124.000000, 0.552309, 0.114286, 120.000000, 6.584358, 0.128571, 123.000000, 6.638664, 0.114286
0.420000, 119.000000, 0.679025, 0.142857, 124.000000, 0.488037, 0.114286, 120.000000, 6.533257, 0.128571, 123.000000, 6.954574, 0.114286
0.440000, 119.000000, 0.600805, 0.142857, 124.000000, 0.442733, 0.114286, 120.000000, 6.490240, 0.128571, 123.000000, 6.645893, 0.114286
0.460000, 119.000000, 0.558864, 0.142857, 124.000000, 0.368637, 0.114286, 120.000000, 6.374793, 0.128571, 123.000000, 6.654705, 0.114286
0.480000, 119.000000, 0.540596, 0.142857, 124.000000, 0.335731, 0.114286, 120.000000, 6.307365, 0.128571, 123.000000, 6.326644, 0.114286
0.500000, 119.000000, 0.452048, 0.142857, 124.000000, 0.290333, 0.114286, 120.000000, 6.211358, 0.128571, 123.000000, 6.416765, 0.114286
0.520000, 119.000000, 0.271536, 0.142857, 124.000000, 0.179005, 0.114286, 120.000000, 6.014122, 0.128571, 123.000000, 6.643056, 0.114286
0.540000, 119.000000, 0.243822, 0.142857, 124.000000, 0.166873, 0.114286, 120.000000, 5.981996, 0.128571, 123.000000, 6.324165, 0.114286
0.560000, 119.000000, 0.234788, 0.142857, 124.000000, 0.155701, 0.114286, 120.000000, 5.937136, 0.128571, 123.000000, 6.386496, 0.114286
0.580000, 119.000000, 0.222497, 0.142857, 124.000000, 0.141365, 0.114286, 120.000000, 5.963263, 0.128571, 123.000000, 6.233872, 0.114286
0.600000, 119.000000, 0.216155, 0.142857, 124.000000, 0.139472, 0.114286, 120.000000, 5.914570, 0.128571, 123.000000, 6.164975, 0.114286
0.620000, 118.000000, 0.187043, 0.114286, 129.000000, 0.141869, 0.114286, 119.000000, 5.846124, 0.114286, 125.000000, 6.389596, 0.114286
0.640000, 119.000000, 0.183804, 0.114286, 133.000000, 0.142016, 0.128571, 120.000000, 6.022271, 0.114286, 125.000000, 6.339736, 0.128571
0.660000, 121.000000, 0.214245, 0.114286, 135.000000, 0.144339, 0.128571, 122.000000, 5.984745, 0.114286, 126.000000, 6.394144, 0.128571
0.680000, 121.000000, 0.165302, 0.114286, 138.000000, 0.145022, 0.128571, 122.000000, 5.999537, 0.114286, 128.000000, 7.103366, 0.114286
0.700000, 122.000000, 0.162780, 0.128571, 143.000000, 0.148357, 0.128571, 123.000000, 6.115321, 0.128571, 129.000000, 7.934634, 0.128571
