Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 10.000000, 0.026228, 0.100000, 10.000000, 0.027030, 0.100000, 11.000000, 0.460864, 0.100000, 11.000000, 0.510357, 0.100000
0.040000, 10.000000, 0.026451, 0.100000, 10.000000, 0.027002, 0.100000, 11.000000, 0.459143, 0.100000, 11.000000, 0.526012, 0.100000
0.060000, 10.000000, 0.026166, 0.100000, 10.000000, 0.026975, 0.100000, 11.000000, 0.456662, 0.100000, 11.000000, 0.463639, 0.100000
0.080000, 10.000000, 0.027611, 0.100000, 10.000000, 0.027649, 0.100000, 11.000000, 0.460194, 0.100000, 11.000000, 0.455832, 0.100000
0.100000, 10.000000, 0.026283, 0.100000, 10.000000, 0.027610, 0.100000, 11.000000, 0.448269, 0.100000, 11.000000, 0.453470, 0.100000
0.120000, 10.000000, 0.026655, 0.100000, 10.000000, 0.028414, 0.100000, 11.000000, 0.448473, 0.100000, 11.000000, 0.439601, 0.100000
0.140000, 10.000000, 0.026558, 0.100000, 10.000000, 0.027241, 0.100000, 11.000000, 0.517017, 0.100000, 11.000000, 0.473195, 0.100000
0.160000, 10.000000, 0.026523, 0.100000, 10.000000, 0.027161, 0.100000, 11.000000, 0.461925, 0.100000, 11.000000, 0.443648, 0.100000
0.180000, 10.000000, 0.026242, 0.100000, 10.000000, 0.027680, 0.100000, 11.000000, 0.492029, 0.100000, 11.000000, 0.436001, 0.100000
0.200000, 10.000000, 0.026005, 0.100000, 10.000000, 0.028155, 0.100000, 11.000000, 0.488315, 0.100000, 11.000000, 0.436246, 0.100000
0.220000, 10.000000, 0.026015, 0.100000, 10.000000, 0.028187, 0.100000, 11.000000, 0.548784, 0.100000, 11.000000, 0.436651, 0.100000
0.240000, 10.000000, 0.026567, 0.100000, 10.000000, 0.027317, 0.100000, 11.000000, 0.531011, 0.100000, 11.000000, 0.440304, 0.100000
0.260000, 10.000000, 0.026740, 0.100000, 10.000000, 0.025487, 0.100000, 11.000000, 0.497530, 0.100000, 11.000000, 0.439540, 0.100000
0.280000, 10.000000, 0.027353, 0.100000, 10.000000, 0.025749, 0.100000, 11.000000, 0.487776, 0.100000, 11.000000, 0.438395, 0.100000
0.300000, 10.000000, 0.026723, 0.100000, 10.000000, 0.025747, 0.100000, 11.000000, 0.466347, 0.100000, 11.000000, 0.437760, 0.100000
0.320000, 10.000000, 0.025904, 0.100000, 10.000000, 0.025078, 0.100000, 11.000000, 0.458789, 0.100000, 11.000000, 0.442252, 0.100000
0.340000, 10.000000, 0.025975, 0.100000, 10.000000, 0.025424, 0.100000, 11.000000, 0.482062, 0.100000, 11.000000, 0.438072, 0.100000
0.360000, 10.000000, 0.025766, 0.100000, 10.000000, 0.025519, 0.100000, 11.000000, 0.481230, 0.100000, 11.000000, 0.439923, 0.100000
0.380000, 10.000000, 0.025878, 0.100000, 10.000000, 0.025545, 0.100000, 11.000000, 0.452506, 0.100000, 11.000000, 0.436555, 0.100000
0.400000, 10.000000, 0.026138, 0.100000, 10.000000, 0.025236, 0.100000, 11.000000, 0.467124, 0.100000, 11.000000, 0.438243, 0.100000
0.420000, 10.000000, 0.025868, 0.100000, 10.000000, 0.024837, 0.100000, 11.000000, 0.458428, 0.100000, 11.000000, 0.439014, 0.100000
0.440000, 10.000000, 0.026712, 0.100000, 10.000000, 0.025962, 0.100000, 11.000000, 0.449218, 0.100000, 11.000000, 0.438356, 0.100000
0.460000, 10.000000, 0.026534, 0.100000, 10.000000, 0.024834, 0.100000, 11.000000, 0.465817, 0.100000, 11.000000, 0.439840, 0.100000
0.480000, 10.000000, 0.026095, 0.100000, 10.000000, 0.023994, 0.100000, 11.000000, 0.465864, 0.100000, 11.000000, 0.439191, 0.100000
