Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 110.000000, 3.993263, 0.047619, 108.000000, 4.125659, 0.051948, 110.000000, 125.327693, 0.054113, 109.000000, 122.780486, 0.049784
0.040000, 110.000000, 4.112351, 0.047619, 108.000000, 4.039194, 0.051948, 110.000000, 122.109770, 0.054113, 109.000000, 125.554728, 0.049784
0.060000, 110.000000, 3.859632, 0.047619, 108.000000, 3.929802, 0.051948, 110.000000, 122.135677, 0.054113, 109.000000, 125.425239, 0.049784
0.080000, 110.000000, 3.777444, 0.047619, 108.000000, 3.861333, 0.051948, 110.000000, 121.495911, 0.054113, 109.000000, 111.916246, 0.049784
0.100000, 110.000000, 3.864250, 0.047619, 108.000000, 3.849619, 0.051948, 110.000000, 121.357190, 0.054113, 109.000000, 107.221111, 0.049784
0.120000, 110.000000, 3.980531, 0.047619, 108.000000, 3.927929, 0.051948, 110.000000, 123.556360, 0.054113, 109.000000, 107.161534, 0.049784
0.140000, 110.000000, 3.777356, 0.047619, 108.000000, 3.791961, 0.051948, 110.000000, 127.493500, 0.054113, 109.000000, 106.685408, 0.049784
0.160000, 110.000000, 3.769221, 0.047619, 108.000000, 3.561558, 0.051948, 110.000000, 127.222543, 0.054113, 109.000000, 106.498923, 0.049784
0.180000, 110.000000, 3.654357, 0.047619, 108.000000, 3.447999, 0.051948, 110.000000, 122.488937, 0.054113, 109.000000, 106.814326, 0.049784
0.200000, 110.000000, 3.605500, 0.047619, 108.000000, 3.365210, 0.051948, 110.000000, 120.537997, 0.054113, 109.000000, 106.422077, 0.049784
0.220000, 110.000000, 3.659778, 0.047619, 108.000000, 3.368347, 0.051948, 110.000000, 123.913595, 0.054113, 109.000000, 106.346759, 0.049784
0.240000, 110.000000, 3.576667, 0.047619, 108.000000, 3.326370, 0.051948, 110.000000, 122.867481, 0.054113, 109.000000, 106.236396, 0.049784
0.260000, 110.000000, 3.458218, 0.047619, 108.000000, 3.233209, 0.051948, 110.000000, 128.695333, 0.054113, 109.000000, 105.867004, 0.049784
0.280000, 110.000000, 3.523305, 0.047619, 108.000000, 3.164021, 0.051948, 110.000000, 125.859026, 0.054113, 109.000000, 106.016770, 0.049784
0.300000, 110.000000, 3.445452, 0.047619, 108.000000, 3.350625, 0.051948, 110.000000, 117.313137, 0.054113, 109.000000, 105.699699, 0.049784
0.320000, 110.000000, 3.797976, 0.047619, 108.000000, 3.121884, 0.051948, 110.000000, 117.973584, 0.054113, 109.000000, 105.810554, 0.049784
0.340000, 110.000000, 3.497398, 0.047619, 108.000000, 2.892009, 0.051948, 110.000000, 117.395569, 0.054113, 109.000000, 110.355126, 0.049784
0.360000, 110.000000, 3.598287, 0.047619, 108.000000, 2.806923, 0.051948, 110.000000, 116.844618, 0.054113, 109.000000, 105.944276, 0.049784
0.380000, 110.000000, 3.732600, 0.047619, 108.000000, 2.823913, 0.051948, 110.000000, 117.654449, 0.054113, 109.000000, 106.567113, 0.049784
0.400000, 110.000000, 3.615209, 0.047619, 108.000000, 2.705059, 0.051948, 110.000000, 117.401425, 0.054113, 109.000000, 105.568554, 0.049784
0.420000, 110.000000, 3.343756, 0.047619, 108.000000, 2.725651, 0.051948, 110.000000, 117.258154, 0.054113, 109.000000, 105.409975, 0.049784
0.440000, 110.000000, 3.113888, 0.047619, 108.000000, 2.826139, 0.051948, 110.000000, 116.926961, 0.054113, 109.000000, 105.894945, 0.049784
0.460000, 110.000000, 3.233048, 0.047619, 108.000000, 2.605935, 0.051948, 110.000000, 121.681582, 0.054113, 109.000000, 108.924670, 0.049784
0.480000, 110.000000, 3.010873, 0.047619, 108.000000, 2.487641, 0.051948, 110.000000, 121.271560, 0.054113, 109.000000, 107.738885, 0.049784
0.500000, 110.000000, 2.946373, 0.047619, 108.000000, 2.429638, 0.051948, 110.000000, 121.134827, 0.054113, 109.000000, 108.672862, 0.049784
0.520000, 110.000000, 2.372147, 0.047619, 108.000000, 1.864364, 0.051948, 110.000000, 121.379169, 0.054113, 109.000000, 107.529498, 0.049784
0.540000, 110.000000, 2.450359, 0.047619, 108.000000, 1.860228, 0.051948, 110.000000, 123.813769, 0.054113, 109.000000, 109.773447, 0.049784
