Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 5.000000, 0.039019, 0.000000, 5.000000, 0.037706, 0.000000, 5.000000, 1.273896, 0.000000, 5.000000, 1.241078, 0.000000
0.040000, 5.000000, 0.039665, 0.000000, 5.000000, 0.043851, 0.000000, 5.000000, 1.231510, 0.000000, 5.000000, 1.246892, 0.000000
0.060000, 5.000000, 0.044270, 0.000000, 5.000000, 0.038375, 0.000000, 5.000000, 1.248627, 0.000000, 5.000000, 1.388627, 0.000000
0.080000, 5.000000, 0.040557, 0.000000, 5.000000, 0.038204, 0.000000, 5.000000, 1.265598, 0.000000, 5.000000, 1.567062, 0.000000
0.100000, 5.000000, 0.039715, 0.000000, 5.000000, 0.038090, 0.000000, 5.000000, 1.296565, 0.000000, 5.000000, 1.523438, 0.000000
0.120000, 5.000000, 0.039312, 0.000000, 5.000000, 0.038244, 0.000000, 5.000000, 1.227189, 0.000000, 5.000000, 1.334991, 0.000000
0.140000, 5.000000, 0.039068, 0.000000, 5.000000, 0.037884, 0.000000, 5.000000, 1.284692, 0.000000, 5.000000, 1.351408, 0.000000
0.160000, 5.000000, 0.038938, 0.000000, 5.000000, 0.038246, 0.000000, 5.000000, 1.314011, 0.000000, 5.000000, 1.285460, 0.000000
0.180000, 5.000000, 0.045322, 0.000000, 5.000000, 0.038200, 0.000000, 5.000000, 1.270129, 0.000000, 5.000000, 1.796864, 0.000000
0.200000, 5.000000, 0.038888, 0.000000, 5.000000, 0.038709, 0.000000, 5.000000, 1.416368, 0.000000, 5.000000, 1.380435, 0.000000
0.220000, 5.000000, 0.038655, 0.000000, 5.000000, 0.040740, 0.000000, 5.000000, 1.293610, 0.000000, 5.000000, 1.448309, 0.000000
0.240000, 5.000000, 0.038774, 0.000000, 5.000000, 0.038819, 0.000000, 5.000000, 1.312601, 0.000000, 5.000000, 1.656015, 0.000000
0.260000, 5.000000, 0.039610, 0.000000, 5.000000, 0.039049, 0.000000, 5.000000, 1.286349, 0.000000, 5.000000, 1.480960, 0.000000
0.280000, 5.000000, 0.041024, 0.000000, 5.000000, 0.038344, 0.000000, 5.000000, 1.218876, 0.000000, 5.000000, 1.270097, 0.000000
0.300000, 5.000000, 0.040216, 0.000000, 5.000000, 0.038101, 0.000000, 5.000000, 1.304363, 0.000000, 5.000000, 1.231543, 0.000000
0.320000, 5.000000, 0.038383, 0.000000, 5.000000, 0.038801, 0.000000, 5.000000, 1.306049, 0.000000, 5.000000, 1.283497, 0.000000
0.340000, 5.000000, 0.040597, 0.000000, 5.000000, 0.038778, 0.000000, 5.000000, 1.252841, 0.000000, 5.000000, 1.444836, 0.000000
0.360000, 5.000000, 0.039874, 0.000000, 5.000000, 0.038358, 0.000000, 5.000000, 1.222198, 0.000000, 5.000000, 1.403511, 0.000000
0.380000, 5.000000, 0.038917, 0.000000, 5.000000, 0.038236, 0.000000, 5.000000, 1.265776, 0.000000, 5.000000, 1.547155, 0.000000
0.400000, 5.000000, 0.039319, 0.000000, 5.000000, 0.039588, 0.000000, 5.000000, 1.372845, 0.000000, 5.000000, 1.531868, 0.000000
0.420000, 5.000000, 0.039290, 0.000000, 5.000000, 0.038059, 0.000000, 5.000000, 1.257886, 0.000000, 5.000000, 1.307127, 0.000000
0.440000, 5.000000, 0.040085, 0.000000, 5.000000, 0.038374, 0.000000, 5.000000, 1.291649, 0.000000, 5.000000, 1.350207, 0.000000
0.460000, 5.000000, 0.041157, 0.000000, 5.000000, 0.038316, 0.000000, 5.000000, 1.225083, 0.000000, 5.000000, 1.401379, 0.000000
0.480000, 5.000000, 0.038732, 0.000000, 5.000000, 0.037919, 0.000000, 5.000000, 1.212889, 0.000000, 5.000000, 1.331920, 0.000000
0.500000, 5.000000, 0.039587, 0.000000, 5.000000, 0.038253, 0.000000, 5.000000, 1.210981, 0.000000, 5.000000, 1.309930, 0.000000
0.520000, 5.000000, 0.039330, 0.000000, 5.000000, 0.038629, 0.000000, 5.000000, 1.222124, 0.000000, 5.000000, 1.384371, 0.000000
0.540000, 5.000000, 0.039300, 0.000000, 5.000000, 0.039296, 0.000000, 5.000000, 1.271147, 0.000000, 5.000000, 1.388009, 0.000000
0.560000, 5.000000, 0.039073, 0.000000, 5.000000, 0.041450, 0.000000, 5.000000, 1.351799, 0.000000, 5.000000, 1.300665, 0.000000
0.580000, 5.000000, 0.038788, 0.000000, 5.000000, 0.039696, 0.000000, 5.000000, 1.339993, 0.000000, 5.000000, 1.368343, 0.000000
0.600000, 5.000000, 0.038761, 0.000000, 5.000000, 0.040365, 0.000000, 5.000000, 1.420825, 0.000000, 5.000000, 1.287594, 0.000000
0.620000, 5.000000, 0.038121, 0.000000, 5.000000, 0.038957, 0.000000, 5.000000, 1.563105, 0.000000, 5.000000, 1.468048, 0.000000
0.640000, 5.000000, 0.038734, 0.000000, 5.000000, 0.039483, 0.000000, 5.000000, 1.293844, 0.000000, 5.000000, 1.353479, 0.000000
0.660000, 5.000000, 0.039088, 0.000000, 5.000000, 0.037804, 0.000000, 5.000000, 1.386244, 0.000000, 5.000000, 1.341751, 0.000000
0.680000, 5.000000, 0.038986, 0.000000, 8.000000, 0.044934, 0.000000, 5.000000, 1.218448, 0.000000, 5.000000, 1.330611, 0.000000
0.700000, 5.000000, 0.040006, 0.000000, 11.000000, 0.037968, 0.000000, 5.000000, 1.196190, 0.000000, 5.000000, 1.314638, 0.000000
0.720000, 5.000000, 0.039754, 0.000000, 15.000000, 0.037425, 0.000000, 5.000000, 1.218134, 0.000000, 5.000000, 1.239270, 0.000000
0.740000, 5.000000, 0.040119, 0.000000, 17.000000, 0.036192, 0.000000, 5.000000, 1.284973, 0.000000, 5.000000, 1.367424, 0.000000
0.760000, 5.000000, 0.038073, 0.000000, 17.000000, 0.036678, 0.000000, 5.000000, 1.332951, 0.000000, 5.000000, 1.296168, 0.000000
0.780000, 5.000000, 0.038039, 0.000000, 18.000000, 0.037127, 0.000000, 5.000000, 1.450174, 0.000000, 5.000000, 1.275024, 0.000000
0.800000, 5.000000, 0.038353, 0.000000, 21.000000, 0.038244, 0.000000, 5.000000, 1.419175, 0.000000, 5.000000, 1.278050, 0.000000
0.820000, 5.000000, 0.041150, 0.000000, 25.000000, 0.036548, 0.000000, 5.000000, 1.462756, 0.000000, 7.000000, 1.285646, 0.000000
0.840000, 5.000000, 0.040820, 0.000000, 29.000000, 0.037347, 0.000000, 5.000000, 1.370009, 0.000000, 10.000000, 1.297324, 0.000000
0.860000, 5.000000, 0.039080, 0.000000, 34.000000, 0.044476, 0.000000, 6.000000, 1.219992, 0.000000, 16.000000, 1.281369, 0.000000
0.880000, 5.000000, 0.039399, 0.000000, 41.000000, 0.037047, 0.000000, 6.000000, 1.219395, 0.000000, 20.000000, 1.280038, 0.000000
0.900000, 5.000000, 0.037632, 0.000000, 48.000000, 0.034277, 0.020000, 11.000000, 1.219686, 0.000000, 29.000000, 1.286594, 0.000000
0.920000, 5.000000, 0.040371, 0.000000, 60.000000, 0.034229, 0.020000, 13.000000, 1.230914, 0.000000, 45.000000, 1.488351, 0.000000
0.940000, 5.000000, 0.038483, 0.000000, 74.000000, 0.035306, 0.020000, 33.000000, 1.355743, 0.000000, 67.000000, 1.909978, 0.020000
0.960000, 12.000000, 0.042718, 0.000000, 109.000000, 0.037238, 0.000000, 59.000000, 1.899835, 0.000000, 100.000000, 2.561513, 0.000000
0.980000, 140.000000, 0.051064, 0.000000, 157.000000, 0.031114, 0.000000, 145.000000, 5.575288, 0.000000, 156.000000, 4.701721, 0.000000
