Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 25.000000, 0.325647, 0.010000, 22.000000, 0.290767, 0.005000, 22.000000, 20.360144, 0.005000, 23.000000, 20.127685, 0.005000
0.040000, 25.000000, 0.302332, 0.010000, 22.000000, 0.293454, 0.005000, 22.000000, 20.379418, 0.005000, 23.000000, 20.033487, 0.005000
0.060000, 25.000000, 0.303850, 0.010000, 22.000000, 0.274370, 0.005000, 22.000000, 20.384527, 0.005000, 23.000000, 19.561768, 0.005000
0.080000, 25.000000, 0.316390, 0.010000, 22.000000, 0.290343, 0.005000, 22.000000, 20.853948, 0.005000, 23.000000, 19.851200, 0.005000
0.100000, 25.000000, 0.298325, 0.010000, 22.000000, 0.280095, 0.005000, 22.000000, 18.989856, 0.005000, 23.000000, 20.042867, 0.005000
0.120000, 25.000000, 0.296117, 0.010000, 22.000000, 0.289981, 0.005000, 22.000000, 20.096623, 0.005000, 23.000000, 20.175015, 0.005000
0.140000, 25.000000, 0.308209, 0.010000, 22.000000, 0.275666, 0.005000, 22.000000, 21.517218, 0.005000, 23.000000, 21.797897, 0.005000
0.160000, 25.000000, 0.302460, 0.010000, 22.000000, 0.288006, 0.005000, 22.000000, 19.344736, 0.005000, 23.000000, 20.179506, 0.005000
0.180000, 25.000000, 0.308938, 0.010000, 22.000000, 0.288506, 0.005000, 22.000000, 20.186865, 0.005000, 23.000000, 19.855995, 0.005000
0.200000, 25.000000, 0.313306, 0.010000, 22.000000, 0.283364, 0.005000, 22.000000, 20.276769, 0.005000, 23.000000, 19.951635, 0.005000
0.220000, 25.000000, 0.289448, 0.010000, 22.000000, 0.301245, 0.005000, 22.000000, 20.055193, 0.005000, 23.000000, 19.437807, 0.005000
0.240000, 25.000000, 0.309051, 0.010000, 22.000000, 0.302732, 0.005000, 22.000000, 19.642492, 0.005000, 23.000000, 19.327141, 0.005000
0.260000, 25.000000, 0.312009, 0.010000, 22.000000, 0.273510, 0.005000, 22.000000, 20.646381, 0.005000, 23.000000, 19.422204, 0.005000
0.280000, 25.000000, 0.304141, 0.010000, 22.000000, 0.286321, 0.005000, 22.000000, 19.901687, 0.005000, 23.000000, 20.905544, 0.005000
