Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 37.000000, 0.222020, 0.132000, 36.000000, 0.208972, 0.125000, 37.000000, 2.737829, 0.129000, 36.000000, 2.563719, 0.125000
0.040000, 37.000000, 0.244929, 0.132000, 36.000000, 0.207831, 0.125000, 37.000000, 2.535303, 0.129000, 36.000000, 2.670660, 0.125000
0.060000, 37.000000, 0.240982, 0.132000, 36.000000, 0.207865, 0.125000, 37.000000, 2.288606, 0.129000, 36.000000, 2.413103, 0.125000
0.080000, 37.000000, 0.248823, 0.132000, 36.000000, 0.212001, 0.125000, 37.000000, 2.434984, 0.129000, 36.000000, 2.316978, 0.125000
0.100000, 37.000000, 0.231686, 0.132000, 36.000000, 0.207131, 0.125000, 37.000000, 2.401024, 0.129000, 36.000000, 2.235571, 0.125000
0.120000, 37.000000, 0.234405, 0.132000, 36.000000, 0.207711, 0.125000, 37.000000, 2.413969, 0.129000, 36.000000, 2.583562, 0.125000
0.140000, 37.000000, 0.230694, 0.132000, 36.000000, 0.207954, 0.125000, 37.000000, 2.409104, 0.129000, 36.000000, 2.426347, 0.125000
0.160000, 37.000000, 0.220700, 0.132000, 36.000000, 0.211912, 0.125000, 37.000000, 2.406363, 0.129000, 36.000000, 2.274083, 0.125000
0.180000, 37.000000, 0.225968, 0.132000, 36.000000, 0.200785, 0.125000, 37.000000, 2.613587, 0.129000, 36.000000, 2.253071, 0.125000
0.200000, 37.000000, 0.247910, 0.132000, 36.000000, 0.206240, 0.125000, 37.000000, 2.642466, 0.129000, 36.000000, 2.249633, 0.125000
0.220000, 37.000000, 0.249708, 0.132000, 36.000000, 0.202827, 0.125000, 37.000000, 2.814361, 0.129000, 36.000000, 2.259871, 0.125000
0.240000, 37.000000, 0.238965, 0.132000, 36.000000, 0.211854, 0.125000, 37.000000, 2.666520, 0.129000, 36.000000, 2.275118, 0.125000
0.260000, 37.000000, 0.245357, 0.132000, 36.000000, 0.209008, 0.125000, 37.000000, 2.411940, 0.129000, 36.000000, 2.278089, 0.125000
0.280000, 37.000000, 0.252808, 0.132000, 36.000000, 0.215917, 0.125000, 37.000000, 2.289157, 0.129000, 36.000000, 2.252070, 0.125000
0.300000, 37.000000, 0.239676, 0.132000, 36.000000, 0.208760, 0.125000, 37.000000, 2.295403, 0.129000, 36.000000, 2.222197, 0.125000
0.320000, 37.000000, 0.254795, 0.132000, 36.000000, 0.206230, 0.125000, 37.000000, 2.556357, 0.129000, 36.000000, 2.230955, 0.125000
0.340000, 37.000000, 0.215229, 0.132000, 36.000000, 0.212000, 0.125000, 37.000000, 2.408557, 0.129000, 36.000000, 2.246233, 0.125000
0.360000, 37.000000, 0.232920, 0.132000, 36.000000, 0.203170, 0.125000, 37.000000, 2.414262, 0.129000, 36.000000, 2.271712, 0.125000
0.380000, 37.000000, 0.222207, 0.132000, 36.000000, 0.205858, 0.125000, 37.000000, 2.527879, 0.129000, 36.000000, 2.200268, 0.125000
0.400000, 37.000000, 0.216788, 0.132000, 36.000000, 0.205935, 0.125000, 37.000000, 2.323013, 0.129000, 36.000000, 2.210780, 0.125000
0.420000, 37.000000, 0.212219, 0.132000, 36.000000, 0.209633, 0.125000, 37.000000, 2.345081, 0.129000, 36.000000, 2.228782, 0.125000
0.440000, 37.000000, 0.237279, 0.132000, 36.000000, 0.202812, 0.125000, 37.000000, 2.319102, 0.129000, 36.000000, 2.202918, 0.125000
0.460000, 37.000000, 0.210321, 0.132000, 36.000000, 0.207003, 0.125000, 37.000000, 2.371205, 0.129000, 36.000000, 2.222808, 0.125000
0.480000, 37.000000, 0.208653, 0.132000, 36.000000, 0.199513, 0.125000, 37.000000, 2.449951, 0.129000, 36.000000, 2.272699, 0.125000
0.500000, 37.000000, 0.209174, 0.132000, 36.000000, 0.194898, 0.125000, 37.000000, 2.337222, 0.129000, 36.000000, 2.180633, 0.125000
0.520000, 37.000000, 0.210610, 0.132000, 36.000000, 0.189449, 0.125000, 37.000000, 2.300528, 0.129000, 36.000000, 2.215840, 0.125000
0.540000, 37.000000, 0.207393, 0.132000, 36.000000, 0.193858, 0.125000, 37.000000, 2.298180, 0.129000, 36.000000, 2.180860, 0.125000
0.560000, 37.000000, 0.204080, 0.132000, 36.000000, 0.184416, 0.125000, 37.000000, 2.472065, 0.129000, 36.000000, 2.275047, 0.125000
0.580000, 37.000000, 0.204765, 0.132000, 36.000000, 0.177257, 0.125000, 37.000000, 2.643654, 0.129000, 36.000000, 2.186706, 0.125000
0.600000, 37.000000, 0.212683, 0.132000, 36.000000, 0.163670, 0.125000, 37.000000, 2.584862, 0.129000, 36.000000, 2.177929, 0.125000
0.620000, 37.000000, 0.230162, 0.132000, 36.000000, 0.191278, 0.125000, 37.000000, 2.504123, 0.129000, 36.000000, 2.180623, 0.125000
0.640000, 37.000000, 0.195587, 0.132000, 36.000000, 0.209849, 0.125000, 37.000000, 2.514598, 0.129000, 36.000000, 2.125074, 0.125000
0.660000, 37.000000, 0.208052, 0.132000, 37.000000, 0.166084, 0.126000, 37.000000, 2.516304, 0.129000, 36.000000, 2.206942, 0.125000
0.680000, 37.000000, 0.183010, 0.132000, 37.000000, 0.151691, 0.125000, 37.000000, 2.333919, 0.129000, 36.000000, 2.158768, 0.125000
0.700000, 37.000000, 0.175844, 0.132000, 38.000000, 0.150276, 0.125000, 37.000000, 2.290699, 0.129000, 36.000000, 2.182010, 0.125000
0.720000, 37.000000, 0.163722, 0.132000, 39.000000, 0.142273, 0.125000, 37.000000, 2.280974, 0.129000, 36.000000, 2.178792, 0.125000
0.740000, 37.000000, 0.157929, 0.132000, 39.000000, 0.125865, 0.127000, 37.000000, 2.267285, 0.129000, 36.000000, 2.168398, 0.125000
0.760000, 37.000000, 0.154772, 0.132000, 41.000000, 0.115667, 0.130000, 37.000000, 2.333901, 0.129000, 36.000000, 2.109139, 0.125000
0.780000, 37.000000, 0.143515, 0.132000, 44.000000, 0.110199, 0.131000, 37.000000, 2.375795, 0.129000, 37.000000, 2.173536, 0.125000
0.800000, 37.000000, 0.135489, 0.132000, 45.000000, 0.103895, 0.131000, 37.000000, 2.359335, 0.129000, 38.000000, 2.101675, 0.125000
0.820000, 37.000000, 0.126532, 0.131000, 45.000000, 0.092374, 0.128000, 37.000000, 2.336755, 0.130000, 39.000000, 2.137147, 0.115000
0.840000, 37.000000, 0.131041, 0.131000, 47.000000, 0.082692, 0.129000, 37.000000, 2.425358, 0.134000, 39.000000, 2.142432, 0.115000
0.860000, 37.000000, 0.111250, 0.131000, 50.000000, 0.076087, 0.130000, 37.000000, 2.235136, 0.134000, 42.000000, 2.224909, 0.116000
0.880000, 37.000000, 0.107232, 0.131000, 59.000000, 0.071893, 0.135000, 38.000000, 2.369768, 0.131000, 45.000000, 2.155832, 0.116000
0.900000, 39.000000, 0.100489, 0.135000, 64.000000, 0.080017, 0.137000, 42.000000, 2.311813, 0.135000, 53.000000, 2.324253, 0.127000
0.920000, 39.000000, 0.083488, 0.136000, 75.000000, 0.072134, 0.140000, 43.000000, 2.644755, 0.138000, 61.000000, 2.446032, 0.136000
0.940000, 43.000000, 0.089627, 0.139000, 95.000000, 0.066971, 0.146000, 60.000000, 2.941324, 0.139000, 80.000000, 2.928297, 0.143000
0.960000, 59.000000, 0.069293, 0.134000, 123.000000, 0.053506, 0.140000, 82.000000, 4.075367, 0.140000, 111.000000, 3.987758, 0.139000
0.980000, 128.000000, 0.076026, 0.133000, 175.000000, 0.042628, 0.140000, 149.000000, 7.516886, 0.139000, 174.000000, 5.832560, 0.140000
