Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 15.000000, 0.048921, 0.046512, 16.000000, 0.050780, 0.046512, 16.000000, 0.936946, 0.046512, 15.000000, 0.966713, 0.046512
0.040000, 15.000000, 0.048064, 0.046512, 16.000000, 0.048360, 0.046512, 16.000000, 0.991781, 0.046512, 15.000000, 0.947350, 0.046512
0.060000, 15.000000, 0.047874, 0.046512, 16.000000, 0.048209, 0.046512, 16.000000, 0.928757, 0.046512, 15.000000, 0.946380, 0.046512
0.080000, 15.000000, 0.049186, 0.046512, 16.000000, 0.048012, 0.046512, 16.000000, 0.939754, 0.046512, 15.000000, 0.955192, 0.046512
0.100000, 15.000000, 0.048864, 0.046512, 16.000000, 0.047531, 0.046512, 16.000000, 0.940677, 0.046512, 15.000000, 0.950291, 0.046512
0.120000, 15.000000, 0.047645, 0.046512, 16.000000, 0.047401, 0.046512, 16.000000, 0.934942, 0.046512, 15.000000, 0.955506, 0.046512
0.140000, 15.000000, 0.048131, 0.046512, 16.000000, 0.046704, 0.046512, 16.000000, 0.925152, 0.046512, 15.000000, 0.967568, 0.046512
0.160000, 15.000000, 0.058830, 0.046512, 16.000000, 0.047695, 0.046512, 16.000000, 0.960382, 0.046512, 15.000000, 0.971566, 0.046512
0.180000, 15.000000, 0.049957, 0.046512, 16.000000, 0.046615, 0.046512, 16.000000, 0.955617, 0.046512, 15.000000, 0.970923, 0.046512
0.200000, 15.000000, 0.049097, 0.046512, 16.000000, 0.046006, 0.046512, 16.000000, 0.933809, 0.046512, 15.000000, 0.986992, 0.046512
0.220000, 15.000000, 0.048109, 0.046512, 16.000000, 0.046624, 0.046512, 16.000000, 0.944843, 0.046512, 15.000000, 0.975210, 0.046512
0.240000, 15.000000, 0.048077, 0.046512, 16.000000, 0.046432, 0.046512, 16.000000, 0.942457, 0.046512, 15.000000, 0.999047, 0.046512
