Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 38.000000, 0.147042, 0.000000, 38.000000, 0.182319, 0.000000, 38.000000, 0.855165, 0.000000, 38.000000, 0.984763, 0.000000
0.040000, 38.000000, 0.146298, 0.000000, 38.000000, 0.177822, 0.000000, 38.000000, 0.851820, 0.000000, 38.000000, 0.990799, 0.000000
0.060000, 38.000000, 0.145287, 0.000000, 38.000000, 0.177684, 0.000000, 38.000000, 0.858900, 0.000000, 38.000000, 0.982741, 0.000000
0.080000, 38.000000, 0.145698, 0.000000, 38.000000, 0.176273, 0.000000, 38.000000, 0.864999, 0.000000, 38.000000, 0.964404, 0.000000
0.100000, 38.000000, 0.150550, 0.000000, 38.000000, 0.174084, 0.000000, 38.000000, 0.871661, 0.000000, 38.000000, 0.966720, 0.000000
0.120000, 38.000000, 0.142386, 0.000000, 38.000000, 0.185231, 0.000000, 38.000000, 0.853180, 0.000000, 38.000000, 0.960579, 0.000000
0.140000, 38.000000, 0.144031, 0.000000, 38.000000, 0.173501, 0.000000, 38.000000, 0.866624, 0.000000, 38.000000, 0.952399, 0.000000
0.160000, 38.000000, 0.146783, 0.000000, 38.000000, 0.165623, 0.000000, 38.000000, 0.896025, 0.000000, 38.000000, 0.948787, 0.000000
0.180000, 38.000000, 0.144150, 0.000000, 38.000000, 0.159300, 0.000000, 38.000000, 0.859433, 0.000000, 38.000000, 0.956907, 0.000000
0.200000, 38.000000, 0.150687, 0.000000, 38.000000, 0.152220, 0.000000, 38.000000, 0.868736, 0.000000, 38.000000, 0.947077, 0.000000
0.220000, 38.000000, 0.141697, 0.000000, 38.000000, 0.148375, 0.000000, 38.000000, 0.857581, 0.000000, 38.000000, 0.942353, 0.000000
0.240000, 38.000000, 0.140667, 0.000000, 38.000000, 0.149454, 0.000000, 38.000000, 0.857129, 0.000000, 38.000000, 0.951257, 0.000000
0.260000, 38.000000, 0.142730, 0.000000, 38.000000, 0.138341, 0.000000, 38.000000, 0.870633, 0.000000, 38.000000, 0.979381, 0.000000
0.280000, 38.000000, 0.137059, 0.000000, 38.000000, 0.127320, 0.000000, 38.000000, 0.863191, 0.000000, 38.000000, 0.932140, 0.000000
0.300000, 38.000000, 0.135562, 0.000000, 38.000000, 0.135661, 0.000000, 38.000000, 0.865504, 0.000000, 38.000000, 0.923456, 0.000000
0.320000, 38.000000, 0.137505, 0.000000, 38.000000, 0.111119, 0.000000, 38.000000, 0.846328, 0.000000, 38.000000, 0.936945, 0.000000
0.340000, 38.000000, 0.132627, 0.000000, 38.000000, 0.104400, 0.000000, 38.000000, 0.893072, 0.000000, 38.000000, 0.926906, 0.000000
0.360000, 38.000000, 0.131862, 0.000000, 38.000000, 0.097204, 0.000000, 38.000000, 0.914209, 0.000000, 38.000000, 0.907203, 0.000000
0.380000, 38.000000, 0.133749, 0.000000, 38.000000, 0.090820, 0.000000, 38.000000, 0.858694, 0.000000, 38.000000, 0.900550, 0.000000
0.400000, 38.000000, 0.130534, 0.000000, 38.000000, 0.081830, 0.000000, 38.000000, 0.858120, 0.000000, 38.000000, 0.895413, 0.000000
0.420000, 38.000000, 0.128570, 0.000000, 38.000000, 0.089770, 0.000000, 38.000000, 0.937970, 0.000000, 38.000000, 0.916434, 0.000000
0.440000, 38.000000, 0.125794, 0.000000, 38.000000, 0.074869, 0.000000, 38.000000, 0.849109, 0.000000, 38.000000, 0.915095, 0.000000
0.460000, 38.000000, 0.123261, 0.000000, 38.000000, 0.065888, 0.000000, 38.000000, 0.841880, 0.000000, 38.000000, 0.909621, 0.000000
0.480000, 38.000000, 0.119698, 0.000000, 38.000000, 0.053216, 0.000000, 38.000000, 0.915970, 0.000000, 38.000000, 0.911477, 0.000000
0.500000, 38.000000, 0.114599, 0.000000, 38.000000, 0.049027, 0.000000, 38.000000, 0.856546, 0.000000, 38.000000, 0.888365, 0.000000
0.520000, 38.000000, 0.111194, 0.000000, 38.000000, 0.042282, 0.000000, 38.000000, 0.842234, 0.000000, 38.000000, 0.880284, 0.000000
0.540000, 38.000000, 0.105650, 0.000000, 38.000000, 0.038894, 0.000000, 38.000000, 0.850823, 0.000000, 38.000000, 0.874647, 0.000000
0.560000, 38.000000, 0.099760, 0.000000, 38.000000, 0.037029, 0.000000, 38.000000, 0.813994, 0.000000, 38.000000, 0.857538, 0.000000
0.580000, 38.000000, 0.094745, 0.000000, 38.000000, 0.032112, 0.000000, 38.000000, 0.806417, 0.000000, 38.000000, 0.854393, 0.000000
0.600000, 38.000000, 0.095119, 0.000000, 38.000000, 0.031338, 0.000000, 38.000000, 0.804108, 0.000000, 38.000000, 0.846729, 0.000000
0.620000, 39.000000, 0.087263, 0.000000, 44.000000, 0.032687, 0.000000, 39.000000, 0.822973, 0.000000, 40.000000, 0.877836, 0.000000
0.640000, 39.000000, 0.087315, 0.000000, 48.000000, 0.028610, 0.000000, 39.000000, 0.836466, 0.000000, 41.000000, 0.899004, 0.000000
0.660000, 39.000000, 0.084523, 0.000000, 52.000000, 0.028920, 0.000000, 39.000000, 0.855357, 0.000000, 41.000000, 0.909140, 0.000000
0.680000, 40.000000, 0.081841, 0.000000, 58.000000, 0.029443, 0.027778, 40.000000, 0.806572, 0.000000, 47.000000, 0.846243, 0.027778
0.700000, 41.000000, 0.076691, 0.000000, 67.000000, 0.030168, 0.000000, 41.000000, 0.854910, 0.000000, 50.000000, 0.935685, 0.000000
0.720000, 40.000000, 0.069058, 0.000000, 75.000000, 0.030669, 0.000000, 40.000000, 0.846651, 0.000000, 55.000000, 1.052462, 0.000000
0.740000, 42.000000, 0.067030, 0.000000, 81.000000, 0.032326, 0.000000, 42.000000, 1.000975, 0.000000, 62.000000, 1.118038, 0.055556
0.760000, 47.000000, 0.064810, 0.027778, 86.000000, 0.025079, 0.000000, 45.000000, 1.056725, 0.027778, 72.000000, 1.592466, 0.027778
0.780000, 52.000000, 0.070547, 0.000000, 95.000000, 0.033954, 0.000000, 52.000000, 1.025184, 0.000000, 89.000000, 1.626425, 0.000000
0.800000, 64.000000, 0.071689, 0.027778, 111.000000, 0.036968, 0.000000, 65.000000, 1.591883, 0.055556, 105.000000, 2.826585, 0.000000
0.820000, 66.000000, 0.064302, 0.027778, 122.000000, 0.028063, 0.000000, 66.000000, 1.769239, 0.027778, 121.000000, 2.670542, 0.000000
0.840000, 78.000000, 0.050490, 0.000000, 129.000000, 0.028999, 0.000000, 76.000000, 1.721268, 0.000000, 129.000000, 1.994601, 0.000000
0.860000, 102.000000, 0.066174, 0.055556, 133.000000, 0.028678, 0.000000, 103.000000, 3.064561, 0.055556, 133.000000, 2.151407, 0.000000
0.880000, 141.000000, 0.029699, 0.000000, 141.000000, 0.028782, 0.000000, 141.000000, 2.379833, 0.000000, 141.000000, 2.392329, 0.000000
0.900000, 141.000000, 0.030263, 0.000000, 141.000000, 0.030167, 0.000000, 141.000000, 2.313670, 0.000000, 141.000000, 2.326110, 0.000000
0.920000, 142.000000, 0.014886, 0.000000, 142.000000, 0.015472, 0.000000, 142.000000, 1.199793, 0.000000, 142.000000, 1.190673, 0.000000
0.940000, 142.000000, 0.014953, 0.000000, 142.000000, 0.015668, 0.000000, 142.000000, 1.233492, 0.000000, 142.000000, 1.207004, 0.000000
0.960000, 142.000000, 0.015144, 0.000000, 142.000000, 0.017862, 0.000000, 142.000000, 1.196745, 0.000000, 142.000000, 1.191683, 0.000000
0.980000, 142.000000, 0.015359, 0.000000, 142.000000, 0.015366, 0.000000, 142.000000, 1.218247, 0.000000, 142.000000, 1.195037, 0.000000
