Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 62.000000, 0.728088, 0.164430, 68.000000, 0.884942, 0.157718, 63.000000, 42.356935, 0.177852, 69.000000, 45.108819, 0.164430
0.040000, 62.000000, 0.718007, 0.164430, 68.000000, 0.872269, 0.157718, 63.000000, 43.057676, 0.177852, 69.000000, 45.450142, 0.164430
0.060000, 62.000000, 0.721268, 0.164430, 68.000000, 0.872744, 0.157718, 63.000000, 42.577095, 0.177852, 69.000000, 44.559368, 0.164430
0.080000, 62.000000, 0.690895, 0.164430, 68.000000, 0.859100, 0.157718, 63.000000, 42.515401, 0.177852, 69.000000, 46.526564, 0.164430
0.100000, 62.000000, 0.733073, 0.164430, 68.000000, 0.851746, 0.157718, 63.000000, 41.869924, 0.177852, 69.000000, 46.308413, 0.164430
0.120000, 62.000000, 0.706965, 0.164430, 68.000000, 0.842535, 0.157718, 63.000000, 41.545691, 0.177852, 69.000000, 45.780064, 0.164430
0.140000, 62.000000, 0.717201, 0.164430, 68.000000, 0.849460, 0.157718, 63.000000, 41.435991, 0.177852, 69.000000, 45.100879, 0.164430
0.160000, 62.000000, 0.693924, 0.164430, 68.000000, 0.826892, 0.157718, 63.000000, 41.583895, 0.177852, 69.000000, 45.470150, 0.164430
0.180000, 62.000000, 0.694290, 0.164430, 68.000000, 0.825180, 0.157718, 63.000000, 42.080549, 0.177852, 69.000000, 45.056703, 0.164430
0.200000, 62.000000, 0.702406, 0.164430, 68.000000, 0.827461, 0.157718, 63.000000, 42.857398, 0.177852, 69.000000, 45.883761, 0.164430
0.220000, 62.000000, 0.695266, 0.164430, 68.000000, 0.825124, 0.157718, 63.000000, 41.617691, 0.177852, 69.000000, 45.408876, 0.164430
0.240000, 62.000000, 0.691807, 0.164430, 68.000000, 0.808600, 0.157718, 63.000000, 41.404462, 0.177852, 69.000000, 44.954189, 0.164430
0.260000, 62.000000, 0.738342, 0.164430, 68.000000, 0.800204, 0.157718, 63.000000, 41.503145, 0.177852, 69.000000, 46.027959, 0.164430
0.280000, 62.000000, 0.695664, 0.164430, 68.000000, 0.832031, 0.157718, 63.000000, 41.564377, 0.177852, 69.000000, 50.366664, 0.164430
0.300000, 62.000000, 0.691473, 0.164430, 68.000000, 0.767693, 0.157718, 63.000000, 41.606855, 0.177852, 69.000000, 45.962469, 0.164430
0.320000, 62.000000, 0.691928, 0.164430, 68.000000, 0.753571, 0.157718, 63.000000, 42.069793, 0.177852, 69.000000, 46.327913, 0.164430
0.340000, 62.000000, 0.705128, 0.164430, 68.000000, 0.711368, 0.157718, 63.000000, 42.195917, 0.177852, 69.000000, 46.335899, 0.164430
0.360000, 62.000000, 0.693822, 0.164430, 68.000000, 0.695769, 0.157718, 63.000000, 41.450874, 0.177852, 69.000000, 45.384730, 0.164430
0.380000, 62.000000, 0.700779, 0.164430, 68.000000, 0.687682, 0.157718, 63.000000, 41.455962, 0.177852, 69.000000, 45.179946, 0.164430
0.400000, 62.000000, 0.689247, 0.164430, 68.000000, 0.668944, 0.157718, 63.000000, 41.489063, 0.177852, 69.000000, 46.006894, 0.164430
0.420000, 62.000000, 0.680823, 0.164430, 68.000000, 0.657262, 0.157718, 63.000000, 41.402976, 0.177852, 69.000000, 46.176998, 0.164430
0.440000, 62.000000, 0.678485, 0.164430, 68.000000, 0.645248, 0.157718, 63.000000, 41.549618, 0.177852, 69.000000, 45.383490, 0.164430
0.460000, 62.000000, 0.683807, 0.164430, 68.000000, 0.638325, 0.157718, 63.000000, 41.945995, 0.177852, 69.000000, 44.989174, 0.164430
0.480000, 62.000000, 0.688514, 0.164430, 68.000000, 0.618674, 0.157718, 63.000000, 41.484856, 0.177852, 69.000000, 45.203233, 0.164430
0.500000, 62.000000, 0.689797, 0.164430, 68.000000, 0.613216, 0.157718, 63.000000, 41.567352, 0.177852, 69.000000, 46.529141, 0.164430
0.520000, 62.000000, 0.683142, 0.164430, 68.000000, 0.605042, 0.157718, 63.000000, 41.580209, 0.177852, 69.000000, 46.150593, 0.164430
0.540000, 62.000000, 0.695145, 0.164430, 68.000000, 0.581980, 0.157718, 63.000000, 41.447705, 0.177852, 69.000000, 45.067223, 0.164430
0.560000, 62.000000, 0.674120, 0.164430, 68.000000, 0.581607, 0.157718, 63.000000, 41.405128, 0.177852, 69.000000, 45.945155, 0.164430
0.580000, 62.000000, 0.682689, 0.164430, 68.000000, 0.561772, 0.157718, 63.000000, 41.445951, 0.177852, 69.000000, 47.083206, 0.164430
0.600000, 62.000000, 0.677331, 0.164430, 68.000000, 0.568376, 0.157718, 63.000000, 41.825713, 0.177852, 69.000000, 45.491272, 0.164430
0.620000, 63.000000, 0.667097, 0.157718, 76.000000, 0.567231, 0.167785, 65.000000, 41.705255, 0.177852, 73.000000, 47.729687, 0.191275
0.640000, 63.000000, 0.673003, 0.157718, 85.000000, 0.558120, 0.184564, 65.000000, 41.655605, 0.177852, 74.000000, 46.708857, 0.191275
0.660000, 63.000000, 0.661036, 0.157718, 94.000000, 0.594351, 0.204698, 65.000000, 41.709762, 0.177852, 74.000000, 47.354937, 0.191275
0.680000, 63.000000, 0.663408, 0.157718, 109.000000, 0.555002, 0.208054, 65.000000, 41.681438, 0.177852, 75.000000, 45.567317, 0.191275
0.700000, 63.000000, 0.664852, 0.157718, 124.000000, 0.561115, 0.228188, 65.000000, 41.523853, 0.177852, 77.000000, 44.660455, 0.191275
0.720000, 64.000000, 0.637457, 0.157718, 139.000000, 0.554735, 0.278523, 66.000000, 41.723110, 0.177852, 80.000000, 45.551526, 0.204698
0.740000, 66.000000, 0.661360, 0.157718, 162.000000, 0.568533, 0.244966, 68.000000, 41.929986, 0.171141, 83.000000, 45.860542, 0.201342
0.760000, 68.000000, 0.661841, 0.167785, 177.000000, 0.571964, 0.305369, 69.000000, 42.036594, 0.164430, 90.000000, 48.337988, 0.177852
0.780000, 72.000000, 0.644254, 0.161074, 209.000000, 0.587177, 0.345638, 73.000000, 41.711359, 0.167785, 94.000000, 49.177799, 0.181208
0.800000, 74.000000, 0.636132, 0.157718, 241.000000, 0.584290, 0.342282, 77.000000, 43.279022, 0.167785, 109.000000, 50.072443, 0.197987
0.820000, 79.000000, 0.643855, 0.154362, 288.000000, 0.583920, 0.382550, 79.000000, 45.304076, 0.171141, 131.000000, 51.289317, 0.201342
0.840000, 85.000000, 0.632796, 0.157718, 347.000000, 0.660679, 0.416107, 89.000000, 45.107444, 0.164430, 168.000000, 56.336612, 0.238255
0.860000, 83.000000, 0.645237, 0.161074, 389.000000, 0.633868, 0.369128, 98.000000, 46.277226, 0.171141, 222.000000, 62.674667, 0.268456
0.880000, 99.000000, 0.656782, 0.164430, 488.000000, 0.676927, 0.419463, 119.000000, 49.930429, 0.194631, 310.000000, 76.769802, 0.308725
0.900000, 124.000000, 0.690550, 0.167785, 599.000000, 0.769814, 0.399329, 141.000000, 57.501176, 0.171141, 470.000000, 107.517312, 0.352349
0.920000, 180.000000, 0.712900, 0.201342, 739.000000, 0.770535, 0.432886, 194.000000, 75.950468, 0.221477, 660.000000, 135.318122, 0.399329
0.940000, 309.000000, 0.935387, 0.248322, 914.000000, 0.910554, 0.429530, 306.000000, 106.652548, 0.238255, 890.000000, 208.920383, 0.436242
0.960000, 546.000000, 1.412733, 0.308725, 1093.000000, 1.095245, 0.439597, 577.000000, 225.370640, 0.325503, 1093.000000, 228.909120, 0.439597
0.980000, 1157.000000, 1.172191, 0.449664, 1159.000000, 0.796014, 0.449664, 1159.000000, 163.533293, 0.449664, 1159.000000, 165.070233, 0.449664
