Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 10.000000, 0.065729, 0.000000, 10.000000, 0.076264, 0.000000, 10.000000, 1.490842, 0.000000, 10.000000, 1.270085, 0.000000
0.040000, 10.000000, 0.069077, 0.000000, 10.000000, 0.063996, 0.000000, 10.000000, 1.388109, 0.000000, 10.000000, 1.306080, 0.000000
0.060000, 10.000000, 0.062138, 0.000000, 10.000000, 0.056125, 0.000000, 10.000000, 1.364123, 0.000000, 10.000000, 1.313952, 0.000000
0.080000, 10.000000, 0.063480, 0.000000, 10.000000, 0.055449, 0.000000, 10.000000, 1.357902, 0.000000, 10.000000, 1.332665, 0.000000
0.100000, 10.000000, 0.062641, 0.000000, 10.000000, 0.058239, 0.000000, 10.000000, 1.238727, 0.000000, 10.000000, 1.290313, 0.000000
0.120000, 10.000000, 0.070714, 0.000000, 10.000000, 0.056329, 0.000000, 10.000000, 1.404334, 0.000000, 10.000000, 1.143202, 0.000000
0.140000, 10.000000, 0.056782, 0.000000, 10.000000, 0.049884, 0.000000, 10.000000, 1.563817, 0.000000, 10.000000, 1.175911, 0.000000
0.160000, 10.000000, 0.064856, 0.000000, 10.000000, 0.047331, 0.000000, 10.000000, 1.655758, 0.000000, 10.000000, 1.143645, 0.000000
0.180000, 10.000000, 0.053869, 0.000000, 10.000000, 0.048021, 0.000000, 10.000000, 1.335201, 0.000000, 10.000000, 1.124423, 0.000000
0.200000, 10.000000, 0.051773, 0.000000, 10.000000, 0.046727, 0.000000, 10.000000, 1.536467, 0.000000, 10.000000, 1.162704, 0.000000
0.220000, 10.000000, 0.069853, 0.000000, 10.000000, 0.051864, 0.000000, 10.000000, 1.348384, 0.000000, 10.000000, 1.220276, 0.000000
0.240000, 10.000000, 0.062881, 0.000000, 10.000000, 0.046094, 0.000000, 10.000000, 1.219045, 0.000000, 10.000000, 1.263144, 0.000000
0.260000, 10.000000, 0.061171, 0.000000, 10.000000, 0.050014, 0.000000, 10.000000, 1.195472, 0.000000, 10.000000, 1.192544, 0.000000
0.280000, 10.000000, 0.066585, 0.000000, 10.000000, 0.045028, 0.000000, 10.000000, 1.143662, 0.000000, 10.000000, 1.178254, 0.000000
0.300000, 10.000000, 0.067162, 0.000000, 10.000000, 0.045340, 0.000000, 10.000000, 1.315385, 0.000000, 10.000000, 1.281257, 0.000000
0.320000, 10.000000, 0.059828, 0.000000, 10.000000, 0.051237, 0.000000, 10.000000, 1.276221, 0.000000, 10.000000, 1.145240, 0.000000
0.340000, 10.000000, 0.058520, 0.000000, 10.000000, 0.054246, 0.000000, 10.000000, 1.178155, 0.000000, 10.000000, 1.124727, 0.000000
0.360000, 10.000000, 0.063810, 0.000000, 10.000000, 0.051655, 0.000000, 10.000000, 1.135471, 0.000000, 10.000000, 1.133699, 0.000000
0.380000, 10.000000, 0.056130, 0.000000, 10.000000, 0.050735, 0.000000, 10.000000, 1.254461, 0.000000, 10.000000, 1.142490, 0.000000
0.400000, 10.000000, 0.057073, 0.000000, 10.000000, 0.051441, 0.000000, 10.000000, 1.228077, 0.000000, 10.000000, 1.123002, 0.000000
0.420000, 10.000000, 0.059108, 0.000000, 10.000000, 0.048063, 0.000000, 10.000000, 1.322760, 0.000000, 10.000000, 1.150532, 0.000000
0.440000, 10.000000, 0.055328, 0.000000, 10.000000, 0.057761, 0.000000, 10.000000, 1.258761, 0.000000, 10.000000, 1.147468, 0.000000
0.460000, 10.000000, 0.063613, 0.000000, 10.000000, 0.047900, 0.000000, 10.000000, 1.285575, 0.000000, 10.000000, 1.125987, 0.000000
0.480000, 10.000000, 0.055524, 0.000000, 10.000000, 0.042297, 0.000000, 10.000000, 1.257671, 0.000000, 10.000000, 1.118605, 0.000000
0.500000, 10.000000, 0.052738, 0.000000, 10.000000, 0.042556, 0.000000, 10.000000, 1.132303, 0.000000, 10.000000, 1.133015, 0.000000
0.520000, 10.000000, 0.055520, 0.000000, 10.000000, 0.040656, 0.000000, 10.000000, 1.207733, 0.000000, 10.000000, 1.111135, 0.000000
0.540000, 10.000000, 0.057552, 0.000000, 10.000000, 0.040561, 0.000000, 10.000000, 1.181938, 0.000000, 10.000000, 1.116194, 0.000000
0.560000, 10.000000, 0.054338, 0.000000, 10.000000, 0.038570, 0.000000, 10.000000, 1.200728, 0.000000, 10.000000, 1.195920, 0.000000
