Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 50.000000, 16.771469, 0.070796, 58.000000, 13.583747, 0.061947, 63.000000, 14.030139, 0.061947, 63.000000, 14.060256, 0.061947
0.040000, 50.000000, 16.623418, 0.070796, 58.000000, 13.373866, 0.061947, 63.000000, 14.062869, 0.061947, 63.000000, 14.081934, 0.061947
0.060000, 50.000000, 16.652858, 0.070796, 58.000000, 13.373959, 0.061947, 63.000000, 14.055529, 0.061947, 63.000000, 14.060719, 0.061947
0.080000, 50.000000, 16.571510, 0.070796, 58.000000, 13.392527, 0.061947, 63.000000, 14.011772, 0.061947, 63.000000, 14.038941, 0.061947
0.100000, 50.000000, 16.650652, 0.070796, 58.000000, 13.386806, 0.061947, 63.000000, 14.015188, 0.061947, 63.000000, 14.073568, 0.061947
0.120000, 50.000000, 16.692619, 0.070796, 58.000000, 13.345936, 0.061947, 63.000000, 14.069135, 0.061947, 63.000000, 13.999240, 0.061947
0.140000, 50.000000, 16.593771, 0.070796, 58.000000, 13.376474, 0.061947, 63.000000, 14.043522, 0.061947, 63.000000, 14.140464, 0.061947
0.160000, 50.000000, 16.514521, 0.070796, 58.000000, 13.411597, 0.061947, 63.000000, 14.020792, 0.061947, 63.000000, 14.066769, 0.061947
0.180000, 50.000000, 16.648469, 0.070796, 58.000000, 13.390963, 0.061947, 63.000000, 14.041790, 0.061947, 63.000000, 14.069805, 0.061947
0.200000, 50.000000, 16.654023, 0.070796, 58.000000, 13.283082, 0.061947, 63.000000, 14.000715, 0.061947, 63.000000, 13.999536, 0.061947
0.220000, 50.000000, 16.571636, 0.070796, 58.000000, 13.332194, 0.061947, 63.000000, 14.043417, 0.061947, 63.000000, 14.005245, 0.061947
0.240000, 50.000000, 16.626865, 0.070796, 58.000000, 13.286246, 0.061947, 63.000000, 14.021070, 0.061947, 63.000000, 14.040656, 0.061947
0.260000, 50.000000, 16.470726, 0.070796, 58.000000, 13.290440, 0.061947, 63.000000, 14.098800, 0.061947, 63.000000, 14.017707, 0.061947
0.280000, 50.000000, 16.452595, 0.070796, 58.000000, 13.305861, 0.061947, 63.000000, 14.000889, 0.061947, 63.000000, 13.979159, 0.061947
0.300000, 50.000000, 16.589193, 0.070796, 58.000000, 13.300538, 0.061947, 63.000000, 13.978670, 0.061947, 63.000000, 13.986014, 0.061947
0.320000, 50.000000, 16.571676, 0.070796, 58.000000, 13.324005, 0.061947, 63.000000, 13.967777, 0.061947, 63.000000, 13.965853, 0.061947
0.340000, 50.000000, 16.644162, 0.070796, 58.000000, 13.234788, 0.061947, 63.000000, 14.007808, 0.061947, 63.000000, 14.018382, 0.061947
0.360000, 50.000000, 16.611756, 0.070796, 58.000000, 13.243145, 0.061947, 63.000000, 13.936087, 0.061947, 63.000000, 14.064235, 0.061947
0.380000, 50.000000, 16.541993, 0.070796, 58.000000, 13.182369, 0.061947, 63.000000, 13.983507, 0.061947, 63.000000, 13.966700, 0.061947
0.400000, 50.000000, 16.556674, 0.070796, 58.000000, 13.209158, 0.061947, 63.000000, 13.925256, 0.061947, 63.000000, 13.914118, 0.061947
0.420000, 50.000000, 16.528962, 0.070796, 58.000000, 13.244987, 0.061947, 63.000000, 13.890375, 0.061947, 63.000000, 13.897792, 0.061947
0.440000, 50.000000, 16.549457, 0.070796, 58.000000, 13.197540, 0.061947, 63.000000, 13.878764, 0.061947, 63.000000, 13.892160, 0.061947
0.460000, 50.000000, 16.420696, 0.070796, 58.000000, 13.217758, 0.061947, 63.000000, 13.927138, 0.061947, 63.000000, 13.838565, 0.061947
