Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 11.000000, 10.220154, 0.000000, 11.000000, 4.056268, 0.000000, 10.000000, 7.240021, 0.000000, 11.000000, 3.336663, 0.000000
0.040000, 11.000000, 9.729287, 0.000000, 11.000000, 4.022178, 0.000000, 10.000000, 7.172992, 0.000000, 11.000000, 3.260811, 0.000000
0.060000, 11.000000, 10.011475, 0.000000, 11.000000, 3.951705, 0.000000, 10.000000, 7.434433, 0.000000, 11.000000, 3.168362, 0.000000
0.080000, 11.000000, 9.646658, 0.000000, 11.000000, 4.058052, 0.000000, 10.000000, 7.499273, 0.000000, 11.000000, 3.115414, 0.000000
0.100000, 11.000000, 9.739251, 0.000000, 11.000000, 4.041795, 0.000000, 10.000000, 6.847082, 0.000000, 11.000000, 3.589225, 0.000000
0.120000, 11.000000, 9.702976, 0.000000, 11.000000, 4.029301, 0.000000, 10.000000, 6.953273, 0.000000, 11.000000, 3.186074, 0.000000
0.140000, 11.000000, 9.640054, 0.000000, 11.000000, 4.244237, 0.000000, 10.000000, 7.323655, 0.000000, 11.000000, 3.154386, 0.000000
0.160000, 11.000000, 9.596065, 0.000000, 11.000000, 4.298085, 0.000000, 10.000000, 7.163396, 0.000000, 11.000000, 3.251053, 0.000000
0.180000, 11.000000, 9.510133, 0.000000, 11.000000, 4.114881, 0.000000, 10.000000, 7.080286, 0.000000, 11.000000, 3.149369, 0.000000
0.200000, 11.000000, 9.510324, 0.000000, 11.000000, 4.170830, 0.000000, 10.000000, 6.953616, 0.000000, 11.000000, 3.243341, 0.000000
0.220000, 11.000000, 9.438930, 0.000000, 11.000000, 4.344526, 0.000000, 10.000000, 6.880520, 0.000000, 11.000000, 3.395234, 0.000000
0.240000, 11.000000, 9.589737, 0.000000, 11.000000, 4.374940, 0.000000, 10.000000, 7.106865, 0.000000, 11.000000, 3.326282, 0.000000
0.260000, 11.000000, 9.771153, 0.000000, 11.000000, 4.350832, 0.000000, 10.000000, 6.976793, 0.000000, 11.000000, 3.253045, 0.000000
0.280000, 11.000000, 9.881443, 0.000000, 11.000000, 4.452549, 0.000000, 10.000000, 6.869487, 0.000000, 11.000000, 3.102500, 0.000000
0.300000, 11.000000, 9.729892, 0.000000, 11.000000, 4.796444, 0.000000, 10.000000, 6.951761, 0.000000, 11.000000, 3.079415, 0.000000
0.320000, 11.000000, 9.702689, 0.000000, 11.000000, 4.273399, 0.000000, 10.000000, 7.092646, 0.000000, 11.000000, 3.197605, 0.000000
0.340000, 11.000000, 9.638088, 0.000000, 11.000000, 4.261236, 0.000000, 10.000000, 7.181984, 0.000000, 11.000000, 3.161766, 0.000000
0.360000, 11.000000, 9.735893, 0.000000, 11.000000, 4.291521, 0.000000, 10.000000, 7.030662, 0.000000, 11.000000, 3.072575, 0.000000
0.380000, 11.000000, 9.775124, 0.000000, 11.000000, 4.269766, 0.000000, 10.000000, 7.030730, 0.000000, 11.000000, 3.486067, 0.000000
0.400000, 11.000000, 9.791432, 0.000000, 11.000000, 4.553908, 0.000000, 10.000000, 7.190382, 0.000000, 11.000000, 3.169462, 0.000000
0.420000, 11.000000, 9.605459, 0.000000, 11.000000, 4.154666, 0.000000, 10.000000, 6.962091, 0.000000, 11.000000, 1002.628709, 0.000000
0.440000, 11.000000, 9.600749, 0.000000, 11.000000, 4.343019, 0.000000, 10.000000, 7.003316, 0.000000, 11.000000, 6.615050, 0.000000
0.460000, 11.000000, 9.443338, 0.000000, 11.000000, 4.251916, 0.000000, 10.000000, 7.351866, 0.000000, 11.000000, 4.879499, 0.000000
0.480000, 11.000000, 9.539579, 0.000000, 11.000000, 4.269379, 0.000000, 10.000000, 6.929633, 0.000000, 11.000000, 3.345538, 0.000000
0.500000, 11.000000, 10.027600, 0.000000, 11.000000, 4.228011, 0.000000, 10.000000, 6.821593, 0.000000, 11.000000, 3.301541, 0.000000
0.520000, 11.000000, 11.549102, 0.000000, 11.000000, 4.163625, 0.000000, 10.000000, 6.884578, 0.000000, 11.000000, 3.207465, 0.000000
0.540000, 11.000000, 10.000824, 0.000000, 11.000000, 4.085617, 0.000000, 10.000000, 6.738426, 0.000000, 11.000000, 3.173399, 0.000000
0.560000, 11.000000, 10.033745, 0.000000, 10.000000, 4.005235, 0.000000, 10.000000, 6.906622, 0.000000, 11.000000, 3.003344, 0.000000
0.580000, 11.000000, 9.760807, 0.000000, 10.000000, 4.162956, 0.000000, 10.000000, 6.957078, 0.000000, 11.000000, 3.149069, 0.000000
0.600000, 11.000000, 10.161465, 0.000000, 10.000000, 4.290175, 0.000000, 10.000000, 6.962055, 0.000000, 11.000000, 3.109779, 0.000000
0.620000, 11.000000, 9.726778, 0.000000, 12.000000, 3.991459, 0.000000, 10.000000, 6.839712, 0.000000, 11.000000, 3.179329, 0.000000
0.640000, 11.000000, 9.686940, 0.000000, 13.000000, 4.109813, 0.000000, 10.000000, 6.922057, 0.000000, 11.000000, 3.239676, 0.000000
0.660000, 11.000000, 9.883303, 0.000000, 13.000000, 4.093008, 0.000000, 10.000000, 6.847501, 0.000000, 11.000000, 3.504062, 0.000000
0.680000, 11.000000, 9.677154, 0.000000, 15.000000, 4.142734, 0.000000, 10.000000, 6.986360, 0.000000, 11.000000, 3.184567, 0.000000
0.700000, 11.000000, 9.765227, 0.000000, 15.000000, 4.243155, 0.000000, 10.000000, 6.932559, 0.000000, 12.000000, 3.369788, 0.000000
0.720000, 11.000000, 9.854784, 0.000000, 17.000000, 4.188256, 0.000000, 10.000000, 7.031818, 0.000000, 14.000000, 3.557436, 0.000000
0.740000, 11.000000, 10.063444, 0.000000, 19.000000, 4.152927, 0.000000, 10.000000, 7.099276, 0.000000, 15.000000, 3.450723, 0.000000
0.760000, 11.000000, 9.718314, 0.000000, 19.000000, 3.934433, 0.000000, 10.000000, 7.174668, 0.000000, 14.000000, 3.493038, 0.000000
0.780000, 11.000000, 10.209789, 0.000000, 23.000000, 3.939709, 0.000000, 10.000000, 7.841161, 0.000000, 16.000000, 3.562939, 0.000000
0.800000, 11.000000, 9.339255, 0.000000, 27.000000, 3.925343, 0.000000, 10.000000, 6.708807, 0.000000, 16.000000, 3.422611, 0.000000
0.820000, 11.000000, 9.811928, 0.000000, 33.000000, 3.811168, 0.000000, 11.000000, 6.658864, 0.000000, 15.000000, 3.368398, 0.000000
0.840000, 12.000000, 9.948779, 0.000000, 41.000000, 3.836246, 0.000000, 11.000000, 6.874514, 0.000000, 20.000000, 3.378498, 0.000000
0.860000, 12.000000, 9.217609, 0.000000, 48.000000, 3.850218, 0.000000, 11.000000, 5.762830, 0.000000, 23.000000, 3.308973, 0.000000
0.880000, 12.000000, 9.642161, 0.000000, 61.000000, 3.840759, 0.000000, 12.000000, 5.707141, 0.000000, 28.000000, 3.263847, 0.000000
