Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 40.000000, 32.621968, 0.015000, 40.000000, 33.839356, 0.015000, 42.000000, 28.011492, 0.020000, 39.000000, 27.984505, 0.015000
0.040000, 40.000000, 33.086425, 0.015000, 40.000000, 35.115952, 0.015000, 42.000000, 28.279404, 0.020000, 39.000000, 27.935801, 0.015000
0.060000, 40.000000, 33.026735, 0.015000, 40.000000, 34.858278, 0.015000, 42.000000, 28.017695, 0.020000, 39.000000, 27.912277, 0.015000
0.080000, 40.000000, 33.118935, 0.015000, 40.000000, 32.201888, 0.015000, 42.000000, 28.045450, 0.020000, 39.000000, 27.703662, 0.015000
0.100000, 40.000000, 32.712486, 0.015000, 40.000000, 35.587836, 0.015000, 42.000000, 30.488972, 0.020000, 39.000000, 27.656471, 0.015000
0.120000, 40.000000, 32.629435, 0.015000, 40.000000, 31.752435, 0.015000, 42.000000, 29.020036, 0.020000, 39.000000, 27.394420, 0.015000
0.140000, 40.000000, 32.566829, 0.015000, 40.000000, 31.757275, 0.015000, 42.000000, 28.559402, 0.020000, 39.000000, 27.417399, 0.015000
0.160000, 40.000000, 32.458960, 0.015000, 40.000000, 31.591015, 0.015000, 42.000000, 28.483728, 0.020000, 39.000000, 27.297607, 0.015000
0.180000, 40.000000, 32.110321, 0.015000, 40.000000, 44.059890, 0.015000, 42.000000, 28.479750, 0.020000, 39.000000, 27.152004, 0.015000
0.200000, 40.000000, 32.042476, 0.015000, 40.000000, 40.381852, 0.015000, 42.000000, 28.231620, 0.020000, 39.000000, 27.051834, 0.015000
0.220000, 40.000000, 31.584536, 0.015000, 40.000000, 27.474200, 0.015000, 42.000000, 28.307613, 0.020000, 39.000000, 27.644132, 0.015000
0.240000, 40.000000, 31.601315, 0.015000, 40.000000, 27.251580, 0.015000, 42.000000, 27.774409, 0.020000, 39.000000, 27.518523, 0.015000
0.260000, 40.000000, 31.277657, 0.015000, 40.000000, 27.115986, 0.015000, 42.000000, 28.046399, 0.020000, 39.000000, 27.566667, 0.015000
0.280000, 40.000000, 31.427449, 0.015000, 40.000000, 27.357248, 0.015000, 42.000000, 27.734344, 0.020000, 39.000000, 27.381913, 0.015000
0.300000, 40.000000, 31.833318, 0.015000, 40.000000, 27.244736, 0.015000, 42.000000, 27.838999, 0.020000, 39.000000, 27.352303, 0.015000
0.320000, 40.000000, 31.243759, 0.015000, 40.000000, 26.640957, 0.015000, 42.000000, 27.971190, 0.020000, 39.000000, 27.140584, 0.015000
0.340000, 40.000000, 30.697100, 0.015000, 40.000000, 26.566910, 0.015000, 42.000000, 27.422855, 0.020000, 39.000000, 27.080130, 0.015000
0.360000, 40.000000, 31.365174, 0.015000, 40.000000, 26.493346, 0.015000, 42.000000, 27.351876, 0.020000, 39.000000, 27.055200, 0.015000
0.380000, 40.000000, 32.131742, 0.015000, 40.000000, 26.207982, 0.015000, 42.000000, 27.245738, 0.020000, 39.000000, 27.017664, 0.015000
0.400000, 40.000000, 31.767173, 0.015000, 40.000000, 26.212185, 0.015000, 42.000000, 27.016510, 0.020000, 39.000000, 26.760092, 0.015000
0.420000, 40.000000, 31.185519, 0.015000, 40.000000, 26.100091, 0.015000, 42.000000, 27.010545, 0.020000, 39.000000, 26.804082, 0.015000
0.440000, 40.000000, 31.840800, 0.015000, 40.000000, 25.917229, 0.015000, 42.000000, 27.013464, 0.020000, 39.000000, 27.490507, 0.015000
