Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 27.000000, 348.620779, 0.000000, 23.000000, 352.728972, 0.000000, 23.000000, 352.778064, 0.000000, 23.000000, 325.138701, 0.000000
0.040000, 27.000000, 347.809120, 0.000000, 23.000000, 355.928766, 0.000000, 23.000000, 349.054573, 0.000000, 23.000000, 1378.615439, 0.000000
0.060000, 27.000000, 357.429985, 0.000000, 23.000000, 352.879181, 0.000000, 23.000000, 347.590771, 0.000000, 23.000000, 326.275501, 0.000000
0.080000, 27.000000, 351.095070, 0.000000, 23.000000, 354.164735, 0.000000, 23.000000, 349.859446, 0.000000, 23.000000, 326.478063, 0.000000
0.100000, 27.000000, 352.469652, 0.000000, 23.000000, 351.701439, 0.000000, 23.000000, 355.142544, 0.000000, 23.000000, 326.601425, 0.000000
0.120000, 27.000000, 349.284677, 0.000000, 23.000000, 364.147301, 0.000000, 23.000000, 356.401953, 0.000000, 23.000000, 325.601968, 0.000000
0.140000, 27.000000, 349.896277, 0.000000, 23.000000, 358.762447, 0.000000, 23.000000, 349.126999, 0.000000, 23.000000, 324.650636, 0.000000
0.160000, 27.000000, 347.839972, 0.000000, 23.000000, 365.490042, 0.000000, 23.000000, 323.620000, 0.000000, 23.000000, 325.788340, 0.000000
0.180000, 27.000000, 347.601876, 0.000000, 23.000000, 366.178309, 0.000000, 23.000000, 323.159758, 0.000000, 23.000000, 326.876601, 0.000000
0.200000, 27.000000, 343.796310, 0.000000, 23.000000, 369.495486, 0.000000, 23.000000, 323.198497, 0.000000, 23.000000, 325.295741, 0.000000
0.220000, 27.000000, 352.778739, 0.000000, 23.000000, 365.494481, 0.000000, 23.000000, 323.511690, 0.000000, 23.000000, 324.396237, 0.000000
0.240000, 27.000000, 342.632313, 0.000000, 23.000000, 371.534878, 0.000000, 23.000000, 322.950698, 0.000000, 23.000000, 324.440754, 0.000000
0.260000, 27.000000, 345.893180, 0.000000, 23.000000, 367.412785, 0.000000, 23.000000, 322.843217, 0.000000, 23.000000, 324.223794, 0.000000
0.280000, 27.000000, 348.868784, 0.000000, 23.000000, 369.299730, 0.000000, 23.000000, 322.777732, 0.000000, 23.000000, 323.772508, 0.000000
0.300000, 27.000000, 350.604933, 0.000000, 23.000000, 365.048679, 0.000000, 23.000000, 322.205185, 0.000000, 23.000000, 323.724353, 0.000000
0.320000, 27.000000, 369.664577, 0.000000, 23.000000, 366.323357, 0.000000, 23.000000, 321.908865, 0.000000, 23.000000, 323.385764, 0.000000
0.340000, 27.000000, 368.040070, 0.000000, 23.000000, 348.977383, 0.000000, 23.000000, 323.478468, 0.000000, 23.000000, 322.866256, 0.000000
0.360000, 27.000000, 359.777560, 0.000000, 23.000000, 343.909910, 0.000000, 23.000000, 320.817758, 0.000000, 23.000000, 321.876432, 0.000000
0.380000, 27.000000, 366.601955, 0.000000, 23.000000, 339.748833, 0.000000, 23.000000, 320.066901, 0.000000, 23.000000, 322.208877, 0.000000
0.400000, 27.000000, 364.525553, 0.000000, 23.000000, 338.265952, 0.000000, 23.000000, 320.101612, 0.000000, 23.000000, 323.140315, 0.000000
0.420000, 27.000000, 369.120254, 0.000000, 23.000000, 337.480783, 0.000000, 23.000000, 319.058937, 0.000000, 23.000000, 321.908146, 0.000000
0.440000, 27.000000, 354.403624, 0.000000, 23.000000, 342.068564, 0.000000, 23.000000, 318.252222, 0.000000, 23.000000, 320.576889, 0.000000
0.460000, 27.000000, 347.205705, 0.000000, 23.000000, 360.986244, 0.000000, 23.000000, 318.042053, 0.000000, 23.000000, 318.810765, 0.000000
0.480000, 27.000000, 346.328804, 0.000000, 23.000000, 352.866336, 0.000000, 23.000000, 316.705007, 0.000000, 23.000000, 318.532010, 0.000000
