Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 14.000000, 2.255784, 0.000000, 13.000000, 2.288205, 0.000000, 13.000000, 2.196834, 0.000000, 13.000000, 2.206981, 0.000000
0.040000, 14.000000, 2.252080, 0.000000, 13.000000, 2.292858, 0.000000, 13.000000, 2.201370, 0.000000, 13.000000, 2.197627, 0.000000
0.060000, 14.000000, 2.266312, 0.000000, 13.000000, 2.281735, 0.000000, 13.000000, 2.199991, 0.000000, 13.000000, 2.211564, 0.000000
0.080000, 14.000000, 2.254654, 0.000000, 13.000000, 2.278874, 0.000000, 13.000000, 2.199195, 0.000000, 13.000000, 2.209932, 0.000000
0.100000, 14.000000, 2.247718, 0.000000, 13.000000, 2.281767, 0.000000, 13.000000, 2.191996, 0.000000, 13.000000, 2.199643, 0.000000
0.120000, 14.000000, 2.243388, 0.000000, 13.000000, 2.274011, 0.000000, 13.000000, 2.203666, 0.000000, 13.000000, 2.192416, 0.000000
0.140000, 14.000000, 2.243645, 0.000000, 13.000000, 2.276821, 0.000000, 13.000000, 2.200582, 0.000000, 13.000000, 2.222156, 0.000000
0.160000, 14.000000, 2.234115, 0.000000, 13.000000, 2.264048, 0.000000, 13.000000, 2.199854, 0.000000, 13.000000, 2.199783, 0.000000
0.180000, 14.000000, 2.237180, 0.000000, 13.000000, 2.289740, 0.000000, 13.000000, 2.202726, 0.000000, 13.000000, 2.204991, 0.000000
0.200000, 14.000000, 2.246247, 0.000000, 13.000000, 2.274882, 0.000000, 13.000000, 2.199610, 0.000000, 13.000000, 2.214103, 0.000000
0.220000, 14.000000, 2.247508, 0.000000, 13.000000, 2.282143, 0.000000, 13.000000, 2.194100, 0.000000, 13.000000, 2.209701, 0.000000
0.240000, 14.000000, 2.245290, 0.000000, 13.000000, 2.278996, 0.000000, 13.000000, 2.202090, 0.000000, 13.000000, 2.197474, 0.000000
0.260000, 14.000000, 2.234288, 0.000000, 13.000000, 2.279327, 0.000000, 13.000000, 2.199549, 0.000000, 13.000000, 2.207809, 0.000000
0.280000, 14.000000, 2.252532, 0.000000, 13.000000, 2.270013, 0.000000, 13.000000, 2.198307, 0.000000, 13.000000, 2.205032, 0.000000
0.300000, 14.000000, 2.242564, 0.000000, 13.000000, 2.277923, 0.000000, 13.000000, 2.199287, 0.000000, 13.000000, 2.216404, 0.000000
0.320000, 14.000000, 2.247284, 0.000000, 13.000000, 2.294940, 0.000000, 13.000000, 2.200499, 0.000000, 13.000000, 2.198139, 0.000000
0.340000, 14.000000, 2.246806, 0.000000, 13.000000, 2.279652, 0.000000, 13.000000, 2.194900, 0.000000, 13.000000, 2.193008, 0.000000
0.360000, 14.000000, 2.242253, 0.000000, 13.000000, 2.279020, 0.000000, 13.000000, 2.198031, 0.000000, 13.000000, 2.190353, 0.000000
0.380000, 14.000000, 2.241948, 0.000000, 13.000000, 2.269383, 0.000000, 13.000000, 2.188169, 0.000000, 13.000000, 2.191333, 0.000000
0.400000, 14.000000, 2.260644, 0.000000, 13.000000, 2.270921, 0.000000, 13.000000, 2.201092, 0.000000, 13.000000, 2.211688, 0.000000
0.420000, 14.000000, 2.243814, 0.000000, 13.000000, 2.305199, 0.000000, 13.000000, 2.206431, 0.000000, 13.000000, 2.208160, 0.000000
0.440000, 14.000000, 2.243124, 0.000000, 13.000000, 2.281082, 0.000000, 13.000000, 2.191568, 0.000000, 13.000000, 2.201557, 0.000000
0.460000, 14.000000, 2.259389, 0.000000, 13.000000, 2.285788, 0.000000, 13.000000, 2.201789, 0.000000, 13.000000, 2.219420, 0.000000
0.480000, 14.000000, 2.245582, 0.000000, 13.000000, 2.284920, 0.000000, 13.000000, 2.198444, 0.000000, 13.000000, 2.201248, 0.000000
0.500000, 14.000000, 2.237424, 0.000000, 13.000000, 2.297320, 0.000000, 13.000000, 2.202942, 0.000000, 13.000000, 2.220235, 0.000000
0.520000, 14.000000, 2.244282, 0.000000, 13.000000, 2.278706, 0.000000, 13.000000, 2.205323, 0.000000, 13.000000, 2.194508, 0.000000
0.540000, 14.000000, 2.244692, 0.000000, 13.000000, 2.279410, 0.000000, 13.000000, 2.198814, 0.000000, 13.000000, 2.195391, 0.000000
0.560000, 14.000000, 2.248703, 0.000000, 13.000000, 2.274668, 0.000000, 13.000000, 2.202622, 0.000000, 13.000000, 2.215863, 0.000000
