Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 40.000000, 13.969815, 0.000000, 40.000000, 13.814870, 0.000000, 40.000000, 13.948000, 0.000000, 40.000000, 13.987434, 0.000000
0.040000, 40.000000, 13.903267, 0.000000, 40.000000, 13.874080, 0.000000, 40.000000, 13.957168, 0.000000, 40.000000, 14.040328, 0.000000
0.060000, 40.000000, 14.017289, 0.000000, 40.000000, 13.855439, 0.000000, 40.000000, 13.924830, 0.000000, 40.000000, 13.984783, 0.000000
0.080000, 40.000000, 14.325928, 0.000000, 40.000000, 13.895942, 0.000000, 40.000000, 13.942265, 0.000000, 40.000000, 13.876458, 0.000000
0.100000, 40.000000, 13.946698, 0.000000, 40.000000, 13.909992, 0.000000, 40.000000, 13.951779, 0.000000, 40.000000, 13.999499, 0.000000
0.120000, 40.000000, 13.936234, 0.000000, 40.000000, 13.917394, 0.000000, 40.000000, 13.951604, 0.000000, 40.000000, 13.924207, 0.000000
0.140000, 40.000000, 13.909013, 0.000000, 40.000000, 13.855519, 0.000000, 40.000000, 13.963605, 0.000000, 40.000000, 13.923493, 0.000000
0.160000, 40.000000, 13.920951, 0.000000, 40.000000, 13.798838, 0.000000, 40.000000, 13.928605, 0.000000, 40.000000, 13.918030, 0.000000
0.180000, 40.000000, 13.927028, 0.000000, 40.000000, 13.831579, 0.000000, 40.000000, 13.958093, 0.000000, 40.000000, 13.978554, 0.000000
0.200000, 40.000000, 13.964176, 0.000000, 40.000000, 13.825864, 0.000000, 40.000000, 13.949591, 0.000000, 40.000000, 13.970455, 0.000000
0.220000, 40.000000, 13.961164, 0.000000, 40.000000, 13.846351, 0.000000, 40.000000, 14.000350, 0.000000, 40.000000, 13.969407, 0.000000
0.240000, 40.000000, 13.989838, 0.000000, 40.000000, 13.788992, 0.000000, 40.000000, 13.937575, 0.000000, 40.000000, 14.005909, 0.000000
0.260000, 40.000000, 14.075147, 0.000000, 40.000000, 13.834682, 0.000000, 40.000000, 13.941363, 0.000000, 40.000000, 13.958116, 0.000000
0.280000, 40.000000, 13.900575, 0.000000, 40.000000, 13.821281, 0.000000, 40.000000, 13.991410, 0.000000, 40.000000, 13.956237, 0.000000
0.300000, 40.000000, 13.976552, 0.000000, 40.000000, 13.962516, 0.000000, 40.000000, 14.034829, 0.000000, 40.000000, 13.973407, 0.000000
0.320000, 40.000000, 13.861652, 0.000000, 40.000000, 13.834363, 0.000000, 40.000000, 14.005187, 0.000000, 40.000000, 13.966279, 0.000000
0.340000, 40.000000, 13.946198, 0.000000, 40.000000, 13.871457, 0.000000, 40.000000, 13.927333, 0.000000, 40.000000, 14.001841, 0.000000
0.360000, 40.000000, 13.880882, 0.000000, 40.000000, 13.895860, 0.000000, 40.000000, 13.939938, 0.000000, 40.000000, 14.029792, 0.000000
0.380000, 40.000000, 13.961581, 0.000000, 40.000000, 13.818468, 0.000000, 40.000000, 13.887672, 0.000000, 40.000000, 14.002163, 0.000000
0.400000, 40.000000, 13.931711, 0.000000, 40.000000, 13.815927, 0.000000, 40.000000, 13.951591, 0.000000, 40.000000, 14.078242, 0.000000
0.420000, 40.000000, 13.873296, 0.000000, 40.000000, 13.867886, 0.000000, 40.000000, 13.913184, 0.000000, 40.000000, 14.017940, 0.000000
0.440000, 40.000000, 13.970475, 0.000000, 40.000000, 13.848443, 0.000000, 40.000000, 14.005446, 0.000000, 40.000000, 13.982977, 0.000000
0.460000, 40.000000, 13.985840, 0.000000, 40.000000, 13.875325, 0.000000, 40.000000, 13.978382, 0.000000, 40.000000, 14.077169, 0.000000
0.480000, 40.000000, 13.961703, 0.000000, 40.000000, 13.867456, 0.000000, 40.000000, 13.962654, 0.000000, 40.000000, 14.022480, 0.000000
0.500000, 40.000000, 13.976375, 0.000000, 40.000000, 13.836278, 0.000000, 40.000000, 13.894016, 0.000000, 40.000000, 14.051941, 0.000000
0.520000, 40.000000, 13.990355, 0.000000, 40.000000, 13.851432, 0.000000, 40.000000, 14.027965, 0.000000, 40.000000, 13.973118, 0.000000
0.540000, 40.000000, 13.951052, 0.000000, 40.000000, 13.799517, 0.000000, 40.000000, 13.952788, 0.000000, 40.000000, 13.979049, 0.000000
0.560000, 40.000000, 13.990988, 0.000000, 40.000000, 13.831430, 0.000000, 40.000000, 13.973285, 0.000000, 40.000000, 13.926987, 0.000000
0.580000, 40.000000, 13.973220, 0.000000, 40.000000, 13.829951, 0.000000, 40.000000, 13.949827, 0.000000, 40.000000, 14.044507, 0.000000
0.600000, 40.000000, 13.992067, 0.000000, 40.000000, 13.912478, 0.000000, 40.000000, 13.976494, 0.000000, 40.000000, 13.974080, 0.000000
0.620000, 40.000000, 13.884532, 0.000000, 40.000000, 13.864037, 0.000000, 40.000000, 13.935851, 0.000000, 40.000000, 13.915997, 0.000000
0.640000, 40.000000, 13.931052, 0.000000, 40.000000, 13.810176, 0.000000, 40.000000, 13.981706, 0.000000, 40.000000, 13.946706, 0.000000
0.660000, 40.000000, 13.918153, 0.000000, 40.000000, 13.875402, 0.000000, 40.000000, 14.079402, 0.000000, 40.000000, 14.005098, 0.000000
0.680000, 40.000000, 13.994553, 0.000000, 40.000000, 13.885646, 0.000000, 40.000000, 13.934726, 0.000000, 40.000000, 14.035681, 0.000000
0.700000, 40.000000, 14.018820, 0.000000, 40.000000, 13.892190, 0.000000, 40.000000, 13.971272, 0.000000, 40.000000, 14.025129, 0.000000
0.720000, 40.000000, 14.053706, 0.000000, 40.000000, 13.855378, 0.000000, 40.000000, 13.976397, 0.000000, 40.000000, 13.970577, 0.000000
0.740000, 40.000000, 13.974013, 0.000000, 40.000000, 13.817220, 0.000000, 40.000000, 13.928000, 0.000000, 40.000000, 13.969332, 0.000000
0.760000, 40.000000, 13.882142, 0.000000, 40.000000, 13.862771, 0.000000, 40.000000, 13.924734, 0.000000, 40.000000, 13.982323, 0.000000
0.780000, 40.000000, 13.946896, 0.000000, 40.000000, 13.867856, 0.000000, 40.000000, 13.891289, 0.000000, 40.000000, 13.980048, 0.000000
0.800000, 40.000000, 13.946075, 0.000000, 40.000000, 13.857582, 0.000000, 40.000000, 13.989775, 0.000000, 40.000000, 13.979588, 0.000000
0.820000, 40.000000, 13.940186, 0.000000, 40.000000, 13.865913, 0.000000, 40.000000, 13.973540, 0.000000, 40.000000, 14.005047, 0.000000
0.840000, 40.000000, 13.929185, 0.000000, 40.000000, 13.835975, 0.000000, 40.000000, 14.009005, 0.000000, 40.000000, 14.023608, 0.000000
0.860000, 40.000000, 14.049728, 0.000000, 41.000000, 13.791877, 0.000000, 41.000000, 13.974512, 0.000000, 41.000000, 13.998554, 0.000000
0.880000, 40.000000, 13.929956, 0.000000, 48.000000, 13.795234, 0.000000, 42.000000, 13.994665, 0.000000, 42.000000, 13.980612, 0.000000
0.900000, 40.000000, 13.921574, 0.000000, 62.000000, 13.885540, 0.000000, 49.000000, 13.953045, 0.000000, 49.000000, 14.044260, 0.000000
0.920000, 40.000000, 13.913456, 0.000000, 79.000000, 13.778375, 0.000000, 60.000000, 13.887966, 0.000000, 60.000000, 13.860250, 0.000000
0.940000, 40.000000, 13.917859, 0.000000, 107.000000, 13.584861, 0.000000, 78.000000, 13.889175, 0.000000, 78.000000, 13.807421, 0.000000
0.960000, 42.000000, 13.914581, 0.000000, 179.000000, 13.214650, 0.000000, 120.000000, 13.629122, 0.000000, 120.000000, 13.646759, 0.000000
0.980000, 79.000000, 13.686286, 0.000000, 338.000000, 11.715190, 0.000000, 262.000000, 12.706139, 0.000000, 262.000000, 12.599499, 0.000000
