Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 33.000000, 0.617698, 0.232558, 34.000000, 0.574511, 0.348837, 34.000000, 0.588245, 0.279070, 34.000000, 0.589338, 0.279070
0.040000, 33.000000, 0.614835, 0.232558, 34.000000, 0.573136, 0.372093, 34.000000, 0.601369, 0.279070, 34.000000, 0.604033, 0.279070
0.060000, 33.000000, 0.615311, 0.232558, 34.000000, 0.574711, 0.372093, 34.000000, 0.598788, 0.279070, 34.000000, 0.602315, 0.279070
0.080000, 33.000000, 0.615948, 0.232558, 34.000000, 0.574320, 0.372093, 34.000000, 0.601435, 0.279070, 34.000000, 0.603690, 0.279070
0.100000, 33.000000, 0.613702, 0.232558, 34.000000, 0.573834, 0.348837, 34.000000, 0.608388, 0.279070, 34.000000, 0.602921, 0.279070
0.120000, 33.000000, 0.616253, 0.232558, 34.000000, 0.576082, 0.348837, 34.000000, 0.606895, 0.279070, 34.000000, 0.599823, 0.279070
0.140000, 33.000000, 0.613488, 0.232558, 34.000000, 0.573440, 0.348837, 34.000000, 0.602556, 0.279070, 34.000000, 0.600212, 0.279070
0.160000, 33.000000, 0.612227, 0.232558, 34.000000, 0.576880, 0.372093, 34.000000, 0.605967, 0.279070, 34.000000, 0.600110, 0.279070
0.180000, 33.000000, 0.612788, 0.232558, 34.000000, 0.574410, 0.372093, 34.000000, 0.596161, 0.279070, 34.000000, 0.588962, 0.279070
0.200000, 33.000000, 0.611865, 0.232558, 34.000000, 0.573798, 0.348837, 33.000000, 0.587873, 0.325581, 33.000000, 0.583176, 0.325581
0.220000, 33.000000, 0.612418, 0.232558, 34.000000, 0.604430, 0.372093, 34.000000, 0.593781, 0.279070, 34.000000, 0.586336, 0.279070
0.240000, 33.000000, 0.613066, 0.232558, 34.000000, 0.578229, 0.348837, 34.000000, 0.588502, 0.302326, 34.000000, 0.588600, 0.302326
0.260000, 33.000000, 0.613753, 0.232558, 34.000000, 0.588001, 0.348837, 33.000000, 0.583212, 0.325581, 33.000000, 0.581915, 0.325581
0.280000, 33.000000, 0.609883, 0.232558, 34.000000, 0.592102, 0.348837, 34.000000, 0.589031, 0.279070, 34.000000, 0.585522, 0.279070
0.300000, 33.000000, 0.612778, 0.232558, 34.000000, 0.612075, 0.372093, 34.000000, 0.601064, 0.279070, 34.000000, 0.599047, 0.279070
0.320000, 33.000000, 0.613440, 0.232558, 34.000000, 0.571676, 0.372093, 33.000000, 0.584039, 0.325581, 33.000000, 0.581862, 0.325581
0.340000, 33.000000, 0.610905, 0.232558, 34.000000, 0.569560, 0.348837, 34.000000, 0.592712, 0.302326, 34.000000, 0.586546, 0.302326
0.360000, 33.000000, 0.611457, 0.232558, 34.000000, 0.569186, 0.348837, 33.000000, 0.583955, 0.325581, 33.000000, 0.580593, 0.325581
0.380000, 33.000000, 0.609884, 0.232558, 34.000000, 0.568310, 0.348837, 34.000000, 0.599990, 0.279070, 34.000000, 0.598060, 0.279070
0.400000, 33.000000, 0.605527, 0.232558, 34.000000, 0.568079, 0.348837, 33.000000, 0.582662, 0.325581, 33.000000, 0.582587, 0.325581
