Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 131.000000, 0.622318, 0.185185, 130.000000, 0.583952, 0.166667, 130.000000, 0.646726, 0.166667, 130.000000, 0.623369, 0.166667
0.040000, 131.000000, 0.625790, 0.185185, 130.000000, 0.584347, 0.166667, 130.000000, 0.644680, 0.166667, 130.000000, 0.626905, 0.166667
0.060000, 131.000000, 0.626645, 0.185185, 130.000000, 0.584506, 0.166667, 130.000000, 0.640266, 0.166667, 130.000000, 0.629362, 0.166667
0.080000, 131.000000, 0.633441, 0.185185, 130.000000, 0.581925, 0.166667, 130.000000, 0.646188, 0.166667, 130.000000, 0.625296, 0.166667
0.100000, 131.000000, 0.629820, 0.185185, 130.000000, 0.585027, 0.166667, 130.000000, 0.644335, 0.166667, 130.000000, 0.627100, 0.166667
0.120000, 131.000000, 0.627368, 0.185185, 130.000000, 0.585840, 0.166667, 130.000000, 0.647954, 0.166667, 130.000000, 0.633616, 0.166667
0.140000, 131.000000, 0.624423, 0.185185, 130.000000, 0.581323, 0.166667, 130.000000, 0.646239, 0.166667, 130.000000, 0.624651, 0.166667
0.160000, 131.000000, 0.625940, 0.185185, 130.000000, 0.590221, 0.166667, 130.000000, 0.645682, 0.166667, 130.000000, 0.632336, 0.166667
0.180000, 131.000000, 0.633308, 0.185185, 130.000000, 0.589940, 0.166667, 130.000000, 0.651268, 0.166667, 130.000000, 0.623509, 0.166667
0.200000, 131.000000, 0.642614, 0.185185, 130.000000, 0.592670, 0.166667, 130.000000, 0.648345, 0.166667, 130.000000, 0.626028, 0.166667
0.220000, 131.000000, 0.632992, 0.185185, 130.000000, 0.586559, 0.166667, 130.000000, 0.643753, 0.166667, 130.000000, 0.631132, 0.166667
0.240000, 131.000000, 0.638141, 0.185185, 130.000000, 0.571446, 0.166667, 130.000000, 0.634612, 0.166667, 130.000000, 0.628884, 0.166667
0.260000, 131.000000, 0.608677, 0.166667, 130.000000, 0.573783, 0.166667, 130.000000, 0.616502, 0.166667, 130.000000, 0.617191, 0.166667
0.280000, 131.000000, 0.605532, 0.166667, 130.000000, 0.568475, 0.166667, 130.000000, 0.619619, 0.166667, 130.000000, 0.618602, 0.166667
0.300000, 131.000000, 0.616592, 0.185185, 130.000000, 0.580625, 0.166667, 130.000000, 0.611720, 0.166667, 130.000000, 0.607714, 0.166667
0.320000, 131.000000, 0.606142, 0.185185, 130.000000, 0.582660, 0.166667, 130.000000, 0.621633, 0.166667, 130.000000, 0.615334, 0.166667
0.340000, 131.000000, 0.590809, 0.166667, 130.000000, 0.566096, 0.166667, 130.000000, 0.601364, 0.166667, 130.000000, 0.606729, 0.166667
0.360000, 131.000000, 0.591526, 0.166667, 130.000000, 0.568403, 0.166667, 130.000000, 0.608452, 0.166667, 130.000000, 0.604327, 0.166667
0.380000, 131.000000, 0.586209, 0.166667, 130.000000, 0.564601, 0.166667, 130.000000, 0.603307, 0.166667, 130.000000, 0.606845, 0.166667
0.400000, 131.000000, 0.601387, 0.166667, 130.000000, 0.576276, 0.166667, 130.000000, 0.607739, 0.166667, 130.000000, 0.602075, 0.166667
0.420000, 131.000000, 0.594304, 0.166667, 130.000000, 0.567280, 0.166667, 130.000000, 0.597384, 0.166667, 130.000000, 0.596526, 0.166667
0.440000, 131.000000, 0.605875, 0.185185, 130.000000, 0.566116, 0.166667, 130.000000, 0.607836, 0.166667, 130.000000, 0.614895, 0.166667
0.460000, 131.000000, 0.603230, 0.166667, 130.000000, 0.576689, 0.166667, 130.000000, 0.625151, 0.166667, 130.000000, 0.616541, 0.166667
0.480000, 131.000000, 0.618709, 0.185185, 130.000000, 0.563991, 0.166667, 130.000000, 0.612777, 0.166667, 130.000000, 0.609584, 0.166667
0.500000, 131.000000, 0.601178, 0.166667, 130.000000, 0.572183, 0.166667, 130.000000, 0.598776, 0.166667, 130.000000, 0.608720, 0.166667
0.520000, 131.000000, 0.612470, 0.185185, 130.000000, 0.555417, 0.166667, 130.000000, 0.615827, 0.166667, 130.000000, 0.614952, 0.166667
0.540000, 131.000000, 0.594644, 0.166667, 130.000000, 0.560943, 0.166667, 130.000000, 0.586976, 0.166667, 130.000000, 0.586235, 0.166667
0.560000, 131.000000, 0.598874, 0.166667, 130.000000, 0.557966, 0.166667, 130.000000, 0.618387, 0.166667, 130.000000, 0.615689, 0.166667
0.580000, 131.000000, 0.597142, 0.166667, 130.000000, 0.556678, 0.166667, 130.000000, 0.587958, 0.166667, 130.000000, 0.587371, 0.166667
0.600000, 131.000000, 0.584682, 0.166667, 130.000000, 0.560696, 0.166667, 130.000000, 0.611384, 0.166667, 130.000000, 0.613806, 0.166667
0.620000, 133.000000, 0.568495, 0.185185, 134.000000, 0.538343, 0.166667, 133.000000, 0.579476, 0.166667, 133.000000, 0.578451, 0.166667
0.640000, 133.000000, 0.564016, 0.166667, 134.000000, 0.538587, 0.166667, 133.000000, 0.583725, 0.166667, 133.000000, 0.581300, 0.166667
0.660000, 133.000000, 0.558620, 0.166667, 137.000000, 0.504530, 0.166667, 134.000000, 0.552845, 0.166667, 134.000000, 0.557631, 0.166667
