Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 120.000000, 4.100417, 0.142857, 121.000000, 4.003149, 0.128571, 121.000000, 4.173886, 0.114286, 121.000000, 3.962141, 0.114286
0.040000, 120.000000, 4.034816, 0.142857, 121.000000, 3.964993, 0.128571, 121.000000, 4.092730, 0.114286, 121.000000, 3.955016, 0.114286
0.060000, 120.000000, 3.963775, 0.142857, 120.000000, 3.947253, 0.128571, 121.000000, 4.040866, 0.114286, 121.000000, 3.924304, 0.114286
0.080000, 120.000000, 4.155912, 0.142857, 121.000000, 3.977508, 0.128571, 121.000000, 3.958763, 0.114286, 121.000000, 3.946631, 0.114286
0.100000, 120.000000, 4.052318, 0.142857, 121.000000, 3.922554, 0.128571, 120.000000, 3.932592, 0.114286, 120.000000, 3.918609, 0.114286
0.120000, 120.000000, 4.002205, 0.142857, 121.000000, 3.935386, 0.128571, 121.000000, 3.876452, 0.114286, 121.000000, 3.900408, 0.114286
0.140000, 120.000000, 3.896903, 0.142857, 121.000000, 3.885576, 0.128571, 120.000000, 3.855050, 0.114286, 120.000000, 3.889657, 0.114286
0.160000, 120.000000, 3.885900, 0.142857, 121.000000, 3.894641, 0.128571, 121.000000, 3.842961, 0.114286, 121.000000, 3.893204, 0.114286
0.180000, 120.000000, 3.840294, 0.142857, 120.000000, 3.980875, 0.128571, 121.000000, 3.858045, 0.114286, 121.000000, 3.885833, 0.114286
0.200000, 120.000000, 3.829487, 0.142857, 121.000000, 3.882731, 0.128571, 121.000000, 3.974349, 0.114286, 121.000000, 3.848114, 0.114286
0.220000, 120.000000, 3.856912, 0.142857, 121.000000, 3.682992, 0.128571, 120.000000, 3.848712, 0.114286, 120.000000, 3.813373, 0.114286
0.240000, 120.000000, 3.843609, 0.142857, 120.000000, 3.674973, 0.128571, 121.000000, 3.848634, 0.114286, 121.000000, 3.820934, 0.114286
0.260000, 120.000000, 3.874927, 0.142857, 121.000000, 3.690905, 0.128571, 121.000000, 3.845119, 0.114286, 121.000000, 3.842550, 0.114286
0.280000, 120.000000, 3.901949, 0.142857, 121.000000, 3.623261, 0.128571, 121.000000, 3.812965, 0.114286, 121.000000, 3.762620, 0.114286
0.300000, 120.000000, 3.808770, 0.142857, 121.000000, 3.570504, 0.128571, 120.000000, 3.792711, 0.114286, 120.000000, 3.778190, 0.114286
0.320000, 120.000000, 3.802275, 0.142857, 121.000000, 3.651535, 0.128571, 121.000000, 3.775585, 0.114286, 121.000000, 3.774387, 0.114286
0.340000, 120.000000, 3.794598, 0.142857, 121.000000, 3.572611, 0.128571, 120.000000, 3.786900, 0.114286, 120.000000, 3.763396, 0.114286
0.360000, 120.000000, 3.857101, 0.142857, 121.000000, 3.602872, 0.128571, 121.000000, 3.742683, 0.114286, 121.000000, 3.781686, 0.114286
0.380000, 120.000000, 3.999478, 0.142857, 120.000000, 3.636981, 0.128571, 120.000000, 3.759241, 0.114286, 120.000000, 3.729481, 0.114286
0.400000, 120.000000, 3.799028, 0.142857, 120.000000, 3.550100, 0.128571, 121.000000, 3.848221, 0.114286, 121.000000, 3.721361, 0.114286
0.420000, 120.000000, 3.782801, 0.142857, 121.000000, 3.534258, 0.128571, 120.000000, 3.795286, 0.114286, 120.000000, 3.709735, 0.114286
0.440000, 120.000000, 3.842405, 0.142857, 121.000000, 3.562569, 0.128571, 121.000000, 3.739522, 0.114286, 121.000000, 3.679439, 0.114286
0.460000, 120.000000, 3.808075, 0.142857, 121.000000, 3.587145, 0.128571, 121.000000, 3.739130, 0.114286, 121.000000, 3.779645, 0.114286
0.480000, 120.000000, 3.735712, 0.142857, 121.000000, 3.450920, 0.128571, 121.000000, 3.767101, 0.114286, 121.000000, 3.721788, 0.114286
0.500000, 120.000000, 3.701956, 0.142857, 121.000000, 3.523523, 0.128571, 121.000000, 3.824722, 0.114286, 121.000000, 3.709714, 0.114286
0.520000, 120.000000, 3.669668, 0.142857, 121.000000, 3.446781, 0.128571, 121.000000, 3.697308, 0.114286, 121.000000, 3.676581, 0.114286
0.540000, 120.000000, 3.715643, 0.142857, 121.000000, 3.430980, 0.128571, 120.000000, 3.706952, 0.114286, 120.000000, 3.696010, 0.114286
0.560000, 120.000000, 3.819839, 0.142857, 120.000000, 3.403920, 0.128571, 120.000000, 3.724281, 0.114286, 120.000000, 3.689396, 0.114286
0.580000, 120.000000, 3.852872, 0.142857, 121.000000, 3.404464, 0.128571, 121.000000, 3.714011, 0.114286, 121.000000, 3.659728, 0.114286
0.600000, 120.000000, 3.862493, 0.142857, 121.000000, 3.412146, 0.128571, 121.000000, 3.695658, 0.114286, 121.000000, 3.667814, 0.114286
0.620000, 122.000000, 3.618739, 0.142857, 125.000000, 3.363697, 0.128571, 125.000000, 3.628825, 0.128571, 125.000000, 3.610793, 0.128571
0.640000, 123.000000, 3.602731, 0.142857, 131.000000, 3.335076, 0.142857, 126.000000, 3.583422, 0.128571, 126.000000, 3.575553, 0.128571
0.660000, 125.000000, 3.654653, 0.142857, 134.000000, 3.417014, 0.142857, 127.000000, 3.543164, 0.128571, 127.000000, 3.560468, 0.128571
0.680000, 125.000000, 3.554544, 0.142857, 139.000000, 3.339209, 0.142857, 130.000000, 3.501173, 0.128571, 130.000000, 3.532379, 0.128571
0.700000, 126.000000, 3.610662, 0.142857, 144.000000, 3.263892, 0.142857, 131.000000, 3.484904, 0.128571, 131.000000, 3.505984, 0.128571
0.720000, 128.000000, 3.519046, 0.142857, 147.000000, 3.232484, 0.114286, 132.000000, 3.632315, 0.128571, 132.000000, 3.491132, 0.128571
0.740000, 130.000000, 3.557673, 0.157143, 153.000000, 3.172104, 0.114286, 138.000000, 3.389967, 0.114286, 138.000000, 3.388232, 0.114286
0.760000, 135.000000, 3.470665, 0.157143, 160.000000, 3.066623, 0.114286, 141.000000, 3.356438, 0.114286, 141.000000, 3.333536, 0.114286
0.780000, 135.000000, 3.356495, 0.157143, 165.000000, 3.012967, 0.114286, 149.000000, 3.220171, 0.114286, 149.000000, 3.204589, 0.114286
0.800000, 140.000000, 3.290058, 0.157143, 173.000000, 2.856620, 0.114286, 156.000000, 3.141272, 0.114286, 156.000000, 3.109098, 0.114286
0.820000, 143.000000, 3.317486, 0.157143, 187.000000, 2.602170, 0.114286, 167.000000, 3.003941, 0.114286, 167.000000, 2.941484, 0.114286
0.840000, 152.000000, 3.312251, 0.100000, 197.000000, 2.402650, 0.100000, 175.000000, 2.900338, 0.100000, 175.000000, 2.834553, 0.100000
0.860000, 153.000000, 3.289244, 0.100000, 206.000000, 2.215749, 0.114286, 183.000000, 2.680398, 0.100000, 183.000000, 2.671996, 0.100000
0.880000, 155.000000, 3.255169, 0.100000, 218.000000, 1.948580, 0.114286, 200.000000, 2.361171, 0.100000, 200.000000, 2.347603, 0.100000
0.900000, 171.000000, 2.911615, 0.100000, 234.000000, 1.593625, 0.128571, 224.000000, 1.801194, 0.128571, 224.000000, 1.814013, 0.128571
0.920000, 190.000000, 2.613253, 0.100000, 247.000000, 1.253611, 0.128571, 241.000000, 1.365630, 0.128571, 241.000000, 1.358656, 0.128571
0.940000, 234.000000, 1.611565, 0.128571, 262.000000, 0.728850, 0.128571, 261.000000, 0.758003, 0.128571, 261.000000, 0.748178, 0.128571
0.960000, 268.000000, 0.531337, 0.128571, 274.000000, 0.303802, 0.128571, 274.000000, 0.296094, 0.128571, 274.000000, 0.295770, 0.128571
0.980000, 280.000000, 0.075545, 0.128571, 280.000000, 0.077010, 0.128571, 280.000000, 0.075396, 0.128571, 280.000000, 0.076134, 0.128571
