Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 10.000000, 0.175722, 0.100000, 10.000000, 0.110738, 0.100000, 10.000000, 0.122681, 0.066667, 10.000000, 0.121898, 0.066667
0.040000, 10.000000, 0.170238, 0.100000, 10.000000, 0.110913, 0.100000, 10.000000, 0.122283, 0.066667, 10.000000, 0.122764, 0.066667
0.060000, 10.000000, 0.171489, 0.100000, 10.000000, 0.111656, 0.100000, 10.000000, 0.123863, 0.066667, 10.000000, 0.125423, 0.066667
0.080000, 10.000000, 0.170264, 0.100000, 10.000000, 0.110591, 0.100000, 10.000000, 0.121424, 0.066667, 10.000000, 0.121914, 0.066667
0.100000, 10.000000, 0.169997, 0.100000, 10.000000, 0.111057, 0.100000, 10.000000, 0.122218, 0.066667, 10.000000, 0.122800, 0.066667
0.120000, 10.000000, 0.170823, 0.100000, 10.000000, 0.113759, 0.100000, 10.000000, 0.121935, 0.066667, 10.000000, 0.122271, 0.066667
0.140000, 10.000000, 0.172544, 0.100000, 10.000000, 0.124907, 0.100000, 10.000000, 0.128089, 0.100000, 10.000000, 0.127064, 0.100000
0.160000, 10.000000, 0.170689, 0.100000, 10.000000, 0.112341, 0.100000, 10.000000, 0.128108, 0.100000, 10.000000, 0.128723, 0.100000
0.180000, 10.000000, 0.178024, 0.100000, 10.000000, 0.113008, 0.100000, 11.000000, 0.127855, 0.100000, 11.000000, 0.126749, 0.100000
0.200000, 10.000000, 0.176201, 0.100000, 10.000000, 0.112608, 0.100000, 11.000000, 0.128253, 0.100000, 11.000000, 0.129896, 0.100000
0.220000, 10.000000, 0.175462, 0.100000, 10.000000, 0.107786, 0.100000, 11.000000, 0.130161, 0.100000, 11.000000, 0.128752, 0.100000
0.240000, 10.000000, 0.175892, 0.100000, 11.000000, 0.109416, 0.066667, 10.000000, 0.126397, 0.066667, 10.000000, 0.124528, 0.066667
0.260000, 10.000000, 0.179234, 0.100000, 10.000000, 0.113611, 0.100000, 11.000000, 0.132753, 0.066667, 11.000000, 0.132123, 0.066667
0.280000, 10.000000, 0.180567, 0.100000, 10.000000, 0.115206, 0.100000, 11.000000, 0.131928, 0.066667, 11.000000, 0.137057, 0.066667
0.300000, 10.000000, 0.183938, 0.100000, 10.000000, 0.112245, 0.066667, 11.000000, 0.135025, 0.066667, 11.000000, 0.131673, 0.066667
0.320000, 10.000000, 0.169851, 0.100000, 10.000000, 0.108651, 0.066667, 11.000000, 0.120408, 0.066667, 11.000000, 0.122603, 0.066667
0.340000, 10.000000, 0.169971, 0.100000, 10.000000, 0.107387, 0.066667, 10.000000, 0.124049, 0.100000, 10.000000, 0.124761, 0.100000
0.360000, 10.000000, 0.176169, 0.100000, 10.000000, 0.106767, 0.066667, 10.000000, 0.128102, 0.100000, 10.000000, 0.126951, 0.100000
0.380000, 10.000000, 0.177121, 0.100000, 10.000000, 0.111301, 0.100000, 10.000000, 0.124232, 0.066667, 10.000000, 0.131132, 0.066667
0.400000, 10.000000, 0.175492, 0.100000, 10.000000, 0.106784, 0.100000, 10.000000, 0.132557, 0.066667, 10.000000, 0.133392, 0.066667
0.420000, 10.000000, 0.174638, 0.100000, 11.000000, 0.110916, 0.066667, 10.000000, 0.129497, 0.066667, 10.000000, 0.128942, 0.066667
0.440000, 10.000000, 0.174832, 0.100000, 11.000000, 0.109693, 0.066667, 10.000000, 0.128862, 0.066667, 10.000000, 0.129591, 0.066667
0.460000, 10.000000, 0.166882, 0.100000, 11.000000, 0.111195, 0.100000, 11.000000, 0.118273, 0.066667, 11.000000, 0.118057, 0.066667
0.480000, 10.000000, 0.169618, 0.100000, 10.000000, 0.110883, 0.066667, 11.000000, 0.125754, 0.100000, 11.000000, 0.126142, 0.100000
0.500000, 10.000000, 0.170689, 0.100000, 10.000000, 0.110247, 0.066667, 11.000000, 0.126006, 0.100000, 11.000000, 0.129147, 0.100000
0.520000, 10.000000, 0.164581, 0.100000, 10.000000, 0.112454, 0.100000, 10.000000, 0.125986, 0.100000, 10.000000, 0.122662, 0.100000
0.540000, 10.000000, 0.172299, 0.100000, 10.000000, 0.112544, 0.100000, 11.000000, 0.126068, 0.100000, 11.000000, 0.125976, 0.100000
0.560000, 10.000000, 0.172339, 0.100000, 11.000000, 0.108189, 0.100000, 11.000000, 0.129272, 0.100000, 11.000000, 0.129908, 0.100000
0.580000, 10.000000, 0.172562, 0.100000, 11.000000, 0.108592, 0.100000, 11.000000, 0.130139, 0.100000, 11.000000, 0.128691, 0.100000
0.600000, 10.000000, 0.177981, 0.100000, 10.000000, 0.110774, 0.066667, 10.000000, 0.123942, 0.100000, 10.000000, 0.124344, 0.100000
0.620000, 10.000000, 0.174538, 0.100000, 10.000000, 0.107246, 0.066667, 11.000000, 0.121554, 0.066667, 11.000000, 0.123158, 0.066667
0.640000, 10.000000, 0.170828, 0.100000, 11.000000, 0.111235, 0.100000, 10.000000, 0.132151, 0.100000, 10.000000, 0.131713, 0.100000
