Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 101.000000, 174.585147, 0.045455, 104.000000, 112.486417, 0.041126, 106.000000, 130.657811, 0.034632, 106.000000, 125.619845, 0.034632
0.040000, 101.000000, 174.422469, 0.045455, 105.000000, 113.835798, 0.038961, 106.000000, 160.021871, 0.036797, 108.000000, 126.117504, 0.025974
0.060000, 102.000000, 175.340361, 0.045455, 104.000000, 111.770084, 0.041126, 108.000000, 132.917552, 0.025974, 106.000000, 125.123653, 0.030303
0.080000, 101.000000, 173.884194, 0.045455, 105.000000, 111.683197, 0.041126, 108.000000, 128.761669, 0.025974, 108.000000, 125.430275, 0.028139
0.100000, 100.000000, 173.664539, 0.045455, 106.000000, 112.619872, 0.038961, 106.000000, 128.198688, 0.030303, 108.000000, 125.233946, 0.028139
0.120000, 101.000000, 173.697200, 0.045455, 106.000000, 112.691110, 0.038961, 105.000000, 125.952682, 0.034632, 107.000000, 127.595124, 0.030303
0.140000, 101.000000, 173.857246, 0.045455, 106.000000, 111.984278, 0.041126, 105.000000, 126.084623, 0.034632, 107.000000, 125.128460, 0.028139
0.160000, 101.000000, 166.383378, 0.045455, 105.000000, 111.231655, 0.038961, 106.000000, 9457.588565, 0.030303, 108.000000, 125.022209, 0.028139
0.180000, 102.000000, 163.961108, 0.045455, 104.000000, 110.871242, 0.036797, 107.000000, 124.806986, 0.025974, 107.000000, 124.755549, 0.025974
0.200000, 100.000000, 163.579836, 0.045455, 106.000000, 111.875887, 0.038961, 108.000000, 126.189239, 0.036797, 108.000000, 125.090059, 0.036797
0.220000, 102.000000, 164.050050, 0.045455, 105.000000, 111.127060, 0.041126, 106.000000, 125.680534, 0.028139, 106.000000, 125.041180, 0.028139
0.240000, 102.000000, 187.840710, 0.045455, 105.000000, 111.569006, 0.041126, 106.000000, 125.129645, 0.030303, 106.000000, 124.708769, 0.030303
0.260000, 102.000000, 195.387450, 0.045455, 104.000000, 110.895473, 0.041126, 108.000000, 124.864601, 0.030303, 108.000000, 124.509255, 0.030303
0.280000, 102.000000, 174.490988, 0.045455, 105.000000, 110.635412, 0.043290, 108.000000, 124.437029, 0.030303, 108.000000, 124.867848, 0.030303
