Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 5.000000, 0.802001, 0.000000, 5.000000, 0.708900, 0.000000, 5.000000, 0.850917, 0.000000, 5.000000, 0.748632, 0.000000
0.040000, 5.000000, 0.882019, 0.000000, 5.000000, 0.715988, 0.000000, 5.000000, 0.858980, 0.000000, 5.000000, 0.771325, 0.000000
0.060000, 5.000000, 0.751936, 0.000000, 5.000000, 0.723789, 0.000000, 5.000000, 0.802582, 0.000000, 5.000000, 0.795374, 0.000000
0.080000, 5.000000, 0.767186, 0.000000, 5.000000, 0.716226, 0.000000, 5.000000, 0.838746, 0.000000, 5.000000, 0.769773, 0.000000
0.100000, 5.000000, 0.860540, 0.000000, 5.000000, 0.712416, 0.000000, 5.000000, 0.830420, 0.000000, 5.000000, 0.772280, 0.000000
0.120000, 5.000000, 0.904838, 0.000000, 5.000000, 0.731840, 0.000000, 5.000000, 0.794225, 0.000000, 5.000000, 0.742719, 0.000000
0.140000, 5.000000, 0.903125, 0.000000, 5.000000, 0.709351, 0.000000, 5.000000, 0.759335, 0.000000, 5.000000, 0.748414, 0.000000
0.160000, 5.000000, 0.797162, 0.000000, 5.000000, 0.874829, 0.000000, 5.000000, 0.792308, 0.000000, 5.000000, 0.738571, 0.000000
0.180000, 5.000000, 0.756010, 0.000000, 5.000000, 0.756095, 0.000000, 5.000000, 0.798425, 0.000000, 5.000000, 0.745379, 0.000000
0.200000, 5.000000, 0.768383, 0.000000, 5.000000, 0.795775, 0.000000, 5.000000, 0.824148, 0.000000, 5.000000, 0.789496, 0.000000
0.220000, 5.000000, 0.798600, 0.000000, 5.000000, 0.772830, 0.000000, 5.000000, 0.847193, 0.000000, 5.000000, 0.907854, 0.000000
0.240000, 5.000000, 0.830021, 0.000000, 5.000000, 0.786254, 0.000000, 5.000000, 0.794009, 0.000000, 5.000000, 0.829926, 0.000000
0.260000, 5.000000, 0.763697, 0.000000, 5.000000, 0.768552, 0.000000, 5.000000, 0.766971, 0.000000, 5.000000, 0.794350, 0.000000
0.280000, 5.000000, 0.761681, 0.000000, 5.000000, 0.768576, 0.000000, 5.000000, 0.777990, 0.000000, 5.000000, 0.733800, 0.000000
0.300000, 5.000000, 0.756383, 0.000000, 5.000000, 0.944830, 0.000000, 5.000000, 0.753254, 0.000000, 5.000000, 0.704644, 0.000000
0.320000, 5.000000, 0.869610, 0.000000, 5.000000, 0.738775, 0.000000, 5.000000, 0.858594, 0.000000, 5.000000, 0.707363, 0.000000
0.340000, 5.000000, 0.819921, 0.000000, 5.000000, 0.739512, 0.000000, 5.000000, 0.890944, 0.000000, 5.000000, 0.709464, 0.000000
0.360000, 5.000000, 0.794283, 0.000000, 5.000000, 0.788125, 0.000000, 5.000000, 0.807336, 0.000000, 5.000000, 0.699971, 0.000000
0.380000, 5.000000, 0.919731, 0.000000, 5.000000, 0.735431, 0.000000, 5.000000, 0.882698, 0.000000, 5.000000, 0.749569, 0.000000
0.400000, 5.000000, 0.799206, 0.000000, 5.000000, 0.741858, 0.000000, 5.000000, 0.847147, 0.000000, 5.000000, 0.739724, 0.000000
0.420000, 5.000000, 0.789216, 0.000000, 5.000000, 0.746182, 0.000000, 5.000000, 0.905927, 0.000000, 5.000000, 0.732241, 0.000000
0.440000, 5.000000, 1.129608, 0.000000, 5.000000, 0.712668, 0.000000, 5.000000, 0.820815, 0.000000, 5.000000, 0.704967, 0.000000
0.460000, 5.000000, 1.000029, 0.000000, 5.000000, 0.719262, 0.000000, 5.000000, 0.881728, 0.000000, 5.000000, 0.714510, 0.000000
0.480000, 5.000000, 0.897945, 0.000000, 5.000000, 0.710802, 0.000000, 5.000000, 0.788049, 0.000000, 5.000000, 0.700876, 0.000000
0.500000, 5.000000, 0.812716, 0.000000, 5.000000, 0.728415, 0.000000, 5.000000, 0.800139, 0.000000, 5.000000, 0.714340, 0.000000
0.520000, 5.000000, 0.909149, 0.000000, 5.000000, 0.822024, 0.000000, 5.000000, 0.902255, 0.000000, 5.000000, 0.731922, 0.000000
0.540000, 5.000000, 0.976988, 0.000000, 5.000000, 0.799316, 0.000000, 5.000000, 0.860064, 0.000000, 5.000000, 0.897195, 0.000000
0.560000, 5.000000, 0.939861, 0.000000, 5.000000, 0.816340, 0.000000, 5.000000, 0.788944, 0.000000, 5.000000, 0.995281, 0.000000
0.580000, 5.000000, 0.834388, 0.000000, 5.000000, 0.861199, 0.000000, 5.000000, 0.869962, 0.000000, 5.000000, 0.877343, 0.000000
0.600000, 5.000000, 0.822152, 0.000000, 5.000000, 0.781303, 0.000000, 5.000000, 0.777123, 0.000000, 5.000000, 0.826938, 0.000000
0.620000, 5.000000, 0.916019, 0.000000, 5.000000, 0.906216, 0.000000, 5.000000, 0.890903, 0.000000, 5.000000, 0.829258, 0.000000
0.640000, 5.000000, 0.874233, 0.000000, 5.000000, 0.736611, 0.000000, 5.000000, 0.904921, 0.000000, 5.000000, 0.701090, 0.000000
0.660000, 5.000000, 0.882700, 0.000000, 5.000000, 0.761968, 0.000000, 5.000000, 0.756418, 0.000000, 5.000000, 0.702138, 0.000000
0.680000, 5.000000, 0.771935, 0.000000, 8.000000, 0.747251, 0.000000, 5.000000, 0.757161, 0.000000, 5.000000, 0.717011, 0.000000
0.700000, 5.000000, 0.783308, 0.000000, 11.000000, 0.804425, 0.000000, 5.000000, 0.788363, 0.000000, 5.000000, 0.740172, 0.000000
0.720000, 5.000000, 0.761762, 0.000000, 13.000000, 0.749633, 0.000000, 5.000000, 0.848579, 0.000000, 6.000000, 0.727379, 0.000000
0.740000, 5.000000, 0.751564, 0.000000, 16.000000, 0.747925, 0.000000, 5.000000, 0.809891, 0.000000, 7.000000, 0.715463, 0.000000
0.760000, 5.000000, 0.770332, 0.000000, 17.000000, 0.758988, 0.000000, 5.000000, 0.804443, 0.000000, 8.000000, 0.700726, 0.000000
0.780000, 5.000000, 0.810146, 0.000000, 20.000000, 0.782915, 0.000000, 5.000000, 0.842988, 0.000000, 10.000000, 0.698856, 0.000000
0.800000, 5.000000, 0.866690, 0.000000, 22.000000, 0.746149, 0.000000, 5.000000, 0.825312, 0.000000, 11.000000, 0.704108, 0.000000
0.820000, 5.000000, 0.931436, 0.000000, 24.000000, 0.801281, 0.000000, 5.000000, 1.038862, 0.000000, 12.000000, 0.719773, 0.000000
0.840000, 5.000000, 0.858657, 0.000000, 27.000000, 0.741060, 0.000000, 5.000000, 0.872999, 0.000000, 19.000000, 0.701710, 0.000000
0.860000, 5.000000, 0.773049, 0.000000, 31.000000, 0.728163, 0.000000, 6.000000, 0.748029, 0.000000, 20.000000, 0.696426, 0.000000
0.880000, 5.000000, 0.778178, 0.000000, 39.000000, 0.662316, 0.000000, 8.000000, 0.823650, 0.000000, 23.000000, 0.709035, 0.000000
0.900000, 5.000000, 0.791025, 0.000000, 47.000000, 0.754442, 0.020000, 12.000000, 0.816580, 0.000000, 30.000000, 0.760143, 0.000000
0.920000, 5.000000, 0.780948, 0.000000, 59.000000, 0.719641, 0.020000, 13.000000, 0.816521, 0.000000, 48.000000, 0.653163, 0.020000
