Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 24.000000, 30.730989, 0.015000, 26.000000, 30.159556, 0.005000, 24.000000, 24.912748, 0.015000, 25.000000, 28.000710, 0.005000
0.040000, 24.000000, 27.977013, 0.015000, 26.000000, 28.852733, 0.005000, 24.000000, 24.701911, 0.015000, 25.000000, 28.065010, 0.005000
0.060000, 24.000000, 27.055736, 0.015000, 26.000000, 28.745663, 0.005000, 24.000000, 24.263817, 0.015000, 25.000000, 28.259143, 0.005000
0.080000, 24.000000, 25.723057, 0.015000, 26.000000, 30.961913, 0.005000, 24.000000, 24.247603, 0.015000, 25.000000, 27.903667, 0.005000
0.100000, 24.000000, 28.826064, 0.015000, 26.000000, 30.695383, 0.005000, 24.000000, 24.248981, 0.015000, 25.000000, 27.643006, 0.005000
0.120000, 24.000000, 27.849779, 0.015000, 26.000000, 31.056454, 0.005000, 24.000000, 25.759539, 0.015000, 25.000000, 31.363946, 0.005000
0.140000, 24.000000, 27.480585, 0.015000, 26.000000, 31.630615, 0.005000, 24.000000, 25.059070, 0.015000, 25.000000, 29.238145, 0.005000
0.160000, 24.000000, 26.398276, 0.015000, 26.000000, 31.465403, 0.005000, 24.000000, 24.235880, 0.015000, 25.000000, 28.555179, 0.005000
0.180000, 24.000000, 27.163585, 0.015000, 26.000000, 30.856912, 0.005000, 24.000000, 24.208823, 0.015000, 25.000000, 28.061519, 0.005000
0.200000, 24.000000, 28.804179, 0.015000, 26.000000, 32.165484, 0.005000, 24.000000, 24.417064, 0.015000, 25.000000, 27.784571, 0.005000
0.220000, 24.000000, 27.426889, 0.015000, 26.000000, 28.567088, 0.005000, 24.000000, 24.262329, 0.015000, 25.000000, 28.120783, 0.005000
0.240000, 24.000000, 25.078221, 0.015000, 26.000000, 31.051243, 0.005000, 24.000000, 31.713431, 0.015000, 25.000000, 27.618769, 0.005000
0.260000, 24.000000, 26.987195, 0.015000, 26.000000, 33.862572, 0.005000, 24.000000, 33.843081, 0.015000, 25.000000, 29.874058, 0.005000
0.280000, 24.000000, 26.187170, 0.015000, 26.000000, 29.374750, 0.005000, 24.000000, 25.594840, 0.015000, 25.000000, 27.711337, 0.005000
0.300000, 24.000000, 25.833339, 0.015000, 26.000000, 32.097111, 0.005000, 24.000000, 25.462502, 0.015000, 25.000000, 26.678120, 0.005000
0.320000, 24.000000, 26.497986, 0.015000, 26.000000, 28.419578, 0.005000, 24.000000, 25.065862, 0.015000, 25.000000, 26.486899, 0.005000
0.340000, 24.000000, 25.247636, 0.015000, 26.000000, 29.237834, 0.005000, 24.000000, 24.983097, 0.015000, 25.000000, 26.782558, 0.005000
0.360000, 24.000000, 24.170720, 0.015000, 26.000000, 28.081821, 0.005000, 24.000000, 24.996682, 0.015000, 25.000000, 26.170346, 0.005000
0.380000, 24.000000, 23.890003, 0.015000, 26.000000, 32.670725, 0.005000, 24.000000, 24.815675, 0.015000, 25.000000, 26.064723, 0.005000
0.400000, 24.000000, 23.433115, 0.015000, 26.000000, 31.007908, 0.005000, 24.000000, 24.170042, 0.015000, 25.000000, 27.613173, 0.005000
0.420000, 24.000000, 23.335852, 0.015000, 26.000000, 30.238756, 0.005000, 24.000000, 23.520438, 0.015000, 25.000000, 35.838742, 0.005000
0.440000, 24.000000, 23.474812, 0.015000, 26.000000, 26.744884, 0.005000, 24.000000, 23.255208, 0.015000, 25.000000, 31.538276, 0.005000
0.460000, 24.000000, 22.885127, 0.015000, 26.000000, 25.991931, 0.005000, 24.000000, 23.975631, 0.015000, 25.000000, 26.475633, 0.005000
0.480000, 24.000000, 22.595175, 0.015000, 26.000000, 25.468064, 0.005000, 24.000000, 23.635795, 0.015000, 25.000000, 26.519986, 0.005000
0.500000, 24.000000, 22.278932, 0.015000, 26.000000, 25.615132, 0.005000, 24.000000, 23.355735, 0.015000, 25.000000, 26.356269, 0.005000
0.520000, 24.000000, 22.102630, 0.015000, 26.000000, 25.736360, 0.005000, 24.000000, 23.019524, 0.015000, 25.000000, 25.907974, 0.005000
0.540000, 24.000000, 21.967639, 0.015000, 26.000000, 25.747516, 0.005000, 24.000000, 22.544117, 0.015000, 25.000000, 25.355648, 0.005000
0.560000, 24.000000, 22.071038, 0.015000, 26.000000, 25.236307, 0.005000, 24.000000, 23.254236, 0.015000, 25.000000, 25.779417, 0.005000
0.580000, 24.000000, 23.380176, 0.015000, 26.000000, 24.937749, 0.005000, 24.000000, 23.217378, 0.015000, 25.000000, 25.463604, 0.005000
0.600000, 24.000000, 21.742752, 0.015000, 26.000000, 24.515125, 0.005000, 24.000000, 22.150890, 0.015000, 25.000000, 25.490968, 0.005000
0.620000, 24.000000, 21.366064, 0.015000, 26.000000, 24.290993, 0.005000, 24.000000, 22.018523, 0.015000, 25.000000, 25.021553, 0.005000
0.640000, 24.000000, 21.211010, 0.015000, 26.000000, 24.013378, 0.005000, 24.000000, 21.803501, 0.015000, 25.000000, 24.415929, 0.005000
0.660000, 24.000000, 21.046540, 0.015000, 27.000000, 24.140978, 0.005000, 24.000000, 21.405068, 0.015000, 25.000000, 24.374855, 0.005000
0.680000, 24.000000, 22.214747, 0.015000, 28.000000, 23.969661, 0.005000, 24.000000, 21.547711, 0.015000, 25.000000, 24.225543, 0.005000
0.700000, 24.000000, 22.490521, 0.015000, 31.000000, 24.798757, 0.005000, 24.000000, 21.290534, 0.015000, 25.000000, 23.707775, 0.005000
0.720000, 24.000000, 22.465188, 0.015000, 32.000000, 26.676531, 0.005000, 24.000000, 22.707522, 0.015000, 25.000000, 24.043890, 0.005000
0.740000, 24.000000, 20.923098, 0.015000, 34.000000, 25.089222, 0.000000, 24.000000, 24.179076, 0.015000, 26.000000, 23.555454, 0.000000
0.760000, 24.000000, 23.347893, 0.015000, 34.000000, 23.351205, 0.000000, 24.000000, 22.446997, 0.015000, 26.000000, 23.316862, 0.000000
0.780000, 24.000000, 24.574190, 0.015000, 35.000000, 23.096957, 0.000000, 24.000000, 21.181001, 0.015000, 27.000000, 23.100832, 0.000000
0.800000, 24.000000, 22.533291, 0.015000, 38.000000, 22.877801, 0.000000, 24.000000, 20.555661, 0.015000, 27.000000, 22.936012, 0.000000
0.820000, 24.000000, 23.902326, 0.015000, 45.000000, 22.658936, 0.000000, 24.000000, 20.167210, 0.015000, 30.000000, 23.251709, 0.000000
0.840000, 24.000000, 21.964161, 0.015000, 49.000000, 22.651168, 0.000000, 25.000000, 20.188792, 0.015000, 33.000000, 22.994162, 0.000000
0.860000, 24.000000, 21.652520, 0.015000, 51.000000, 22.446037, 0.000000, 26.000000, 19.958105, 0.015000, 36.000000, 23.744722, 0.000000
0.880000, 24.000000, 20.315338, 0.015000, 62.000000, 22.312198, 0.000000, 26.000000, 19.925689, 0.015000, 41.000000, 22.616904, 0.000000
0.900000, 24.000000, 22.037752, 0.015000, 74.000000, 22.243189, 0.000000, 32.000000, 20.236874, 0.010000, 46.000000, 22.659122, 0.000000
0.920000, 24.000000, 21.465932, 0.015000, 90.000000, 22.684126, 0.000000, 39.000000, 19.991431, 0.010000, 59.000000, 22.581824, 0.000000
0.940000, 24.000000, 23.932720, 0.015000, 107.000000, 26.709775, 0.000000, 49.000000, 19.915133, 0.000000, 81.000000, 22.693764, 0.000000
0.960000, 24.000000, 22.152476, 0.015000, 162.000000, 28.383952, 0.000000, 72.000000, 20.397176, 0.000000, 117.000000, 22.106531, 0.000000
0.980000, 35.000000, 22.139275, 0.015000, 273.000000, 20.533962, 0.000000, 110.000000, 19.763952, 0.000000, 211.000000, 21.921910, 0.000000
