Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 35.000000, 1.586609, 0.123000, 36.000000, 1.614086, 0.137000, 36.000000, 1.577830, 0.135000, 36.000000, 1.582929, 0.135000
0.040000, 35.000000, 1.577688, 0.123000, 36.000000, 1.613318, 0.137000, 36.000000, 1.588425, 0.135000, 36.000000, 1.589180, 0.135000
0.060000, 35.000000, 1.576390, 0.123000, 36.000000, 1.636911, 0.137000, 36.000000, 1.623655, 0.135000, 36.000000, 1.583105, 0.135000
0.080000, 35.000000, 1.573454, 0.123000, 36.000000, 1.602744, 0.137000, 36.000000, 1.581991, 0.135000, 36.000000, 1.586196, 0.135000
0.100000, 35.000000, 1.580947, 0.123000, 36.000000, 1.622515, 0.137000, 36.000000, 1.627810, 0.135000, 36.000000, 1.583821, 0.135000
0.120000, 35.000000, 1.573522, 0.123000, 36.000000, 1.607187, 0.137000, 36.000000, 1.586616, 0.135000, 36.000000, 1.585408, 0.135000
0.140000, 35.000000, 1.589699, 0.123000, 36.000000, 1.614336, 0.137000, 36.000000, 1.581995, 0.135000, 36.000000, 1.588992, 0.135000
0.160000, 35.000000, 1.630281, 0.123000, 36.000000, 1.608531, 0.137000, 36.000000, 1.579001, 0.135000, 36.000000, 1.607453, 0.135000
0.180000, 35.000000, 1.586716, 0.123000, 36.000000, 1.597573, 0.137000, 36.000000, 1.580042, 0.135000, 36.000000, 1.596577, 0.135000
0.200000, 35.000000, 1.592983, 0.123000, 36.000000, 1.596073, 0.137000, 36.000000, 1.614078, 0.135000, 36.000000, 1.584003, 0.135000
0.220000, 35.000000, 1.591590, 0.123000, 36.000000, 1.621753, 0.137000, 36.000000, 1.589871, 0.135000, 36.000000, 1.594493, 0.135000
0.240000, 35.000000, 1.621192, 0.123000, 36.000000, 1.610837, 0.137000, 36.000000, 1.598906, 0.135000, 36.000000, 1.580724, 0.135000
0.260000, 35.000000, 1.578008, 0.123000, 36.000000, 1.614030, 0.137000, 36.000000, 1.586573, 0.135000, 36.000000, 1.577883, 0.135000
0.280000, 35.000000, 1.574948, 0.123000, 36.000000, 1.600712, 0.137000, 36.000000, 1.613356, 0.135000, 36.000000, 1.595342, 0.135000
0.300000, 35.000000, 1.620628, 0.123000, 36.000000, 1.606475, 0.137000, 36.000000, 1.592969, 0.135000, 36.000000, 1.588133, 0.135000
0.320000, 35.000000, 1.590849, 0.123000, 36.000000, 1.605392, 0.137000, 36.000000, 1.607816, 0.135000, 36.000000, 1.601139, 0.135000
0.340000, 35.000000, 1.583576, 0.123000, 36.000000, 1.612184, 0.137000, 36.000000, 1.627720, 0.135000, 36.000000, 1.583952, 0.135000
0.360000, 35.000000, 1.572982, 0.123000, 36.000000, 1.617285, 0.137000, 36.000000, 1.578186, 0.135000, 36.000000, 1.585636, 0.135000
0.380000, 35.000000, 1.577536, 0.123000, 36.000000, 1.603288, 0.137000, 36.000000, 1.569279, 0.135000, 36.000000, 1.589038, 0.135000
0.400000, 35.000000, 1.580594, 0.123000, 36.000000, 1.597660, 0.137000, 36.000000, 1.572848, 0.135000, 36.000000, 1.585547, 0.135000
0.420000, 35.000000, 1.572946, 0.123000, 36.000000, 1.599671, 0.137000, 36.000000, 1.576460, 0.135000, 36.000000, 1.597062, 0.135000
0.440000, 35.000000, 1.573340, 0.123000, 36.000000, 1.605718, 0.137000, 36.000000, 1.578618, 0.135000, 36.000000, 1.589253, 0.135000
0.460000, 35.000000, 1.569245, 0.123000, 36.000000, 1.599798, 0.137000, 36.000000, 1.589677, 0.135000, 36.000000, 1.574055, 0.135000
0.480000, 35.000000, 1.567490, 0.123000, 36.000000, 1.594603, 0.137000, 36.000000, 1.578787, 0.135000, 36.000000, 1.579038, 0.135000
0.500000, 35.000000, 1.568726, 0.123000, 36.000000, 1.591262, 0.137000, 36.000000, 1.575230, 0.135000, 36.000000, 1.572392, 0.135000
0.520000, 35.000000, 1.568183, 0.123000, 36.000000, 1.583853, 0.137000, 36.000000, 1.579242, 0.135000, 36.000000, 1.574086, 0.135000
0.540000, 35.000000, 1.584066, 0.123000, 36.000000, 1.589284, 0.137000, 36.000000, 1.558109, 0.135000, 36.000000, 1.564374, 0.135000
0.560000, 35.000000, 1.571900, 0.123000, 36.000000, 1.594071, 0.137000, 36.000000, 1.570049, 0.135000, 36.000000, 1.564862, 0.135000
0.580000, 35.000000, 1.560062, 0.123000, 36.000000, 1.586145, 0.137000, 36.000000, 1.564696, 0.135000, 36.000000, 1.566164, 0.135000
0.600000, 35.000000, 1.559812, 0.123000, 36.000000, 1.593524, 0.137000, 36.000000, 1.564550, 0.135000, 36.000000, 1.550081, 0.135000
0.620000, 35.000000, 1.551266, 0.123000, 36.000000, 1.574919, 0.137000, 36.000000, 1.551302, 0.135000, 36.000000, 1.545795, 0.135000
0.640000, 35.000000, 1.549543, 0.123000, 36.000000, 1.571217, 0.137000, 36.000000, 1.587159, 0.135000, 36.000000, 1.543406, 0.135000
0.660000, 35.000000, 1.548616, 0.123000, 36.000000, 1.552661, 0.137000, 36.000000, 1.546135, 0.135000, 36.000000, 1.547528, 0.135000
0.680000, 35.000000, 1.534192, 0.123000, 36.000000, 1.545634, 0.137000, 36.000000, 1.537115, 0.135000, 36.000000, 1.541465, 0.135000
