Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 16.000000, 0.654751, 0.023256, 15.000000, 0.474499, 0.069767, 18.000000, 0.516325, 0.023256, 18.000000, 0.516051, 0.023256
0.040000, 16.000000, 0.657091, 0.023256, 15.000000, 0.472590, 0.069767, 19.000000, 0.505118, 0.046512, 19.000000, 0.506419, 0.046512
0.060000, 16.000000, 0.658500, 0.023256, 15.000000, 0.473096, 0.069767, 19.000000, 0.510838, 0.046512, 19.000000, 0.504084, 0.046512
0.080000, 16.000000, 0.652839, 0.023256, 16.000000, 0.481250, 0.046512, 19.000000, 0.517835, 0.023256, 19.000000, 0.517231, 0.023256
0.100000, 16.000000, 0.647930, 0.023256, 15.000000, 0.475273, 0.069767, 20.000000, 0.512128, 0.069767, 20.000000, 0.513590, 0.069767
0.120000, 16.000000, 0.649100, 0.023256, 15.000000, 0.471274, 0.069767, 19.000000, 0.518496, 0.023256, 19.000000, 0.514938, 0.023256
0.140000, 16.000000, 0.651210, 0.023256, 16.000000, 0.479662, 0.046512, 19.000000, 0.514423, 0.023256, 19.000000, 0.514259, 0.023256
0.160000, 16.000000, 0.644796, 0.023256, 15.000000, 0.471856, 0.069767, 20.000000, 0.517213, 0.069767, 20.000000, 0.512286, 0.069767
0.180000, 16.000000, 0.648948, 0.023256, 15.000000, 0.474720, 0.069767, 20.000000, 0.510828, 0.069767, 20.000000, 0.508487, 0.069767
0.200000, 16.000000, 0.648087, 0.023256, 16.000000, 0.481031, 0.046512, 20.000000, 0.512789, 0.069767, 20.000000, 0.512969, 0.069767
0.220000, 16.000000, 0.647210, 0.023256, 15.000000, 0.470123, 0.069767, 18.000000, 0.515223, 0.023256, 18.000000, 0.512850, 0.023256
0.240000, 16.000000, 0.657184, 0.023256, 15.000000, 0.472231, 0.069767, 18.000000, 0.519736, 0.023256, 18.000000, 0.520810, 0.023256
0.260000, 16.000000, 0.654729, 0.023256, 16.000000, 0.475953, 0.046512, 18.000000, 0.519249, 0.023256, 18.000000, 0.518635, 0.023256
0.280000, 16.000000, 0.655844, 0.023256, 16.000000, 0.480728, 0.046512, 18.000000, 0.514044, 0.023256, 18.000000, 0.517000, 0.023256
0.300000, 16.000000, 0.655952, 0.023256, 15.000000, 0.471646, 0.069767, 20.000000, 0.510283, 0.046512, 20.000000, 0.509455, 0.046512
0.320000, 16.000000, 0.656496, 0.023256, 15.000000, 0.473142, 0.069767, 20.000000, 0.510619, 0.069767, 20.000000, 0.511418, 0.069767
0.340000, 16.000000, 0.647045, 0.023256, 15.000000, 0.470918, 0.069767, 18.000000, 0.521883, 0.023256, 18.000000, 0.519170, 0.023256
0.360000, 16.000000, 0.648710, 0.023256, 16.000000, 0.477466, 0.046512, 19.000000, 0.499952, 0.046512, 19.000000, 0.503053, 0.046512
0.380000, 16.000000, 0.647315, 0.023256, 15.000000, 0.471610, 0.069767, 18.000000, 0.516189, 0.023256, 18.000000, 0.516804, 0.023256
0.400000, 16.000000, 0.646365, 0.023256, 16.000000, 0.473663, 0.046512, 19.000000, 0.528109, 0.023256, 19.000000, 0.517725, 0.023256
0.420000, 16.000000, 0.647571, 0.023256, 15.000000, 0.472139, 0.069767, 20.000000, 0.508994, 0.069767, 20.000000, 0.511694, 0.069767
0.440000, 16.000000, 0.692908, 0.023256, 15.000000, 0.471704, 0.069767, 18.000000, 0.516044, 0.023256, 18.000000, 0.513660, 0.023256
0.460000, 16.000000, 0.695194, 0.023256, 15.000000, 0.470643, 0.069767, 18.000000, 0.524543, 0.023256, 18.000000, 0.524919, 0.023256
0.480000, 16.000000, 0.652949, 0.023256, 15.000000, 0.474861, 0.069767, 18.000000, 0.503961, 0.023256, 18.000000, 0.509692, 0.023256
0.500000, 16.000000, 0.651630, 0.023256, 15.000000, 0.468697, 0.069767, 18.000000, 0.512737, 0.023256, 18.000000, 0.516684, 0.023256
0.520000, 16.000000, 0.647626, 0.023256, 16.000000, 0.481867, 0.046512, 19.000000, 0.500317, 0.046512, 19.000000, 0.505450, 0.046512
0.540000, 16.000000, 0.653804, 0.023256, 15.000000, 0.481771, 0.069767, 20.000000, 0.508672, 0.069767, 20.000000, 0.512215, 0.069767
0.560000, 16.000000, 0.641032, 0.023256, 16.000000, 0.473260, 0.046512, 19.000000, 0.501734, 0.046512, 19.000000, 0.504412, 0.046512
0.580000, 16.000000, 0.645187, 0.023256, 15.000000, 0.471912, 0.069767, 18.000000, 0.525183, 0.023256, 18.000000, 0.520914, 0.023256
0.600000, 16.000000, 0.649534, 0.023256, 15.000000, 0.470631, 0.069767, 20.000000, 0.505834, 0.046512, 20.000000, 0.504699, 0.046512
0.620000, 16.000000, 0.647896, 0.023256, 16.000000, 0.474256, 0.046512, 18.000000, 0.512553, 0.023256, 18.000000, 0.518176, 0.023256
0.640000, 16.000000, 0.643506, 0.023256, 18.000000, 0.470570, 0.046512, 19.000000, 0.503579, 0.046512, 19.000000, 0.504364, 0.046512
0.660000, 16.000000, 0.648497, 0.023256, 18.000000, 0.474320, 0.046512, 18.000000, 0.518504, 0.023256, 18.000000, 0.513056, 0.023256
0.680000, 16.000000, 0.656060, 0.023256, 18.000000, 0.468669, 0.046512, 18.000000, 0.516610, 0.023256, 18.000000, 0.513240, 0.023256
0.700000, 16.000000, 0.646913, 0.023256, 22.000000, 0.463751, 0.046512, 20.000000, 0.504384, 0.046512, 20.000000, 0.498558, 0.046512
0.720000, 16.000000, 0.642107, 0.023256, 22.000000, 0.461755, 0.046512, 18.000000, 0.514944, 0.023256, 18.000000, 0.509291, 0.023256
0.740000, 17.000000, 0.638989, 0.023256, 26.000000, 0.455370, 0.046512, 20.000000, 0.513982, 0.023256, 20.000000, 0.511866, 0.023256
