Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 34.000000, 0.779233, 0.083333, 38.000000, 0.479770, 0.000000, 39.000000, 0.598128, 0.027778, 39.000000, 0.602477, 0.027778
0.040000, 34.000000, 0.776998, 0.083333, 38.000000, 0.481666, 0.000000, 39.000000, 0.591046, 0.027778, 39.000000, 0.588010, 0.027778
0.060000, 34.000000, 0.778560, 0.083333, 38.000000, 0.479279, 0.000000, 39.000000, 0.596480, 0.027778, 39.000000, 0.592294, 0.027778
0.080000, 34.000000, 0.777871, 0.083333, 38.000000, 0.476485, 0.000000, 39.000000, 0.597361, 0.027778, 39.000000, 0.591368, 0.027778
0.100000, 34.000000, 0.774576, 0.083333, 38.000000, 0.480069, 0.000000, 39.000000, 0.591271, 0.027778, 39.000000, 0.598749, 0.027778
0.120000, 34.000000, 0.772344, 0.083333, 38.000000, 0.477753, 0.000000, 39.000000, 0.593068, 0.027778, 39.000000, 0.590298, 0.027778
0.140000, 34.000000, 0.771421, 0.083333, 38.000000, 0.479333, 0.000000, 39.000000, 0.591360, 0.027778, 39.000000, 0.602529, 0.027778
0.160000, 34.000000, 0.779009, 0.083333, 38.000000, 0.478949, 0.000000, 38.000000, 0.588316, 0.000000, 38.000000, 0.586096, 0.000000
0.180000, 34.000000, 0.771071, 0.083333, 38.000000, 0.488258, 0.000000, 38.000000, 0.583568, 0.000000, 38.000000, 0.590095, 0.000000
0.200000, 34.000000, 0.772702, 0.083333, 38.000000, 0.477698, 0.000000, 39.000000, 0.598879, 0.027778, 39.000000, 0.593444, 0.027778
0.220000, 34.000000, 0.769232, 0.083333, 38.000000, 0.479674, 0.000000, 38.000000, 0.585264, 0.000000, 38.000000, 0.589577, 0.000000
0.240000, 34.000000, 0.767904, 0.083333, 38.000000, 0.474183, 0.000000, 39.000000, 0.589223, 0.027778, 39.000000, 0.593273, 0.027778
0.260000, 34.000000, 0.773175, 0.083333, 38.000000, 0.513538, 0.000000, 38.000000, 0.586892, 0.000000, 38.000000, 0.589103, 0.000000
0.280000, 34.000000, 0.771429, 0.083333, 38.000000, 0.467857, 0.000000, 39.000000, 0.592455, 0.027778, 39.000000, 0.591962, 0.027778
0.300000, 34.000000, 0.774232, 0.083333, 38.000000, 0.471785, 0.000000, 38.000000, 0.583070, 0.000000, 38.000000, 0.588984, 0.000000
0.320000, 34.000000, 0.768015, 0.083333, 38.000000, 0.469392, 0.000000, 38.000000, 0.587516, 0.000000, 38.000000, 0.590399, 0.000000
0.340000, 34.000000, 0.771827, 0.083333, 38.000000, 0.470345, 0.000000, 38.000000, 0.583604, 0.000000, 38.000000, 0.579010, 0.000000
0.360000, 34.000000, 0.765603, 0.083333, 38.000000, 0.477165, 0.000000, 38.000000, 0.581499, 0.000000, 38.000000, 0.577484, 0.000000
0.380000, 34.000000, 0.768834, 0.083333, 38.000000, 0.473085, 0.000000, 39.000000, 0.583636, 0.027778, 39.000000, 0.579154, 0.027778
0.400000, 34.000000, 0.767214, 0.083333, 38.000000, 0.462442, 0.000000, 38.000000, 0.581528, 0.000000, 38.000000, 0.577247, 0.000000
0.420000, 34.000000, 0.767249, 0.083333, 38.000000, 0.460519, 0.000000, 38.000000, 0.579235, 0.000000, 38.000000, 0.574304, 0.000000
0.440000, 34.000000, 0.768256, 0.083333, 38.000000, 0.497946, 0.000000, 39.000000, 0.583463, 0.027778, 39.000000, 0.579130, 0.027778
0.460000, 34.000000, 0.764391, 0.083333, 38.000000, 0.455005, 0.000000, 39.000000, 0.580305, 0.027778, 39.000000, 0.575413, 0.027778
0.480000, 34.000000, 0.763876, 0.083333, 38.000000, 0.454934, 0.000000, 39.000000, 0.577756, 0.027778, 39.000000, 0.579309, 0.027778
0.500000, 34.000000, 0.763418, 0.083333, 38.000000, 0.455899, 0.000000, 38.000000, 0.576549, 0.000000, 38.000000, 0.573152, 0.000000
0.520000, 34.000000, 0.759362, 0.083333, 38.000000, 0.453416, 0.000000, 38.000000, 0.568815, 0.000000, 38.000000, 0.572135, 0.000000
0.540000, 34.000000, 0.757228, 0.083333, 38.000000, 0.457063, 0.000000, 38.000000, 0.566310, 0.000000, 38.000000, 0.570543, 0.000000
0.560000, 34.000000, 0.754723, 0.083333, 38.000000, 0.450885, 0.000000, 39.000000, 0.572976, 0.027778, 39.000000, 0.573168, 0.027778
0.580000, 34.000000, 0.754207, 0.083333, 38.000000, 0.451635, 0.000000, 38.000000, 0.569075, 0.000000, 38.000000, 0.568956, 0.000000
0.600000, 34.000000, 0.753331, 0.083333, 38.000000, 0.460027, 0.000000, 39.000000, 0.884245, 0.027778, 39.000000, 0.570233, 0.027778
0.620000, 35.000000, 0.740565, 0.083333, 41.000000, 0.447420, 0.000000, 43.000000, 0.702999, 0.027778, 43.000000, 0.533634, 0.027778
0.640000, 35.000000, 0.734977, 0.083333, 49.000000, 0.455993, 0.000000, 44.000000, 0.620225, 0.027778, 44.000000, 0.544051, 0.027778
0.660000, 35.000000, 0.738005, 0.083333, 53.000000, 0.420969, 0.000000, 45.000000, 0.524117, 0.027778, 45.000000, 0.514839, 0.027778
