Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 57.000000, 71.480656, 0.167785, 70.000000, 13.673412, 0.184564, 68.000000, 26.201481, 0.171141, 68.000000, 26.032187, 0.171141
0.040000, 57.000000, 71.889215, 0.167785, 70.000000, 13.677762, 0.184564, 68.000000, 26.494904, 0.171141, 68.000000, 26.059812, 0.171141
0.060000, 57.000000, 71.421327, 0.167785, 65.000000, 13.997341, 0.187919, 68.000000, 26.501635, 0.164430, 68.000000, 26.443580, 0.164430
0.080000, 56.000000, 70.893134, 0.174497, 68.000000, 13.640053, 0.214765, 65.000000, 25.785859, 0.157718, 65.000000, 25.811693, 0.157718
0.100000, 56.000000, 70.773408, 0.174497, 66.000000, 14.133771, 0.177852, 69.000000, 26.905045, 0.157718, 69.000000, 27.118944, 0.157718
0.120000, 57.000000, 71.974281, 0.167785, 68.000000, 13.839381, 0.201342, 69.000000, 26.549942, 0.164430, 69.000000, 26.881934, 0.164430
0.140000, 58.000000, 70.958075, 0.171141, 67.000000, 13.814326, 0.194631, 68.000000, 26.386502, 0.171141, 68.000000, 26.482797, 0.171141
0.160000, 56.000000, 70.635073, 0.174497, 69.000000, 13.677853, 0.191275, 69.000000, 26.856999, 0.164430, 69.000000, 27.096172, 0.164430
0.180000, 57.000000, 70.769030, 0.174497, 64.000000, 13.638996, 0.167785, 68.000000, 26.136225, 0.161074, 68.000000, 26.293320, 0.161074
0.200000, 56.000000, 70.932603, 0.174497, 69.000000, 13.720935, 0.181208, 66.000000, 26.802863, 0.177852, 66.000000, 27.216783, 0.177852
0.220000, 58.000000, 70.824572, 0.171141, 71.000000, 13.645287, 0.191275, 69.000000, 26.186042, 0.177852, 69.000000, 26.447106, 0.177852
0.240000, 58.000000, 70.925228, 0.171141, 68.000000, 13.626961, 0.204698, 69.000000, 26.772838, 0.164430, 69.000000, 26.891809, 0.164430
0.260000, 58.000000, 70.659835, 0.171141, 67.000000, 13.641181, 0.201342, 67.000000, 25.635462, 0.154362, 67.000000, 26.010998, 0.154362
0.280000, 57.000000, 70.996036, 0.174497, 63.000000, 13.499157, 0.187919, 69.000000, 26.315784, 0.174497, 69.000000, 26.060249, 0.174497
0.300000, 58.000000, 70.767538, 0.177852, 68.000000, 13.840133, 0.184564, 70.000000, 26.692579, 0.167785, 70.000000, 26.769391, 0.167785
0.320000, 58.000000, 70.707572, 0.171141, 65.000000, 13.675939, 0.177852, 69.000000, 17216.763798, 0.161074, 69.000000, 27.798055, 0.161074
0.340000, 57.000000, 70.260132, 0.171141, 67.000000, 13.604778, 0.201342, 67.000000, 29.572800, 0.161074, 67.000000, 26.060626, 0.161074
0.360000, 58.000000, 70.687735, 0.174497, 66.000000, 13.695701, 0.191275, 67.000000, 27.552370, 0.164430, 67.000000, 27.312237, 0.164430
0.380000, 57.000000, 71.624192, 0.167785, 66.000000, 13.712474, 0.201342, 68.000000, 25.682309, 0.167785, 68.000000, 25.853504, 0.167785
0.400000, 56.000000, 70.480337, 0.174497, 66.000000, 13.504194, 0.181208, 69.000000, 27.102844, 0.171141, 69.000000, 27.158384, 0.171141
