Teta = 0 
simi thres, No hyperboxes Short simi, Training time Short simi, Testing error Short simi, No hyperboxes Long simi, Training time Long simi, Testing error Long simi,                                 No hyperboxes Mid max simi, Training time Mid max simi, Testing error Mid max simi,                                No hyperboxes Mid min simi, Training time Mid min simi, Testing error Mid min simi 
0.020000, 9.000000, 0.739590, 0.000000, 10.000000, 0.729777, 0.000000, 10.000000, 0.728592, 0.000000, 10.000000, 0.735518, 0.000000
0.040000, 9.000000, 0.736472, 0.000000, 10.000000, 0.727641, 0.000000, 10.000000, 0.727577, 0.000000, 10.000000, 0.739195, 0.000000
0.060000, 9.000000, 0.736902, 0.000000, 10.000000, 0.731189, 0.000000, 10.000000, 0.725561, 0.000000, 10.000000, 0.728926, 0.000000
0.080000, 9.000000, 0.733574, 0.000000, 10.000000, 0.727322, 0.000000, 10.000000, 0.730440, 0.000000, 10.000000, 0.731276, 0.000000
0.100000, 9.000000, 0.733966, 0.000000, 10.000000, 0.732461, 0.000000, 10.000000, 0.724635, 0.000000, 10.000000, 0.744669, 0.000000
0.120000, 9.000000, 0.733159, 0.000000, 10.000000, 0.735687, 0.000000, 10.000000, 0.728323, 0.000000, 10.000000, 0.733613, 0.000000
0.140000, 9.000000, 0.738301, 0.000000, 10.000000, 0.725329, 0.000000, 10.000000, 0.728320, 0.000000, 10.000000, 0.732515, 0.000000
0.160000, 9.000000, 0.737671, 0.000000, 10.000000, 0.796529, 0.000000, 10.000000, 0.727249, 0.000000, 10.000000, 0.730361, 0.000000
0.180000, 9.000000, 0.734308, 0.000000, 10.000000, 0.724588, 0.000000, 10.000000, 0.726375, 0.000000, 10.000000, 0.734057, 0.000000
0.200000, 9.000000, 0.735164, 0.000000, 10.000000, 0.791282, 0.000000, 10.000000, 0.726360, 0.000000, 10.000000, 0.744189, 0.000000
0.220000, 9.000000, 0.730428, 0.000000, 10.000000, 0.719708, 0.000000, 10.000000, 0.725920, 0.000000, 10.000000, 0.728816, 0.000000
0.240000, 9.000000, 0.731619, 0.000000, 10.000000, 0.724886, 0.000000, 10.000000, 0.853189, 0.000000, 10.000000, 0.729758, 0.000000
0.260000, 9.000000, 0.728111, 0.000000, 10.000000, 0.725713, 0.000000, 10.000000, 0.712064, 0.000000, 10.000000, 0.727282, 0.000000
0.280000, 9.000000, 0.801773, 0.000000, 10.000000, 0.724927, 0.000000, 10.000000, 0.729144, 0.000000, 10.000000, 0.729498, 0.000000
0.300000, 9.000000, 0.725402, 0.000000, 10.000000, 0.724568, 0.000000, 10.000000, 0.731238, 0.000000, 10.000000, 0.727829, 0.000000
0.320000, 9.000000, 0.729089, 0.000000, 10.000000, 0.723834, 0.000000, 10.000000, 0.738699, 0.000000, 10.000000, 0.726120, 0.000000
0.340000, 9.000000, 0.730016, 0.000000, 10.000000, 0.723346, 0.000000, 10.000000, 0.789848, 0.000000, 10.000000, 0.724463, 0.000000
0.360000, 9.000000, 0.731350, 0.000000, 10.000000, 0.761480, 0.000000, 10.000000, 0.720679, 0.000000, 10.000000, 0.721195, 0.000000
0.380000, 9.000000, 0.733189, 0.000000, 10.000000, 0.727784, 0.000000, 10.000000, 0.749482, 0.000000, 10.000000, 0.722420, 0.000000
0.400000, 9.000000, 0.728357, 0.000000, 10.000000, 0.755755, 0.000000, 10.000000, 0.764861, 0.000000, 10.000000, 0.723278, 0.000000
0.420000, 9.000000, 0.728635, 0.000000, 10.000000, 0.724851, 0.000000, 10.000000, 0.724554, 0.000000, 10.000000, 0.723253, 0.000000
0.440000, 9.000000, 0.729040, 0.000000, 10.000000, 0.723145, 0.000000, 10.000000, 0.725399, 0.000000, 10.000000, 0.725636, 0.000000
0.460000, 9.000000, 0.737995, 0.000000, 10.000000, 0.719869, 0.000000, 10.000000, 0.727797, 0.000000, 10.000000, 0.729385, 0.000000
0.480000, 9.000000, 0.731933, 0.000000, 10.000000, 0.724614, 0.000000, 10.000000, 0.728289, 0.000000, 10.000000, 0.726533, 0.000000
0.500000, 9.000000, 0.732722, 0.000000, 10.000000, 0.725866, 0.000000, 10.000000, 0.726681, 0.000000, 10.000000, 0.722280, 0.000000
0.520000, 9.000000, 0.728101, 0.000000, 10.000000, 0.721210, 0.000000, 10.000000, 0.723808, 0.000000, 10.000000, 0.725844, 0.000000
0.540000, 9.000000, 0.722053, 0.000000, 10.000000, 0.722099, 0.000000, 10.000000, 0.729840, 0.000000, 10.000000, 0.723798, 0.000000
0.560000, 9.000000, 0.721178, 0.000000, 10.000000, 0.723220, 0.000000, 10.000000, 0.724216, 0.000000, 10.000000, 0.723065, 0.000000
