teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
48,0.350043,0.070796,
47,0.31001,0.061947,
43,0.278205,0.061947,
47,0.416083,0.053097,
47,0.281223,0.053097,
45,0.301029,0.053097,
44,0.360154,0.070796,
45,0.427138,0.053097,
45,0.35951,0.070796,
49,0.317864,0.053097,
,,,
46,0.3401259,0.0601767,Mean
1.788854382,0.049447629,0.007714838,Std
43,0.278205,0.053097,Min
49,0.427138,0.070796,Max
