teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
121,0.135458,0.12963,
131,0.150218,0.222222,
134,0.171195,0.185185,
127,0.164497,0.388889,
131,0.15373,0.296296,
126,0.199137,0.203704,
135,0.130147,0.12963,
133,0.138808,0.240741,
128,0.156331,0.259259,
130,0.139591,0.222222,
,,,
129.6,0.1539112,0.2277778,Mean
4.004996879,0.019529778,0.073165622,Std
121,0.130147,0.12963,Min
135,0.199137,0.388889,Max
