teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
116,0.224513,0.211268,
126,0.233105,0.112676,
123,0.221899,0.084507,
117,0.233921,0.183099,
121,0.223846,0.098592,
114,0.245654,0.169014,
125,0.231654,0.15493,
115,0.21548,0.15493,
126,0.223842,0.112676,
118,0.224399,0.126761,
,,,
120.1,0.2278313,0.1408453,Mean
4.437341546,0.007996835,0.038314093,Std
114,0.21548,0.084507,Min
126,0.245654,0.211268,Max
