teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
491,96.464505,0.124324,
427,81.339557,0.150676,
463,81.095857,0.122297,
446,68.968028,0.125676,
477,80.422908,0.115541,
491,80.117208,0.114865,
447,76.743356,0.128378,
467,79.725025,0.123649,
438,85.322568,0.121622,
449,71.567584,0.130405,
,,,
459.6,80.1766596,0.1257433,Mean
20.8,7.111799073,0.009528925,Std
427,68.968028,0.114865,Min
491,96.464505,0.150676,Max
