teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
105,1.601758,0.041126,
103,1.480704,0.049784,
100,1.448467,0.045455,
105,1.498836,0.04329,
101,1.472222,0.04329,
98,1.550224,0.036797,
104,1.477779,0.04329,
99,1.364514,0.036797,
100,1.356207,0.047619,
102,1.54947,0.030303,
,,,
101.7,1.4800181,0.0417751,Mean
2.368543856,0.073931909,0.005480086,Std
98,1.356207,0.030303,Min
105,1.601758,0.049784,Max
