teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
13,0.035533,0.069767,
14,0.041879,0.046512,
14,0.035948,0.046512,
13,0.035597,0.069767,
12,0.036158,0.069767,
12,0.034903,0.069767,
13,0.035392,0.069767,
12,0.03365,0.069767,
11,0.031864,0.069767,
12,0.03229,0.046512,
,,,
12.6,0.0353214,0.0627905,Mean
0.916515139,0.002614039,0.01065678,Std
11,0.031864,0.046512,Min
14,0.041879,0.069767,Max
