teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
413,89.733909,0.051351,
408,81.440604,0.046622,
405,74.897935,0.050676,
406,82.258922,0.047973,
406,80.85129,0.048649,
402,80.775286,0.043919,
408,76.338233,0.044595,
412,80.460571,0.047297,
404,82.286142,0.045946,
403,84.046376,0.045946,
,,,
406.7,81.3089268,0.0472974,Mean
3.436568055,3.838896413,0.002301199,Std
402,74.897935,0.043919,Min
413,89.733909,0.051351,Max
