teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
333,34.530012,0.18018,
328,34.914565,0.167167,
326,34.268211,0.164164,
324,33.879841,0.187187,
331,34.510312,0.166166,
340,36.950974,0.148148,
328,33.712535,0.176176,
328,34.310834,0.188188,
336,36.082415,0.162162,
320,32.808139,0.163163,
,,,
329.4,34.5967838,0.1702701,Mean
5.535341001,1.120138956,0.011873143,Std
320,32.808139,0.148148,Min
340,36.950974,0.188188,Max
