teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
59,0.629953,0.174497,
58,0.650165,0.181208,
61,0.695324,0.161074,
60,0.623023,0.174497,
60,0.691821,0.177852,
61,0.644471,0.184564,
55,0.588484,0.157718,
60,0.628219,0.187919,
59,0.645089,0.161074,
59,0.661602,0.151007,
,,,
59.2,0.6458151,0.171141,Mean
1.661324773,0.030340929,0.011911463,Std
55,0.588484,0.151007,Min
61,0.695324,0.187919,Max
