teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
67,0.208195,0.061404,
65,0.203393,0.070175,
65,0.203588,0.061404,
68,0.217873,0.061404,
64,0.197676,0.070175,
67,0.190875,0.04386,
70,0.221093,0.017544,
64,0.205875,0.061404,
63,0.225917,0.017544,
66,0.223298,0.04386,
,,,
65.9,0.2097783,0.0508774,Mean
2.022374842,0.011123944,0.01873166,Std
63,0.190875,0.017544,Min
70,0.225917,0.070175,Max
