teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
144,0.084784,0.148148,
149,0.073864,0.277778,
156,0.076118,0.185185,
145,0.088478,0.388889,
151,0.093779,0.277778,
148,0.104923,0.222222,
158,0.076067,0.148148,
151,0.087586,0.277778,
145,0.098461,0.296296,
151,0.084627,0.259259,
,,,
149.8,0.0868687,0.2481481,Mean
4.4,0.009601789,0.070370463,Std
144,0.073864,0.148148,Min
158,0.104923,0.388889,Max
