teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
127,0.152855,0.183099,
136,0.169107,0.098592,
132,0.166498,0.098592,
124,0.161149,0.169014,
133,0.157249,0.098592,
125,0.163355,0.183099,
140,0.170064,0.15493,
124,0.15976,0.126761,
135,0.147541,0.112676,
130,0.14944,0.169014,
,,,
130.6,0.1597018,0.1394369,Mean
5.257375771,0.007506993,0.034182079,Std
124,0.147541,0.098592,Min
140,0.170064,0.183099,Max
