teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
617,65.41185,0.089189,
615,63.102955,0.107432,
611,62.288886,0.087838,
604,60.424213,0.093919,
615,64.22243,0.096622,
629,65.852481,0.109459,
590,57.231928,0.083784,
610,61.343995,0.095946,
614,61.684788,0.091216,
607,60.467234,0.084459,
,,,
611.2,62.203076,0.0939864,Mean
9.526804291,2.457758728,0.008332645,Std
590,57.231928,0.083784,Min
629,65.852481,0.109459,Max
