teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
148,1.063298,0.077922,
165,1.316555,0.064935,
162,1.187504,0.049784,
152,1.386795,0.038961,
156,1.289643,0.062771,
148,1.103161,0.054113,
154,1.335504,0.04329,
152,1.073522,0.064935,
155,1.339501,0.047619,
159,1.247976,0.062771,
,,,
155.1,1.2343459,0.0567101,Mean
5.318834459,0.113603927,0.011363121,Std
148,1.063298,0.038961,Min
165,1.386795,0.077922,Max
