teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
21,0.031758,0.023256,
21,0.024943,0.046512,
19,0.026991,0.023256,
20,0.023305,0.162791,
18,0.037834,0.093023,
17,0.025683,0.093023,
22,0.02424,0.023256,
23,0.026287,0.023256,
24,0.031494,0.023256,
19,0.027845,0.023256,
,,,
20.4,0.028038,0.0534885,Mean
2.107130751,0.004217755,0.045393486,Std
17,0.023305,0.023256,Min
24,0.037834,0.162791,Max
