teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
617,61.128209,0.043919,
611,60.055352,0.033108,
610,59.837015,0.040541,
605,57.698112,0.04527,
611,61.974257,0.040541,
610,60.124579,0.04527,
615,61.466097,0.043919,
604,59.270965,0.043919,
607,58.559742,0.042568,
614,61.015132,0.043919,
,,,
610.4,60.112946,0.0422974,Mean
4.004996879,1.27171471,0.003447887,Std
604,57.698112,0.033108,Min
617,61.974257,0.04527,Max
