teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
483,24.506766,0.172172,
491,25.120085,0.175175,
485,24.713616,0.195195,
483,24.676032,0.183183,
484,24.739395,0.166166,
495,27.01821,0.174174,
479,24.029292,0.17017,
482,26.089456,0.179179,
492,26.13645,0.177177,
476,23.422764,0.173173,
,,,
485,25.0452066,0.1765764,Mean
5.656854249,1.023411054,0.007652251,Std
476,23.422764,0.166166,Min
495,27.01821,0.195195,Max
