teta_online = teta_agglo = 0.400000, simil_thres = 0.500000, measure = short, online_training = 0.6 * fulldataset 
No hyperboxes, Training time, Testing error,
88,0.523689,0.252525,
85,0.441898,0.232323,
87,0.473792,0.228956,
92,0.425519,0.272727,
88,0.522073,0.279461,
84,0.447664,0.225589,
84,0.455558,0.239057,
87,0.455535,0.225589,
86,0.444356,0.212121,
82,0.390547,0.242424,
,,,
86.3,0.4580631,0.2410772,Mean
2.647640459,0.038521383,0.020380782,Std
82,0.390547,0.212121,Min
92,0.523689,0.279461,Max
