teta, No hyperboxes, Training time, Testing error
0.010000, 456.000000, 0.559196, 0.053097
0.020000, 456.000000, 0.522732, 0.053097
0.030000, 456.000000, 0.506658, 0.053097
0.040000, 456.000000, 0.615094, 0.053097
0.050000, 456.000000, 0.480634, 0.053097
0.060000, 456.000000, 0.496549, 0.053097
0.070000, 453.000000, 0.497201, 0.053097
0.080000, 440.000000, 0.511267, 0.053097
0.090000, 423.000000, 0.516200, 0.053097
0.100000, 404.000000, 0.586264, 0.053097
0.110000, 380.000000, 0.558228, 0.061947
0.120000, 350.000000, 0.595269, 0.044248
0.130000, 325.000000, 0.610383, 0.044248
0.140000, 301.000000, 0.594248, 0.070796
0.150000, 280.000000, 0.619286, 0.053097
0.160000, 263.000000, 0.604558, 0.053097
0.170000, 244.000000, 0.601052, 0.053097
0.180000, 221.000000, 0.599541, 0.061947
0.190000, 204.000000, 0.580508, 0.061947
0.200000, 183.000000, 0.543972, 0.044248
0.210000, 168.000000, 0.525735, 0.070796
0.220000, 155.000000, 0.508331, 0.061947
0.230000, 145.000000, 0.501352, 0.070796
0.240000, 134.000000, 0.482266, 0.053097
0.250000, 120.000000, 0.473872, 0.044248
0.260000, 116.000000, 0.456436, 0.061947
0.270000, 109.000000, 0.439886, 0.070796
0.280000, 100.000000, 0.397975, 0.053097
0.290000, 94.000000, 0.420667, 0.044248
0.300000, 84.000000, 0.362691, 0.070796
0.310000, 79.000000, 0.335416, 0.044248
0.320000, 72.000000, 0.360618, 0.035398
0.330000, 66.000000, 0.332045, 0.061947
0.340000, 64.000000, 0.310740, 0.061947
0.350000, 64.000000, 0.293347, 0.035398
0.360000, 58.000000, 0.280190, 0.053097
0.370000, 56.000000, 0.252075, 0.044248
0.380000, 51.000000, 0.277837, 0.044248
0.390000, 48.000000, 0.221744, 0.026549
0.400000, 46.000000, 0.208163, 0.070796
0.410000, 42.000000, 0.255446, 0.088496
0.420000, 41.000000, 0.227209, 0.061947
0.430000, 37.000000, 0.190319, 0.053097
0.440000, 37.000000, 0.268334, 0.070796
0.450000, 35.000000, 0.196849, 0.061947
0.460000, 34.000000, 0.201433, 0.053097
0.470000, 30.000000, 0.190336, 0.088496
0.480000, 33.000000, 0.147009, 0.053097
0.490000, 30.000000, 0.166474, 0.061947
0.500000, 27.000000, 0.128935, 0.044248
0.510000, 28.000000, 0.127242, 0.053097
0.520000, 26.000000, 0.116872, 0.061947
0.530000, 25.000000, 0.114215, 0.053097
0.540000, 25.000000, 0.130772, 0.070796
0.550000, 23.000000, 0.139856, 0.053097
0.560000, 24.000000, 0.122728, 0.053097
0.570000, 21.000000, 0.113482, 0.053097
0.580000, 19.000000, 0.110205, 0.044248
0.590000, 19.000000, 0.095323, 0.035398
0.600000, 19.000000, 0.102904, 0.061947
0.610000, 18.000000, 0.091732, 0.061947
0.620000, 16.000000, 0.069794, 0.026549
0.630000, 16.000000, 0.086307, 0.026549
0.640000, 15.000000, 0.069586, 0.035398
0.650000, 17.000000, 0.069387, 0.070796
0.660000, 16.000000, 0.068517, 0.061947
0.670000, 15.000000, 0.064840, 0.070796
0.680000, 14.000000, 0.057946, 0.088496
0.690000, 12.000000, 0.053222, 0.088496
0.700000, 14.000000, 0.059283, 0.035398
0.710000, 13.000000, 0.052850, 0.053097
0.720000, 12.000000, 0.051473, 0.044248
0.730000, 12.000000, 0.050978, 0.053097
0.740000, 10.000000, 0.048376, 0.053097
0.750000, 11.000000, 0.048565, 0.053097
0.760000, 11.000000, 0.047316, 0.070796
0.770000, 12.000000, 0.043282, 0.079646
0.780000, 9.000000, 0.039592, 0.061947
0.790000, 9.000000, 0.037251, 0.247788
0.800000, 9.000000, 0.036227, 0.265487
0.810000, 9.000000, 0.034555, 0.265487
0.820000, 9.000000, 0.034050, 0.274336
0.830000, 9.000000, 0.034315, 0.176991
0.840000, 9.000000, 0.033909, 0.150442
0.850000, 8.000000, 0.032104, 0.150442
0.860000, 8.000000, 0.031560, 0.097345
0.870000, 8.000000, 0.030716, 0.106195
0.880000, 8.000000, 0.030703, 0.106195
0.890000, 8.000000, 0.030404, 0.106195
0.900000, 8.000000, 0.030984, 0.106195
0.910000, 7.000000, 0.033779, 0.088496
0.920000, 6.000000, 0.031698, 0.088496
0.930000, 7.000000, 0.032085, 0.115044
0.940000, 5.000000, 0.030689, 0.088496
0.950000, 5.000000, 0.030221, 0.141593
0.960000, 5.000000, 0.028330, 0.141593
0.970000, 5.000000, 0.026903, 0.159292
0.980000, 5.000000, 0.024814, 0.070796
0.990000, 5.000000, 0.024511, 0.159292
