teta, No hyperboxes, Training time, Testing error
0.010000, 456.000000, 0.703569, 0.053097
0.020000, 456.000000, 0.700981, 0.053097
0.030000, 456.000000, 0.704198, 0.053097
0.040000, 456.000000, 0.701229, 0.053097
0.050000, 456.000000, 0.705810, 0.053097
0.060000, 456.000000, 0.706482, 0.053097
0.070000, 453.000000, 0.701520, 0.053097
0.080000, 440.000000, 0.706774, 0.053097
0.090000, 423.000000, 0.709343, 0.053097
0.100000, 404.000000, 0.704988, 0.053097
0.110000, 380.000000, 0.704578, 0.061947
0.120000, 350.000000, 0.703176, 0.044248
0.130000, 325.000000, 0.694391, 0.044248
0.140000, 301.000000, 0.665407, 0.070796
0.150000, 280.000000, 0.652960, 0.053097
0.160000, 263.000000, 0.637809, 0.053097
0.170000, 244.000000, 0.625402, 0.053097
0.180000, 221.000000, 0.600350, 0.061947
0.190000, 204.000000, 0.578098, 0.061947
0.200000, 183.000000, 0.538647, 0.044248
0.210000, 168.000000, 0.521820, 0.070796
0.220000, 155.000000, 0.498216, 0.061947
0.230000, 145.000000, 0.494440, 0.070796
0.240000, 134.000000, 0.470140, 0.053097
0.250000, 120.000000, 0.443073, 0.044248
0.260000, 116.000000, 0.432113, 0.061947
0.270000, 109.000000, 0.419079, 0.070796
0.280000, 100.000000, 0.384834, 0.053097
0.290000, 94.000000, 0.391953, 0.044248
0.300000, 84.000000, 0.344697, 0.070796
0.310000, 79.000000, 0.338215, 0.044248
0.320000, 72.000000, 0.318941, 0.035398
0.330000, 66.000000, 0.294510, 0.061947
0.340000, 64.000000, 0.305562, 0.061947
0.350000, 64.000000, 0.297624, 0.035398
0.360000, 58.000000, 0.275191, 0.053097
0.370000, 56.000000, 0.247585, 0.044248
0.380000, 51.000000, 0.236915, 0.044248
0.390000, 48.000000, 0.257062, 0.026549
0.400000, 46.000000, 1.020504, 0.070796
0.410000, 42.000000, 0.416607, 0.088496
0.420000, 41.000000, 0.469517, 0.061947
0.430000, 37.000000, 0.428948, 0.053097
0.440000, 37.000000, 0.224152, 0.070796
0.450000, 35.000000, 0.203850, 0.061947
0.460000, 34.000000, 0.263080, 0.053097
0.470000, 30.000000, 0.188884, 0.088496
0.480000, 33.000000, 0.174768, 0.053097
0.490000, 30.000000, 0.171382, 0.061947
0.500000, 27.000000, 0.178056, 0.044248
0.510000, 28.000000, 0.190124, 0.053097
0.520000, 26.000000, 0.191272, 0.061947
0.530000, 25.000000, 0.151494, 0.053097
0.540000, 25.000000, 0.140034, 0.070796
0.550000, 23.000000, 0.132018, 0.053097
0.560000, 24.000000, 0.134311, 0.053097
0.570000, 21.000000, 0.144046, 0.053097
0.580000, 19.000000, 0.147786, 0.044248
0.590000, 19.000000, 0.127863, 0.035398
0.600000, 19.000000, 0.128191, 0.061947
0.610000, 18.000000, 0.122124, 0.061947
0.620000, 16.000000, 0.099200, 0.026549
0.630000, 16.000000, 0.099459, 0.026549
0.640000, 15.000000, 0.093418, 0.035398
0.650000, 17.000000, 0.100251, 0.070796
0.660000, 16.000000, 0.097340, 0.061947
0.670000, 15.000000, 0.093536, 0.070796
0.680000, 14.000000, 0.111566, 0.088496
0.690000, 12.000000, 0.093496, 0.088496
0.700000, 14.000000, 0.114106, 0.035398
0.710000, 13.000000, 0.114529, 0.053097
0.720000, 12.000000, 0.113377, 0.044248
0.730000, 12.000000, 0.094525, 0.053097
0.740000, 10.000000, 0.100425, 0.053097
0.750000, 11.000000, 0.099078, 0.053097
0.760000, 11.000000, 0.089845, 0.070796
0.770000, 12.000000, 0.071817, 0.079646
0.780000, 9.000000, 0.063033, 0.061947
0.790000, 9.000000, 0.070344, 0.247788
0.800000, 9.000000, 0.061245, 0.265487
0.810000, 9.000000, 0.068057, 0.265487
0.820000, 9.000000, 0.061329, 0.274336
0.830000, 9.000000, 0.061887, 0.176991
0.840000, 9.000000, 0.066637, 0.150442
0.850000, 8.000000, 0.061210, 0.150442
0.860000, 8.000000, 0.058967, 0.097345
0.870000, 8.000000, 0.057092, 0.106195
0.880000, 8.000000, 0.070360, 0.106195
0.890000, 8.000000, 0.065572, 0.106195
0.900000, 8.000000, 0.061504, 0.106195
0.910000, 7.000000, 0.061498, 0.088496
0.920000, 6.000000, 0.059456, 0.088496
0.930000, 7.000000, 0.056252, 0.115044
0.940000, 5.000000, 0.056682, 0.088496
0.950000, 5.000000, 0.056947, 0.141593
0.960000, 5.000000, 0.056133, 0.141593
0.970000, 5.000000, 0.055959, 0.159292
0.980000, 5.000000, 0.055596, 0.070796
0.990000, 5.000000, 0.053493, 0.159292
