teta, No hyperboxes, Training time, Testing error
0.010000, 603.000000, 0.548974, 0.000000
0.020000, 440.000000, 1.175163, 0.000000
0.030000, 307.000000, 1.285099, 0.000000
0.040000, 225.000000, 0.892154, 0.000000
0.050000, 178.000000, 0.776656, 0.000000
0.060000, 144.000000, 0.546996, 0.000000
0.070000, 119.000000, 0.391224, 0.000000
0.080000, 100.000000, 0.393712, 0.000000
0.090000, 89.000000, 0.346780, 0.000000
0.100000, 71.000000, 0.239393, 0.000000
0.110000, 66.000000, 0.190552, 0.000000
0.120000, 56.000000, 0.178373, 0.000000
0.130000, 49.000000, 0.143809, 0.000000
0.140000, 44.000000, 0.119855, 0.000000
0.150000, 41.000000, 0.115614, 0.000000
0.160000, 35.000000, 0.089993, 0.000000
0.170000, 36.000000, 0.092932, 0.000000
0.180000, 33.000000, 0.088144, 0.000000
0.190000, 32.000000, 0.075858, 0.000000
0.200000, 26.000000, 0.068509, 0.000000
0.210000, 22.000000, 0.068176, 0.000000
0.220000, 21.000000, 0.062433, 0.000000
0.230000, 22.000000, 0.084601, 0.000000
0.240000, 21.000000, 0.063432, 0.000000
0.250000, 18.000000, 0.051441, 0.000000
0.260000, 19.000000, 0.074104, 0.000000
0.270000, 20.000000, 0.051013, 0.000000
0.280000, 19.000000, 0.051469, 0.000000
0.290000, 18.000000, 0.049554, 0.000000
0.300000, 18.000000, 0.052326, 0.000000
0.310000, 14.000000, 0.045840, 0.000000
0.320000, 14.000000, 0.043217, 0.000000
0.330000, 14.000000, 0.041206, 0.000000
0.340000, 14.000000, 0.041187, 0.000000
0.350000, 12.000000, 0.040370, 0.000000
0.360000, 12.000000, 0.045653, 0.000000
0.370000, 13.000000, 0.047550, 0.000000
0.380000, 13.000000, 0.038900, 0.000000
0.390000, 13.000000, 0.044736, 0.000000
0.400000, 12.000000, 0.068542, 0.000000
0.410000, 12.000000, 0.055724, 0.000000
0.420000, 12.000000, 0.067091, 0.000000
0.430000, 11.000000, 0.036234, 0.000000
0.440000, 10.000000, 0.033984, 0.000000
0.450000, 9.000000, 0.033003, 0.000000
0.460000, 9.000000, 0.032835, 0.000000
0.470000, 8.000000, 0.032099, 0.000000
0.480000, 7.000000, 0.034376, 0.000000
0.490000, 7.000000, 0.030771, 0.000000
0.500000, 7.000000, 0.031802, 0.000000
0.510000, 7.000000, 0.038124, 0.000000
0.520000, 7.000000, 0.031487, 0.000000
0.530000, 7.000000, 0.031470, 0.000000
0.540000, 7.000000, 0.033682, 0.000000
0.550000, 7.000000, 0.030391, 0.000000
0.560000, 7.000000, 0.030678, 0.000000
0.570000, 7.000000, 0.030577, 0.000000
0.580000, 7.000000, 0.042764, 0.000000
0.590000, 7.000000, 0.034143, 0.000000
0.600000, 7.000000, 0.036634, 0.000000
0.610000, 7.000000, 0.030881, 0.000000
0.620000, 7.000000, 0.030058, 0.000000
0.630000, 7.000000, 0.030037, 0.000000
0.640000, 7.000000, 0.031449, 0.000000
0.650000, 7.000000, 0.049526, 0.000000
0.660000, 7.000000, 0.044877, 0.000000
0.670000, 7.000000, 0.032657, 0.000000
0.680000, 7.000000, 0.030699, 0.000000
0.690000, 7.000000, 0.037353, 0.000000
0.700000, 7.000000, 0.042439, 0.000000
0.710000, 7.000000, 0.055348, 0.000000
0.720000, 7.000000, 0.031444, 0.000000
0.730000, 7.000000, 0.030254, 0.000000
0.740000, 7.000000, 0.031018, 0.000000
0.750000, 7.000000, 0.030959, 0.000000
0.760000, 7.000000, 0.036926, 0.000000
0.770000, 7.000000, 0.045256, 0.000000
0.780000, 7.000000, 0.038167, 0.000000
0.790000, 7.000000, 0.041549, 0.000000
0.800000, 7.000000, 0.043303, 0.000000
0.810000, 7.000000, 0.050317, 0.000000
0.820000, 7.000000, 0.030243, 0.000000
0.830000, 7.000000, 0.030127, 0.000000
0.840000, 7.000000, 0.029512, 0.000000
0.850000, 7.000000, 0.029182, 0.000000
0.860000, 7.000000, 0.029448, 0.000000
0.870000, 7.000000, 0.030320, 0.000000
0.880000, 7.000000, 0.030577, 0.000000
0.890000, 7.000000, 0.030871, 0.000000
0.900000, 7.000000, 0.030827, 0.000000
0.910000, 7.000000, 0.031386, 0.000000
0.920000, 7.000000, 0.031617, 0.000000
0.930000, 7.000000, 0.038185, 0.000000
0.940000, 7.000000, 0.039182, 0.000000
0.950000, 7.000000, 0.048479, 0.000000
0.960000, 7.000000, 0.030274, 0.000000
0.970000, 7.000000, 0.031871, 0.000000
0.980000, 7.000000, 0.031215, 0.000000
0.990000, 7.000000, 0.031437, 0.000000
