teta, No hyperboxes, Training time, Testing error
0.010000, 603.000000, 1.114474, 0.000000
0.020000, 440.000000, 1.248757, 0.000000
0.030000, 307.000000, 1.090146, 0.000000
0.040000, 225.000000, 0.807744, 0.000000
0.050000, 178.000000, 0.653016, 0.000000
0.060000, 144.000000, 0.507989, 0.000000
0.070000, 119.000000, 0.397463, 0.000000
0.080000, 100.000000, 0.345801, 0.000000
0.090000, 89.000000, 0.311608, 0.000000
0.100000, 71.000000, 0.247468, 0.000000
0.110000, 66.000000, 0.213056, 0.000000
0.120000, 56.000000, 0.177413, 0.000000
0.130000, 49.000000, 0.171682, 0.000000
0.140000, 44.000000, 0.148431, 0.000000
0.150000, 41.000000, 0.135293, 0.000000
0.160000, 35.000000, 0.125131, 0.000000
0.170000, 36.000000, 0.129618, 0.000000
0.180000, 33.000000, 0.117982, 0.000000
0.190000, 32.000000, 0.114117, 0.000000
0.200000, 26.000000, 0.105341, 0.000000
0.210000, 22.000000, 0.103328, 0.000000
0.220000, 21.000000, 0.099454, 0.000000
0.230000, 22.000000, 0.099122, 0.000000
0.240000, 21.000000, 0.096853, 0.000000
0.250000, 18.000000, 0.091076, 0.000000
0.260000, 19.000000, 0.093228, 0.000000
0.270000, 20.000000, 0.092310, 0.000000
0.280000, 19.000000, 0.092092, 0.000000
0.290000, 18.000000, 0.091903, 0.000000
0.300000, 18.000000, 0.089598, 0.000000
0.310000, 14.000000, 0.085352, 0.000000
0.320000, 14.000000, 0.082816, 0.000000
0.330000, 14.000000, 0.082816, 0.000000
0.340000, 14.000000, 0.082064, 0.000000
0.350000, 12.000000, 0.080362, 0.000000
0.360000, 12.000000, 0.079241, 0.000000
0.370000, 13.000000, 0.081461, 0.000000
0.380000, 13.000000, 0.081567, 0.000000
0.390000, 13.000000, 0.081214, 0.000000
0.400000, 12.000000, 0.079254, 0.000000
0.410000, 12.000000, 0.080802, 0.000000
0.420000, 12.000000, 0.078042, 0.000000
0.430000, 11.000000, 0.077089, 0.000000
0.440000, 10.000000, 0.077410, 0.000000
0.450000, 9.000000, 0.074725, 0.000000
0.460000, 9.000000, 0.075102, 0.000000
0.470000, 8.000000, 0.073222, 0.000000
0.480000, 7.000000, 0.071153, 0.000000
0.490000, 7.000000, 0.072231, 0.000000
0.500000, 7.000000, 0.072138, 0.000000
0.510000, 7.000000, 0.071555, 0.000000
0.520000, 7.000000, 0.071882, 0.000000
0.530000, 7.000000, 0.071421, 0.000000
0.540000, 7.000000, 0.071694, 0.000000
0.550000, 7.000000, 0.071756, 0.000000
0.560000, 7.000000, 0.071616, 0.000000
0.570000, 7.000000, 0.072009, 0.000000
0.580000, 7.000000, 0.072678, 0.000000
0.590000, 7.000000, 0.072247, 0.000000
0.600000, 7.000000, 0.072139, 0.000000
0.610000, 7.000000, 0.071781, 0.000000
0.620000, 7.000000, 0.071867, 0.000000
0.630000, 7.000000, 0.071762, 0.000000
0.640000, 7.000000, 0.071602, 0.000000
0.650000, 7.000000, 0.072422, 0.000000
0.660000, 7.000000, 0.071813, 0.000000
0.670000, 7.000000, 0.072138, 0.000000
0.680000, 7.000000, 0.071650, 0.000000
0.690000, 7.000000, 0.072173, 0.000000
0.700000, 7.000000, 0.071735, 0.000000
0.710000, 7.000000, 0.071741, 0.000000
0.720000, 7.000000, 0.071711, 0.000000
0.730000, 7.000000, 0.071320, 0.000000
0.740000, 7.000000, 0.072173, 0.000000
0.750000, 7.000000, 0.071912, 0.000000
0.760000, 7.000000, 0.072144, 0.000000
0.770000, 7.000000, 0.071464, 0.000000
0.780000, 7.000000, 0.072012, 0.000000
0.790000, 7.000000, 0.072591, 0.000000
0.800000, 7.000000, 0.071376, 0.000000
0.810000, 7.000000, 0.071556, 0.000000
0.820000, 7.000000, 0.072560, 0.000000
0.830000, 7.000000, 0.071967, 0.000000
0.840000, 7.000000, 0.072523, 0.000000
0.850000, 7.000000, 0.071388, 0.000000
0.860000, 7.000000, 0.072202, 0.000000
0.870000, 7.000000, 0.072096, 0.000000
0.880000, 7.000000, 0.072222, 0.000000
0.890000, 7.000000, 0.071527, 0.000000
0.900000, 7.000000, 0.071495, 0.000000
0.910000, 7.000000, 0.071923, 0.000000
0.920000, 7.000000, 0.072016, 0.000000
0.930000, 7.000000, 0.071968, 0.000000
0.940000, 7.000000, 0.072674, 0.000000
0.950000, 7.000000, 0.071714, 0.000000
0.960000, 7.000000, 0.071890, 0.000000
0.970000, 7.000000, 0.071327, 0.000000
0.980000, 7.000000, 0.073794, 0.000000
0.990000, 7.000000, 0.072924, 0.000000
