teta, No hyperboxes, Training time, Testing error
0.010000, 705.000000, 1.614432, 0.030000
0.020000, 530.000000, 2.017766, 0.030000
0.030000, 407.000000, 1.867525, 0.030000
0.040000, 318.000000, 1.637696, 0.035000
0.050000, 257.000000, 1.363993, 0.040000
0.060000, 214.000000, 1.153727, 0.030000
0.070000, 182.000000, 0.938841, 0.035000
0.080000, 157.000000, 0.826337, 0.020000
0.090000, 136.000000, 0.672551, 0.025000
0.100000, 117.000000, 0.608077, 0.030000
0.110000, 103.000000, 0.567598, 0.040000
0.120000, 93.000000, 0.392944, 0.030000
0.130000, 85.000000, 0.358414, 0.050000
0.140000, 74.000000, 0.283701, 0.025000
0.150000, 69.000000, 0.285989, 0.030000
0.160000, 62.000000, 0.261758, 0.020000
0.170000, 58.000000, 0.230261, 0.025000
0.180000, 52.000000, 0.215904, 0.025000
0.190000, 50.000000, 0.207307, 0.020000
0.200000, 46.000000, 0.171266, 0.020000
0.210000, 41.000000, 0.138054, 0.015000
0.220000, 35.000000, 0.128993, 0.030000
0.230000, 36.000000, 0.121157, 0.025000
0.240000, 35.000000, 0.122771, 0.040000
0.250000, 35.000000, 0.118757, 0.030000
0.260000, 33.000000, 0.140235, 0.055000
0.270000, 29.000000, 0.101830, 0.050000
0.280000, 28.000000, 0.098213, 0.050000
0.290000, 25.000000, 0.093854, 0.055000
0.300000, 25.000000, 0.097373, 0.040000
0.310000, 25.000000, 0.094777, 0.055000
0.320000, 25.000000, 0.083424, 0.075000
0.330000, 23.000000, 0.080089, 0.070000
0.340000, 20.000000, 0.086320, 0.060000
0.350000, 19.000000, 0.097124, 0.065000
0.360000, 19.000000, 0.074968, 0.075000
0.370000, 15.000000, 0.078703, 0.100000
0.380000, 17.000000, 0.075085, 0.140000
0.390000, 16.000000, 0.088038, 0.150000
0.400000, 16.000000, 0.074613, 0.170000
0.410000, 17.000000, 0.077952, 0.210000
0.420000, 17.000000, 0.094336, 0.110000
0.430000, 16.000000, 0.066399, 0.145000
0.440000, 16.000000, 0.087840, 0.155000
0.450000, 16.000000, 0.072364, 0.165000
0.460000, 17.000000, 0.063067, 0.230000
0.470000, 17.000000, 0.063048, 0.205000
0.480000, 16.000000, 0.076245, 0.260000
0.490000, 14.000000, 0.076630, 0.250000
0.500000, 14.000000, 0.057802, 0.200000
0.510000, 13.000000, 0.057869, 0.170000
0.520000, 13.000000, 0.064895, 0.175000
0.530000, 13.000000, 0.082393, 0.090000
0.540000, 13.000000, 0.057825, 0.120000
0.550000, 15.000000, 0.069849, 0.185000
0.560000, 14.000000, 0.063922, 0.135000
0.570000, 11.000000, 0.049596, 0.320000
0.580000, 12.000000, 0.063766, 0.320000
0.590000, 12.000000, 0.050648, 0.245000
0.600000, 10.000000, 0.058617, 0.360000
0.610000, 9.000000, 0.048576, 0.330000
0.620000, 10.000000, 0.048830, 0.250000
0.630000, 9.000000, 0.053588, 0.390000
0.640000, 9.000000, 0.063712, 0.410000
0.650000, 8.000000, 0.045722, 0.410000
0.660000, 8.000000, 0.047888, 0.335000
0.670000, 8.000000, 0.045508, 0.405000
0.680000, 8.000000, 0.044912, 0.415000
0.690000, 8.000000, 0.049436, 0.340000
0.700000, 8.000000, 0.044865, 0.295000
0.710000, 8.000000, 0.059076, 0.310000
0.720000, 8.000000, 0.054404, 0.290000
0.730000, 8.000000, 0.064684, 0.425000
0.740000, 8.000000, 0.048501, 0.425000
0.750000, 8.000000, 0.050928, 0.425000
0.760000, 8.000000, 0.049456, 0.425000
0.770000, 7.000000, 0.040924, 0.435000
0.780000, 7.000000, 0.041011, 0.435000
0.790000, 7.000000, 0.040304, 0.490000
0.800000, 9.000000, 0.048805, 0.335000
0.810000, 8.000000, 0.048778, 0.335000
0.820000, 7.000000, 0.057377, 0.425000
0.830000, 7.000000, 0.047556, 0.510000
0.840000, 7.000000, 0.044860, 0.475000
0.850000, 6.000000, 0.036593, 0.475000
0.860000, 6.000000, 0.036402, 0.475000
0.870000, 6.000000, 0.043747, 0.525000
0.880000, 6.000000, 0.039221, 0.495000
0.890000, 5.000000, 0.036194, 0.525000
0.900000, 5.000000, 0.035696, 0.525000
0.910000, 5.000000, 0.038803, 0.530000
0.920000, 5.000000, 0.041661, 0.530000
0.930000, 6.000000, 0.044163, 0.530000
0.940000, 5.000000, 0.039626, 0.530000
0.950000, 4.000000, 0.040278, 0.585000
0.960000, 3.000000, 0.041120, 0.620000
0.970000, 3.000000, 0.046189, 0.620000
0.980000, 3.000000, 0.042718, 0.635000
0.990000, 3.000000, 0.046475, 0.635000
