teta, No hyperboxes, Training time, Testing error
0.010000, 705.000000, 1.774060, 0.030000
0.020000, 530.000000, 1.848249, 0.030000
0.030000, 407.000000, 1.678779, 0.030000
0.040000, 318.000000, 1.433474, 0.035000
0.050000, 257.000000, 1.164419, 0.040000
0.060000, 214.000000, 0.994777, 0.030000
0.070000, 182.000000, 0.824996, 0.035000
0.080000, 157.000000, 0.697223, 0.020000
0.090000, 136.000000, 0.605536, 0.025000
0.100000, 117.000000, 0.512229, 0.030000
0.110000, 103.000000, 0.426276, 0.040000
0.120000, 93.000000, 0.364569, 0.030000
0.130000, 85.000000, 0.339789, 0.050000
0.140000, 74.000000, 0.287798, 0.025000
0.150000, 69.000000, 0.275734, 0.030000
0.160000, 62.000000, 0.235047, 0.020000
0.170000, 58.000000, 0.233728, 0.025000
0.180000, 52.000000, 0.209600, 0.025000
0.190000, 50.000000, 0.202590, 0.020000
0.200000, 46.000000, 0.190408, 0.020000
0.210000, 41.000000, 0.165978, 0.015000
0.220000, 35.000000, 0.153571, 0.030000
0.230000, 36.000000, 0.148428, 0.025000
0.240000, 35.000000, 0.142740, 0.040000
0.250000, 35.000000, 0.146333, 0.030000
0.260000, 33.000000, 0.142489, 0.055000
0.270000, 29.000000, 0.136959, 0.050000
0.280000, 28.000000, 0.131718, 0.050000
0.290000, 25.000000, 0.124596, 0.055000
0.300000, 25.000000, 0.127230, 0.040000
0.310000, 25.000000, 0.121196, 0.055000
0.320000, 25.000000, 0.116143, 0.075000
0.330000, 23.000000, 0.112642, 0.070000
0.340000, 20.000000, 0.110398, 0.060000
0.350000, 19.000000, 0.109552, 0.065000
0.360000, 19.000000, 0.110043, 0.075000
0.370000, 15.000000, 0.103513, 0.100000
0.380000, 17.000000, 0.104253, 0.140000
0.390000, 16.000000, 0.101882, 0.150000
0.400000, 16.000000, 0.100751, 0.170000
0.410000, 17.000000, 0.101954, 0.210000
0.420000, 17.000000, 0.105248, 0.110000
0.430000, 16.000000, 0.100975, 0.145000
0.440000, 16.000000, 0.105104, 0.155000
0.450000, 16.000000, 0.104588, 0.165000
0.460000, 17.000000, 0.101313, 0.230000
0.470000, 17.000000, 0.098267, 0.205000
0.480000, 16.000000, 0.096928, 0.260000
0.490000, 14.000000, 0.097772, 0.250000
0.500000, 14.000000, 0.097796, 0.200000
0.510000, 13.000000, 0.100534, 0.170000
0.520000, 13.000000, 0.098405, 0.175000
0.530000, 13.000000, 0.097262, 0.090000
0.540000, 13.000000, 0.095746, 0.120000
0.550000, 15.000000, 0.102766, 0.185000
0.560000, 14.000000, 0.104243, 0.135000
0.570000, 11.000000, 0.089724, 0.320000
0.580000, 12.000000, 0.096930, 0.320000
0.590000, 12.000000, 0.091735, 0.245000
0.600000, 10.000000, 0.092224, 0.360000
0.610000, 9.000000, 0.089035, 0.330000
0.620000, 10.000000, 0.089950, 0.250000
0.630000, 9.000000, 0.084513, 0.390000
0.640000, 9.000000, 0.084551, 0.410000
0.650000, 8.000000, 0.086485, 0.410000
0.660000, 8.000000, 0.088937, 0.335000
0.670000, 8.000000, 0.087016, 0.405000
0.680000, 8.000000, 0.086681, 0.415000
0.690000, 8.000000, 0.086433, 0.340000
0.700000, 8.000000, 0.086024, 0.295000
0.710000, 8.000000, 0.083138, 0.310000
0.720000, 8.000000, 0.082198, 0.290000
0.730000, 8.000000, 0.087079, 0.425000
0.740000, 8.000000, 0.087509, 0.425000
0.750000, 8.000000, 0.088731, 0.425000
0.760000, 8.000000, 0.087770, 0.425000
0.770000, 7.000000, 0.079207, 0.435000
0.780000, 7.000000, 0.080426, 0.435000
0.790000, 7.000000, 0.078528, 0.490000
0.800000, 9.000000, 0.077568, 0.335000
0.810000, 8.000000, 0.076824, 0.335000
0.820000, 7.000000, 0.076287, 0.425000
0.830000, 7.000000, 0.077788, 0.510000
0.840000, 7.000000, 0.076804, 0.475000
0.850000, 6.000000, 0.076253, 0.475000
0.860000, 6.000000, 0.076441, 0.475000
0.870000, 6.000000, 0.077537, 0.525000
0.880000, 6.000000, 0.078340, 0.495000
0.890000, 5.000000, 0.075730, 0.525000
0.900000, 5.000000, 0.075846, 0.525000
0.910000, 5.000000, 0.078404, 0.530000
0.920000, 5.000000, 0.079245, 0.530000
0.930000, 6.000000, 0.077299, 0.530000
0.940000, 5.000000, 0.079536, 0.530000
0.950000, 4.000000, 0.080132, 0.585000
0.960000, 3.000000, 0.079514, 0.620000
0.970000, 3.000000, 0.080348, 0.620000
0.980000, 3.000000, 0.079008, 0.635000
0.990000, 3.000000, 0.079090, 0.635000
