teta, No hyperboxes, Training time, Testing error
0.010000, 1364.000000, 15.270357, 0.000000
0.020000, 744.000000, 10.746904, 0.000000
0.030000, 476.000000, 6.765924, 0.000000
0.040000, 339.000000, 4.350192, 0.000000
0.050000, 253.000000, 2.804166, 0.000000
0.060000, 199.000000, 1.911785, 0.000000
0.070000, 163.000000, 1.461366, 0.000000
0.080000, 137.000000, 1.123997, 0.000000
0.090000, 113.000000, 0.825882, 0.003295
0.100000, 90.000000, 0.622633, 0.003295
0.110000, 75.000000, 0.545569, 0.003295
0.120000, 67.000000, 0.434670, 0.003295
0.130000, 58.000000, 0.427718, 0.003295
0.140000, 55.000000, 0.368425, 0.003295
0.150000, 51.000000, 0.313951, 0.003295
0.160000, 46.000000, 0.305123, 0.011532
0.170000, 41.000000, 0.261852, 0.008237
0.180000, 38.000000, 0.240317, 0.006590
0.190000, 34.000000, 0.230048, 0.018122
0.200000, 31.000000, 0.217767, 0.018122
0.210000, 33.000000, 0.216367, 0.028007
0.220000, 32.000000, 0.213139, 0.026359
0.230000, 31.000000, 0.194062, 0.036244
0.240000, 29.000000, 0.183969, 0.044481
0.250000, 28.000000, 0.192487, 0.064250
0.260000, 28.000000, 0.193749, 0.080725
0.270000, 28.000000, 0.211164, 0.079077
0.280000, 28.000000, 0.190174, 0.079077
0.290000, 26.000000, 0.210998, 0.056013
0.300000, 26.000000, 0.171200, 0.069193
0.310000, 25.000000, 0.175964, 0.065898
0.320000, 24.000000, 0.209400, 0.131796
0.330000, 20.000000, 0.161447, 0.113674
0.340000, 19.000000, 0.163086, 0.141680
0.350000, 20.000000, 0.155527, 0.133443
0.360000, 18.000000, 0.150430, 0.149918
0.370000, 21.000000, 0.219122, 0.125206
0.380000, 22.000000, 0.185413, 0.125206
0.390000, 20.000000, 0.165432, 0.149918
0.400000, 18.000000, 0.181044, 0.115321
0.410000, 17.000000, 0.180497, 0.116969
0.420000, 16.000000, 0.155330, 0.158155
0.430000, 17.000000, 0.159897, 0.153213
0.440000, 18.000000, 0.243466, 0.191104
0.450000, 15.000000, 0.191906, 0.235585
0.460000, 16.000000, 0.182823, 0.172982
0.470000, 12.000000, 0.133918, 0.118616
0.480000, 12.000000, 0.149378, 0.118616
0.490000, 12.000000, 0.131359, 0.118616
0.500000, 12.000000, 0.137661, 0.120264
0.510000, 12.000000, 0.184660, 0.121911
0.520000, 12.000000, 0.139538, 0.123558
0.530000, 11.000000, 0.170048, 0.177924
0.540000, 12.000000, 0.189841, 0.227348
0.550000, 11.000000, 0.170192, 0.273476
0.560000, 11.000000, 0.169748, 0.273476
0.570000, 11.000000, 0.170758, 0.273476
0.580000, 10.000000, 0.186019, 0.273476
0.590000, 10.000000, 0.160249, 0.273476
0.600000, 10.000000, 0.164192, 0.273476
0.610000, 10.000000, 0.163999, 0.273476
0.620000, 10.000000, 0.166187, 0.275124
0.630000, 10.000000, 0.196865, 0.275124
0.640000, 10.000000, 0.164899, 0.275124
0.650000, 10.000000, 0.172235, 0.275124
0.660000, 10.000000, 0.168912, 0.275124
0.670000, 10.000000, 0.180034, 0.275124
0.680000, 10.000000, 0.169747, 0.275124
0.690000, 10.000000, 0.184308, 0.275124
0.700000, 10.000000, 0.168102, 0.275124
0.710000, 10.000000, 0.183622, 0.275124
0.720000, 10.000000, 0.170826, 0.275124
0.730000, 10.000000, 0.187870, 0.275124
0.740000, 10.000000, 0.175022, 0.275124
0.750000, 10.000000, 0.162267, 0.275124
0.760000, 10.000000, 0.164592, 0.281713
0.770000, 10.000000, 0.163059, 0.285008
0.780000, 10.000000, 0.180451, 0.285008
0.790000, 10.000000, 0.161895, 0.285008
0.800000, 10.000000, 0.171144, 0.285008
0.810000, 10.000000, 0.176689, 0.285008
0.820000, 10.000000, 0.165196, 0.288303
0.830000, 10.000000, 0.167430, 0.288303
0.840000, 10.000000, 0.175348, 0.289951
0.850000, 10.000000, 0.175128, 0.289951
0.860000, 10.000000, 0.179564, 0.289951
0.870000, 10.000000, 0.182485, 0.289951
0.880000, 10.000000, 0.206340, 0.289951
0.890000, 10.000000, 0.178288, 0.289951
0.900000, 10.000000, 0.229600, 0.289951
0.910000, 10.000000, 0.161899, 0.296540
0.920000, 10.000000, 0.166201, 0.296540
0.930000, 10.000000, 0.162945, 0.296540
0.940000, 9.000000, 0.216920, 0.296540
0.950000, 9.000000, 0.167565, 0.296540
0.960000, 9.000000, 0.163403, 0.296540
0.970000, 9.000000, 0.181679, 0.296540
0.980000, 9.000000, 0.162182, 0.296540
0.990000, 9.000000, 0.215710, 0.296540
