teta, No hyperboxes, Training time, Testing error
0.010000, 1364.000000, 14.968592, 0.000000
0.020000, 744.000000, 9.525263, 0.000000
0.030000, 476.000000, 5.774616, 0.000000
0.040000, 339.000000, 3.663041, 0.000000
0.050000, 253.000000, 2.598799, 0.000000
0.060000, 199.000000, 1.859566, 0.000000
0.070000, 163.000000, 1.413715, 0.000000
0.080000, 137.000000, 1.136118, 0.000000
0.090000, 113.000000, 0.901296, 0.003295
0.100000, 90.000000, 0.720320, 0.003295
0.110000, 75.000000, 0.635800, 0.003295
0.120000, 67.000000, 0.562235, 0.003295
0.130000, 58.000000, 0.540536, 0.003295
0.140000, 55.000000, 0.502658, 0.003295
0.150000, 51.000000, 0.471372, 0.003295
0.160000, 46.000000, 0.443918, 0.011532
0.170000, 41.000000, 0.415068, 0.008237
0.180000, 38.000000, 0.398573, 0.006590
0.190000, 34.000000, 0.386069, 0.018122
0.200000, 31.000000, 0.374448, 0.018122
0.210000, 33.000000, 0.378463, 0.028007
0.220000, 32.000000, 0.374103, 0.026359
0.230000, 31.000000, 0.360628, 0.036244
0.240000, 29.000000, 0.359346, 0.044481
0.250000, 28.000000, 0.358222, 0.064250
0.260000, 28.000000, 0.357251, 0.080725
0.270000, 28.000000, 0.361287, 0.079077
0.280000, 28.000000, 0.353736, 0.079077
0.290000, 26.000000, 0.353171, 0.056013
0.300000, 26.000000, 0.344698, 0.069193
0.310000, 25.000000, 0.334848, 0.065898
0.320000, 24.000000, 0.336693, 0.131796
0.330000, 20.000000, 0.324626, 0.113674
0.340000, 19.000000, 0.325525, 0.141680
0.350000, 20.000000, 0.325535, 0.133443
0.360000, 18.000000, 0.320060, 0.149918
0.370000, 21.000000, 0.330335, 0.125206
0.380000, 22.000000, 0.338385, 0.125206
0.390000, 20.000000, 0.326974, 0.149918
0.400000, 18.000000, 0.327157, 0.115321
0.410000, 17.000000, 0.326875, 0.116969
0.420000, 16.000000, 0.320047, 0.158155
0.430000, 17.000000, 0.321371, 0.153213
0.440000, 18.000000, 0.370716, 0.191104
0.450000, 15.000000, 0.352535, 0.235585
0.460000, 16.000000, 0.323938, 0.172982
0.470000, 12.000000, 0.300945, 0.118616
0.480000, 12.000000, 0.299960, 0.118616
0.490000, 12.000000, 0.302569, 0.118616
0.500000, 12.000000, 0.304867, 0.120264
0.510000, 12.000000, 0.303829, 0.121911
0.520000, 12.000000, 0.309231, 0.123558
0.530000, 11.000000, 0.332222, 0.177924
0.540000, 12.000000, 0.333887, 0.227348
0.550000, 11.000000, 0.334663, 0.273476
0.560000, 11.000000, 0.329308, 0.273476
0.570000, 11.000000, 0.332329, 0.273476
0.580000, 10.000000, 0.329081, 0.273476
0.590000, 10.000000, 0.331812, 0.273476
0.600000, 10.000000, 0.330710, 0.273476
0.610000, 10.000000, 0.331317, 0.273476
0.620000, 10.000000, 0.331312, 0.275124
0.630000, 10.000000, 0.332798, 0.275124
0.640000, 10.000000, 0.328831, 0.275124
0.650000, 10.000000, 0.330962, 0.275124
0.660000, 10.000000, 0.332774, 0.275124
0.670000, 10.000000, 0.329393, 0.275124
0.680000, 10.000000, 0.332918, 0.275124
0.690000, 10.000000, 0.329441, 0.275124
0.700000, 10.000000, 0.327559, 0.275124
0.710000, 10.000000, 0.329834, 0.275124
0.720000, 10.000000, 0.330937, 0.275124
0.730000, 10.000000, 0.327840, 0.275124
0.740000, 10.000000, 0.332446, 0.275124
0.750000, 10.000000, 0.329337, 0.275124
0.760000, 10.000000, 0.341300, 0.281713
0.770000, 10.000000, 0.343748, 0.285008
0.780000, 10.000000, 0.341587, 0.285008
0.790000, 10.000000, 0.342235, 0.285008
0.800000, 10.000000, 0.342728, 0.285008
0.810000, 10.000000, 0.341842, 0.285008
0.820000, 10.000000, 0.340035, 0.288303
0.830000, 10.000000, 0.332747, 0.288303
0.840000, 10.000000, 0.329876, 0.289951
0.850000, 10.000000, 0.330325, 0.289951
0.860000, 10.000000, 0.329491, 0.289951
0.870000, 10.000000, 0.330856, 0.289951
0.880000, 10.000000, 0.329299, 0.289951
0.890000, 10.000000, 0.330418, 0.289951
0.900000, 10.000000, 0.330212, 0.289951
0.910000, 10.000000, 0.329025, 0.296540
0.920000, 10.000000, 0.329005, 0.296540
0.930000, 10.000000, 0.329658, 0.296540
0.940000, 9.000000, 0.328278, 0.296540
0.950000, 9.000000, 0.325844, 0.296540
0.960000, 9.000000, 0.327122, 0.296540
0.970000, 9.000000, 0.325731, 0.296540
0.980000, 9.000000, 0.326577, 0.296540
0.990000, 9.000000, 0.324471, 0.296540
