teta, No hyperboxes, Training time, Testing error
0.010000, 321.000000, 0.341936, 0.000000
0.020000, 216.000000, 0.405928, 0.000000
0.030000, 160.000000, 0.378469, 0.000000
0.040000, 120.000000, 0.287795, 0.000000
0.050000, 89.000000, 0.216287, 0.010000
0.060000, 77.000000, 0.192093, 0.000000
0.070000, 64.000000, 0.164836, 0.000000
0.080000, 53.000000, 0.136301, 0.010000
0.090000, 51.000000, 0.120790, 0.010000
0.100000, 46.000000, 0.109123, 0.010000
0.110000, 40.000000, 0.092668, 0.000000
0.120000, 35.000000, 0.075801, 0.000000
0.130000, 32.000000, 0.060881, 0.010000
0.140000, 29.000000, 0.056826, 0.010000
0.150000, 23.000000, 0.047084, 0.020000
0.160000, 24.000000, 0.044810, 0.000000
0.170000, 20.000000, 0.038902, 0.010000
0.180000, 14.000000, 0.030241, 0.000000
0.190000, 13.000000, 0.031357, 0.000000
0.200000, 10.000000, 0.027707, 0.000000
0.210000, 10.000000, 0.039700, 0.000000
0.220000, 10.000000, 0.028469, 0.000000
0.230000, 10.000000, 0.034323, 0.000000
0.240000, 10.000000, 0.026870, 0.000000
0.250000, 10.000000, 0.026788, 0.000000
0.260000, 10.000000, 0.026953, 0.000000
0.270000, 10.000000, 0.033456, 0.000000
0.280000, 10.000000, 0.026897, 0.000000
0.290000, 10.000000, 0.026810, 0.000000
0.300000, 10.000000, 0.028910, 0.000000
0.310000, 10.000000, 0.027237, 0.000000
0.320000, 10.000000, 0.027904, 0.000000
0.330000, 10.000000, 0.028962, 0.000000
0.340000, 10.000000, 0.028284, 0.000000
0.350000, 10.000000, 0.046484, 0.000000
0.360000, 10.000000, 0.049064, 0.000000
0.370000, 10.000000, 0.036097, 0.000000
0.380000, 10.000000, 0.051585, 0.000000
0.390000, 10.000000, 0.028388, 0.000000
0.400000, 10.000000, 0.048321, 0.000000
0.410000, 10.000000, 0.042131, 0.000000
0.420000, 10.000000, 0.027412, 0.000000
0.430000, 10.000000, 0.027994, 0.000000
0.440000, 10.000000, 0.028282, 0.000000
0.450000, 10.000000, 0.030659, 0.000000
0.460000, 10.000000, 0.050776, 0.000000
0.470000, 10.000000, 0.037876, 0.000000
0.480000, 10.000000, 0.027462, 0.000000
0.490000, 10.000000, 0.042525, 0.000000
0.500000, 10.000000, 0.030401, 0.000000
0.510000, 10.000000, 0.030612, 0.000000
0.520000, 10.000000, 0.049130, 0.000000
0.530000, 10.000000, 0.027597, 0.000000
0.540000, 10.000000, 0.028316, 0.000000
0.550000, 10.000000, 0.027510, 0.000000
0.560000, 10.000000, 0.038921, 0.000000
0.570000, 10.000000, 0.029279, 0.000000
0.580000, 10.000000, 0.052349, 0.000000
0.590000, 10.000000, 0.040341, 0.000000
0.600000, 10.000000, 0.027164, 0.000000
0.610000, 10.000000, 0.028140, 0.000000
0.620000, 10.000000, 0.041255, 0.000000
0.630000, 10.000000, 0.048924, 0.000000
0.640000, 10.000000, 0.026954, 0.000000
0.650000, 10.000000, 0.026379, 0.000000
0.660000, 10.000000, 0.032351, 0.000000
0.670000, 10.000000, 0.027507, 0.000000
0.680000, 10.000000, 0.027367, 0.000000
0.690000, 10.000000, 0.034497, 0.000000
0.700000, 10.000000, 0.027515, 0.000000
0.710000, 10.000000, 0.027586, 0.000000
0.720000, 10.000000, 0.042367, 0.000000
0.730000, 10.000000, 0.027007, 0.000000
0.740000, 10.000000, 0.027764, 0.000000
0.750000, 10.000000, 0.027089, 0.000000
0.760000, 10.000000, 0.039114, 0.000000
0.770000, 10.000000, 0.027263, 0.000000
0.780000, 10.000000, 0.027165, 0.000000
0.790000, 10.000000, 0.027344, 0.000000
0.800000, 10.000000, 0.028212, 0.000000
0.810000, 10.000000, 0.028042, 0.000000
0.820000, 10.000000, 0.028112, 0.000000
0.830000, 10.000000, 0.030757, 0.000000
0.840000, 10.000000, 0.027846, 0.000000
0.850000, 10.000000, 0.027504, 0.000000
0.860000, 10.000000, 0.027349, 0.000000
0.870000, 10.000000, 0.027814, 0.000000
0.880000, 10.000000, 0.027686, 0.000000
0.890000, 10.000000, 0.027644, 0.000000
0.900000, 10.000000, 0.027868, 0.000000
0.910000, 10.000000, 0.032632, 0.000000
0.920000, 10.000000, 0.027762, 0.000000
0.930000, 10.000000, 0.027194, 0.000000
0.940000, 10.000000, 0.027397, 0.000000
0.950000, 10.000000, 0.027336, 0.000000
0.960000, 10.000000, 0.027749, 0.000000
0.970000, 10.000000, 0.027512, 0.000000
0.980000, 10.000000, 0.027977, 0.000000
0.990000, 10.000000, 0.037676, 0.000000
