teta, No hyperboxes, Training time, Testing error
0.010000, 321.000000, 0.552934, 0.000000
0.020000, 216.000000, 0.501799, 0.000000
0.030000, 160.000000, 0.400571, 0.000000
0.040000, 120.000000, 0.412158, 0.000000
0.050000, 89.000000, 0.360004, 0.010000
0.060000, 77.000000, 0.248435, 0.000000
0.070000, 64.000000, 0.214523, 0.000000
0.080000, 53.000000, 0.180493, 0.010000
0.090000, 51.000000, 0.152545, 0.010000
0.100000, 46.000000, 0.139381, 0.010000
0.110000, 40.000000, 0.118681, 0.000000
0.120000, 35.000000, 0.107681, 0.000000
0.130000, 32.000000, 0.100681, 0.010000
0.140000, 29.000000, 0.098522, 0.010000
0.150000, 23.000000, 0.088409, 0.020000
0.160000, 24.000000, 0.085982, 0.000000
0.170000, 20.000000, 0.078211, 0.010000
0.180000, 14.000000, 0.075596, 0.000000
0.190000, 13.000000, 0.082514, 0.000000
0.200000, 10.000000, 0.062789, 0.000000
0.210000, 10.000000, 0.060740, 0.000000
0.220000, 10.000000, 0.060380, 0.000000
0.230000, 10.000000, 0.060560, 0.000000
0.240000, 10.000000, 0.061640, 0.000000
0.250000, 10.000000, 0.063152, 0.000000
0.260000, 10.000000, 0.062066, 0.000000
0.270000, 10.000000, 0.061925, 0.000000
0.280000, 10.000000, 0.060966, 0.000000
0.290000, 10.000000, 0.059912, 0.000000
0.300000, 10.000000, 0.063720, 0.000000
0.310000, 10.000000, 0.061213, 0.000000
0.320000, 10.000000, 0.065305, 0.000000
0.330000, 10.000000, 0.069408, 0.000000
0.340000, 10.000000, 0.068056, 0.000000
0.350000, 10.000000, 0.056865, 0.000000
0.360000, 10.000000, 0.058700, 0.000000
0.370000, 10.000000, 0.061144, 0.000000
0.380000, 10.000000, 0.058578, 0.000000
0.390000, 10.000000, 0.059626, 0.000000
0.400000, 10.000000, 0.058315, 0.000000
0.410000, 10.000000, 0.056585, 0.000000
0.420000, 10.000000, 0.056268, 0.000000
0.430000, 10.000000, 0.060087, 0.000000
0.440000, 10.000000, 0.062065, 0.000000
0.450000, 10.000000, 0.061829, 0.000000
0.460000, 10.000000, 0.075733, 0.000000
0.470000, 10.000000, 0.062356, 0.000000
0.480000, 10.000000, 0.073526, 0.000000
0.490000, 10.000000, 0.062927, 0.000000
0.500000, 10.000000, 0.066622, 0.000000
0.510000, 10.000000, 0.063080, 0.000000
0.520000, 10.000000, 0.067218, 0.000000
0.530000, 10.000000, 0.089409, 0.000000
0.540000, 10.000000, 0.069807, 0.000000
0.550000, 10.000000, 0.081883, 0.000000
0.560000, 10.000000, 0.067480, 0.000000
0.570000, 10.000000, 0.063185, 0.000000
0.580000, 10.000000, 0.067139, 0.000000
0.590000, 10.000000, 0.065985, 0.000000
0.600000, 10.000000, 0.087207, 0.000000
0.610000, 10.000000, 0.075589, 0.000000
0.620000, 10.000000, 0.073368, 0.000000
0.630000, 10.000000, 0.079845, 0.000000
0.640000, 10.000000, 0.063230, 0.000000
0.650000, 10.000000, 0.068605, 0.000000
0.660000, 10.000000, 0.067709, 0.000000
0.670000, 10.000000, 0.082981, 0.000000
0.680000, 10.000000, 0.073758, 0.000000
0.690000, 10.000000, 0.064960, 0.000000
0.700000, 10.000000, 0.067973, 0.000000
0.710000, 10.000000, 0.082432, 0.000000
0.720000, 10.000000, 0.073915, 0.000000
0.730000, 10.000000, 0.077531, 0.000000
0.740000, 10.000000, 0.075078, 0.000000
0.750000, 10.000000, 0.071564, 0.000000
0.760000, 10.000000, 0.063045, 0.000000
0.770000, 10.000000, 0.061000, 0.000000
0.780000, 10.000000, 0.060634, 0.000000
0.790000, 10.000000, 0.060394, 0.000000
0.800000, 10.000000, 0.060792, 0.000000
0.810000, 10.000000, 0.062766, 0.000000
0.820000, 10.000000, 0.061347, 0.000000
0.830000, 10.000000, 0.058448, 0.000000
0.840000, 10.000000, 0.057301, 0.000000
0.850000, 10.000000, 0.063561, 0.000000
0.860000, 10.000000, 0.061800, 0.000000
0.870000, 10.000000, 0.059171, 0.000000
0.880000, 10.000000, 0.056753, 0.000000
0.890000, 10.000000, 0.056989, 0.000000
0.900000, 10.000000, 0.059674, 0.000000
0.910000, 10.000000, 0.060087, 0.000000
0.920000, 10.000000, 0.060653, 0.000000
0.930000, 10.000000, 0.058987, 0.000000
0.940000, 10.000000, 0.061098, 0.000000
0.950000, 10.000000, 0.059885, 0.000000
0.960000, 10.000000, 0.059749, 0.000000
0.970000, 10.000000, 0.060374, 0.000000
0.980000, 10.000000, 0.059050, 0.000000
0.990000, 10.000000, 0.059508, 0.000000
